index,x_mm,y_mm,hole_diameter_mm,location,classification
1,-96.5,-61.5,4.4,LONG_SIDE,DESIGN_CANDIDATE
2,-32.0,-61.5,4.4,LONG_SIDE,DESIGN_CANDIDATE
3,32.0,-61.5,4.4,LONG_SIDE,DESIGN_CANDIDATE
4,96.5,-61.5,4.4,LONG_SIDE,DESIGN_CANDIDATE
5,-96.5,61.5,4.4,LONG_SIDE,DESIGN_CANDIDATE
6,-32.0,61.5,4.4,LONG_SIDE,DESIGN_CANDIDATE
7,32.0,61.5,4.4,LONG_SIDE,DESIGN_CANDIDATE
8,96.5,61.5,4.4,LONG_SIDE,DESIGN_CANDIDATE
9,-96.5,-20.0,4.4,SHORT_SIDE,DESIGN_CANDIDATE
10,-96.5,20.0,4.4,SHORT_SIDE,DESIGN_CANDIDATE
11,96.5,-20.0,4.4,SHORT_SIDE,DESIGN_CANDIDATE
12,96.5,20.0,4.4,SHORT_SIDE,DESIGN_CANDIDATE
