measurement_id,value,unit,classification,status,notes
THREAD_NOMINAL,M5,text,PHYSICAL_PART,CONFIRMED,frame fastener
MEASURED_THREAD_MAJOR_DIAMETER,4.7,mm,MEASURED,CONFIRMED,user physical measurement
CAPTIVE_WASHER,YES,boolean,MEASURED,CONFIRMED,not removable
HEAD_AND_WASHER_MAX_DIAMETER,8.7,mm,MEASURED,CONFIRMED,CAD keep-out is 9.5
HEAD_AND_WASHER_TOTAL_HEIGHT,6.0,mm,MEASURED,CONFIRMED,CAD height envelope is 6.5
AVAILABLE_LENGTHS,12;16;20;25,mm,PHYSICAL_INVENTORY,CONFIRMED,M5
FRAME_SCREW_PRIMARY,16,mm,NO_LOAD_CANDIDATE,PHYSICAL_FIT_REQUIRED,8 mm nominal projection below plate
FRAME_SCREW_BACKUP,20,mm,NO_LOAD_CANDIDATE,PHYSICAL_FIT_REQUIRED,12 mm nominal projection below plate
M5_X25,25,mm,LENGTH_HOLD,NOT_APPROVED,slot-bottom collision unknown
FRAME_M5_THROUGH_HOLE,5.7,mm,CAD_CONTRACT,CANDIDATE,no counterbore/countersink
FRAME_M5_WASHER_KEEP_OUT,9.5,mm,CAD_CONTRACT,CANDIDATE,exposed on top
FRAME_M5_TOOL_KEEP_OUT,11.0,mm,CAD_CONTRACT,CANDIDATE,actual tool verification required
FRAME_M5_HEAD_HEIGHT_ENVELOPE,6.5,mm,CAD_CONTRACT,CANDIDATE,actual measured 6.0
