measurement_id,cad_reference_or_expected,unit,physical_measured_value,measurement_tool,acceptance_condition,physical_result,photo_id,issue_label,notes
left_fixed_outer_x,138.1,mm,,CALIPER_RULER_FEELER_OR_TEMPLATE,<=145.0,NOT_MEASURED,,,NO_LOAD_NO_POWER
right_fixed_outer_x,-138.1,mm,,CALIPER_RULER_FEELER_OR_TEMPLATE,>=-145.0,NOT_MEASURED,,,NO_LOAD_NO_POWER
fixed_total_width,276.2,mm,,CALIPER_RULER_FEELER_OR_TEMPLATE,<=290.0,NOT_MEASURED,,,NO_LOAD_NO_POWER
guarded_total_width,286.2,mm,,CALIPER_RULER_FEELER_OR_TEMPLATE,<=290.0,NOT_MEASURED,,,NO_LOAD_NO_POWER
track_total_width,290.0,mm,,CALIPER_RULER_FEELER_OR_TEMPLATE,<=290.0_AND_PROXY_ID_RECORDED,NOT_MEASURED,,,NO_LOAD_NO_POWER
motor_to_CBOX_minimum,CAD_NO_INTERSECTION,mm,,CALIPER_RULER_FEELER_OR_TEMPLATE,>0,NOT_MEASURED,,,NO_LOAD_NO_POWER
motor_to_BBOX_minimum,CAD_NO_INTERSECTION,mm,,CALIPER_RULER_FEELER_OR_TEMPLATE,>0,NOT_MEASURED,,,NO_LOAD_NO_POWER
motor_to_frame_minimum,CAD_NO_INTERSECTION,mm,,CALIPER_RULER_FEELER_OR_TEMPLATE,>0,NOT_MEASURED,,,NO_LOAD_NO_POWER
motor_to_track_minimum,CAD_NO_INTERSECTION,mm,,CALIPER_RULER_FEELER_OR_TEMPLATE,>0,NOT_MEASURED,,,NO_LOAD_NO_POWER
shaft_to_CBOX_minimum,CAD_NO_INTERSECTION,mm,,CALIPER_RULER_FEELER_OR_TEMPLATE,>0,NOT_MEASURED,,,NO_LOAD_NO_POWER
pulley_to_frame_minimum,CAD_NO_INTERSECTION,mm,,CALIPER_RULER_FEELER_OR_TEMPLATE,>0,NOT_MEASURED,,,NO_LOAD_NO_POWER
belt_to_frame_minimum,CAD_NO_INTERSECTION,mm,,CALIPER_RULER_FEELER_OR_TEMPLATE,>0,NOT_MEASURED,,,NO_LOAD_NO_POWER
belt_to_box_minimum,CAD_NO_INTERSECTION,mm,,CALIPER_RULER_FEELER_OR_TEMPLATE,>0,NOT_MEASURED,,,NO_LOAD_NO_POWER
selector_to_frame_minimum,CAD_NO_INTERSECTION,mm,,CALIPER_RULER_FEELER_OR_TEMPLATE,>0,NOT_MEASURED,,,NO_LOAD_NO_POWER
PTO_center_gap,HOLD,mm,,CALIPER_RULER_FEELER_OR_TEMPLATE,>0_AND_NO_COMMON_SHAFT,NOT_MEASURED,,,NO_LOAD_NO_POWER
PTO_exposed_length,HOLD,mm,,CALIPER_RULER_FEELER_OR_TEMPLATE,MEASURE_AND_RECORD,NOT_MEASURED,,,NO_LOAD_NO_POWER
cable_rear_clearance,HOLD,mm,,CALIPER_RULER_FEELER_OR_TEMPLATE,>0,NOT_MEASURED,,,NO_LOAD_NO_POWER
cable_bend_radius_estimate,HOLD,mm,,CALIPER_RULER_FEELER_OR_TEMPLATE,CONNECTOR_SPEC_REQUIRED,NOT_MEASURED,,,NO_LOAD_NO_POWER
motor_removal_direction,OUTWARD_X,text,,CALIPER_RULER_FEELER_OR_TEMPLATE,POSSIBLE,NOT_MEASURED,,,NO_LOAD_NO_POWER
motor_removal_temporary_width,316.2,mm,,CALIPER_RULER_FEELER_OR_TEMPLATE,SERVICE_ONLY_NOT_FIXED_FAIL,NOT_MEASURED,,,NO_LOAD_NO_POWER
belt_removal_direction,OUTWARD_OR_UP,text,,CALIPER_RULER_FEELER_OR_TEMPLATE,POSSIBLE,NOT_MEASURED,,,NO_LOAD_NO_POWER
guard_removal_direction,OUTWARD_OR_UP,text,,CALIPER_RULER_FEELER_OR_TEMPLATE,POSSIBLE,NOT_MEASURED,,,NO_LOAD_NO_POWER
tool_access,HOLD,text,,CALIPER_RULER_FEELER_OR_TEMPLATE,NO_FIXED_INTERSECTION,NOT_MEASURED,,,NO_LOAD_NO_POWER
left_right_symmetry_error,0.0,mm,,CALIPER_RULER_FEELER_OR_TEMPLATE,<=USER_ACCEPTANCE_TBD,NOT_MEASURED,,,NO_LOAD_NO_POWER
motor_datum_repeatability,HOLD,mm,,CALIPER_RULER_FEELER_OR_TEMPLATE,REPEAT_3_TIMES,NOT_MEASURED,,,NO_LOAD_NO_POWER
