part_id,quantity,artifact,method,recommended_material,source_or_datum,envelope_mm,print_orientation,a1_256_fit,load_authority,status,notes
LEFT_MOTOR_POSITIONING_JIG,1,artifacts/print/LEFT_MOTOR_POSITIONING_JIG.stl,3D_PRINT,PETG_OR_PLA_FOR_NO_LOAD_ONLY,V0930_CANDIDATE_A,110.0 x 80.0 x 54.0,AS_EXPORTED_FLAT_BASE_Z0,PASS,NO_LOAD_POSITIONING_ONLY,READY_FOR_PRINT,JIG-B external cradle; left datum key
RIGHT_MOTOR_POSITIONING_JIG,1,artifacts/print/RIGHT_MOTOR_POSITIONING_JIG.stl,3D_PRINT,PETG_OR_PLA_FOR_NO_LOAD_ONLY,V0930_CANDIDATE_A,110.0 x 80.0 x 54.0,AS_EXPORTED_FLAT_BASE_Z0,PASS,NO_LOAD_POSITIONING_ONLY,READY_FOR_PRINT,JIG-B external cradle; right datum key
LEFT_MOTOR_FRONT_PLATE_DATUM_GAUGE,1,artifacts/print/LEFT_MOTOR_DATUM_GAUGE.stl,3D_PRINT,PETG_OR_PLA_FOR_NO_LOAD_ONLY,V0930_CANDIDATE_A,70.0 x 50.0 x 49.0,AS_EXPORTED_FLAT_BASE_Z0,PASS,NO_LOAD_POSITIONING_ONLY,READY_FOR_PRINT,left front-plate datum witness
RIGHT_MOTOR_FRONT_PLATE_DATUM_GAUGE,1,artifacts/print/RIGHT_MOTOR_DATUM_GAUGE.stl,3D_PRINT,PETG_OR_PLA_FOR_NO_LOAD_ONLY,V0930_CANDIDATE_A,70.0 x 50.0 x 49.0,AS_EXPORTED_FLAT_BASE_Z0,PASS,NO_LOAD_POSITIONING_ONLY,READY_FOR_PRINT,right front-plate datum witness
LEFT_SHAFT_CENTERLINE_GAUGE,1,artifacts/print/LEFT_SHAFT_CENTERLINE_GAUGE.stl,3D_PRINT,PETG_OR_PLA_FOR_NO_LOAD_ONLY,V0930_CANDIDATE_A,80.0 x 50.0 x 58.0,AS_EXPORTED_FLAT_BASE_Z0,PASS,NO_LOAD_POSITIONING_ONLY,READY_FOR_PRINT,left Ø6.5 no-load center witness
RIGHT_SHAFT_CENTERLINE_GAUGE,1,artifacts/print/RIGHT_SHAFT_CENTERLINE_GAUGE.stl,3D_PRINT,PETG_OR_PLA_FOR_NO_LOAD_ONLY,V0930_CANDIDATE_A,80.0 x 50.0 x 58.0,AS_EXPORTED_FLAT_BASE_Z0,PASS,NO_LOAD_POSITIONING_ONLY,READY_FOR_PRINT,right Ø6.5 no-load center witness
LEFT_G1_GUARD_ENVELOPE_GAUGE,1,artifacts/print/LEFT_G1_GUARD_GAUGE.stl,3D_PRINT,PETG_OR_PLA_FOR_NO_LOAD_ONLY,V0930_CANDIDATE_A,95.0 x 40.0 x 40.0,AS_EXPORTED_FLAT_BASE_Z0,PASS,NO_LOAD_POSITIONING_ONLY,READY_FOR_PRINT,left 75.1 mm rear-of-datum guard marker
RIGHT_G1_GUARD_ENVELOPE_GAUGE,1,artifacts/print/RIGHT_G1_GUARD_GAUGE.stl,3D_PRINT,PETG_OR_PLA_FOR_NO_LOAD_ONLY,V0930_CANDIDATE_A,95.0 x 40.0 x 40.0,AS_EXPORTED_FLAT_BASE_Z0,PASS,NO_LOAD_POSITIONING_ONLY,READY_FOR_PRINT,right 75.1 mm rear-of-datum guard marker
SELECTOR_SHAFT_CENTERLINE_JIG_LEFT,1,artifacts/print/SELECTOR_CENTERLINE_JIG_LEFT.stl,3D_PRINT,PETG_OR_PLA_FOR_NO_LOAD_ONLY,V0930_CANDIDATE_A,90.0 x 52.0 x 84.0,AS_EXPORTED_FLAT_BASE_Z0,PASS,NO_LOAD_POSITIONING_ONLY,READY_FOR_PRINT,left selector Z offset 61 mm
SELECTOR_SHAFT_CENTERLINE_JIG_RIGHT,1,artifacts/print/SELECTOR_CENTERLINE_JIG_RIGHT.stl,3D_PRINT,PETG_OR_PLA_FOR_NO_LOAD_ONLY,V0930_CANDIDATE_A,90.0 x 52.0 x 84.0,AS_EXPORTED_FLAT_BASE_Z0,PASS,NO_LOAD_POSITIONING_ONLY,READY_FOR_PRINT,right selector Z offset 61 mm
DRIVE_NEUTRAL_PTO_INDICATOR_LEFT,1,artifacts/print/DRIVE_NEUTRAL_PTO_INDICATOR_LEFT.stl,3D_PRINT,PETG_OR_PLA_FOR_NO_LOAD_ONLY,V0930_CANDIDATE_A,72.0 x 30.0 x 21.0,AS_EXPORTED_FLAT_BASE_Z0,PASS,NO_LOAD_POSITIONING_ONLY,READY_FOR_PRINT,independent 0/5/10 mm visual marks
