pair_id,shape_a_name,shape_b_name,coupling_state,sample_position_mm,numerical_distance_tolerance_mm,intersection_volume_tolerance_mm3,required_clearance_mm,note,calculation_api,intersection_volume_mm3,intersection_solid_count,minimum_distance_mm,nearest_point_a_x,nearest_point_a_y,nearest_point_a_z,nearest_point_b_x,nearest_point_b_y,nearest_point_b_z,classification,result,error
CAD-0001,LEFT_COUPLING_SLEEVE_RETRACTED,RIGHT_COUPLING_SLEEVE_RETRACTED,RETRACTED,0.0,0.05,0.01,5.0,left/right sleeves remain independent,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,16.0,150.0,8.0,330.0,150.0,-8.0,330.0,CLEAR,PASS,
CAD-0002,LEFT_COUPLING_SLEEVE_RETRACTED,RIGHT_PTO_STUB,RETRACTED,0.0,0.05,0.01,5.0,sleeve versus opposite rover stub,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,26.006922155,150.0,8.0,325.6,150.0,-18.0,325.0,CLEAR,PASS,
CAD-0003,LEFT_COUPLING_SLEEVE_RETRACTED,CENTRAL_UNIT_FRAME,RETRACTED,0.0,0.05,0.01,5.0,coupling versus central fixed structure,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,40.0,156.0,18.0,328.0,180.0,18.0,360.0,CLEAR,PASS,
CAD-0004,LEFT_COUPLING_SLEEVE_RETRACTED,CENTRAL_ALIGNMENT_GUIDE_LEFT,RETRACTED,0.0,0.05,0.01,5.0,coupling versus left alignment guide,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,18.0,320.0,165.0,18.0,320.0,CLEAR,PASS,
CAD-0005,LEFT_COUPLING_SLEEVE_RETRACTED,CENTRAL_ALIGNMENT_GUIDE_RIGHT,RETRACTED,0.0,0.05,0.01,5.0,coupling versus right alignment guide,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,15.811388301,160.0,8.0,320.0,165.0,-7.0,320.0,CLEAR,PASS,
CAD-0006,LEFT_COUPLING_SLEEVE_RETRACTED,CENTRAL_MECHANICAL_LOCK,RETRACTED,0.0,0.05,0.01,5.0,coupling versus mechanical lock,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,30.459856648,157.661915,16.0,326.426123,181.0,16.0,346.0,CLEAR,PASS,
CAD-0007,LEFT_COUPLING_SLEEVE_RETRACTED,LEFT_GUARD_FIXED,RETRACTED,0.0,0.05,0.01,5.0,coupling versus fixed guard,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,17.262676502,150.0,18.0,330.0,150.0,35.0,333.0,CLEAR,PASS,
CAD-0008,LEFT_COUPLING_SLEEVE_RETRACTED,WIRING_KEEP_OUT,RETRACTED,0.0,0.05,0.01,10.0,coupling versus protected wiring,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,26.055512755,158.320503,18.0,325.547002,180.0,18.0,340.0,CLEAR,PASS,
CAD-0009,LEFT_COUPLING_SLEEVE_RETRACTED,COUPLING_OPERATION_TOOL_ENVELOPE,RETRACTED,0.0,0.05,0.01,0.0,intentional tool access boundary; no positive clearance required,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,0.0,160.0,18.0,320.0,160.0,18.0,320.0,CONTACT,PASS,
CAD-0010,LEFT_COUPLING_SLEEVE_RETRACTED,UNIT_INSTALLATION_ENVELOPE,RETRACTED,0.0,0.05,0.01,5.0,front installation envelope,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,18.0,320.0,165.0,18.0,320.0,CLEAR,PASS,
CAD-0011,LEFT_COUPLING_SLEEVE_RETRACTED,UNIT_REMOVAL_ENVELOPE,RETRACTED,0.0,0.05,0.01,5.0,front removal envelope,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,18.0,320.0,165.0,18.0,320.0,CLEAR,PASS,
CAD-0012,LEFT_COUPLING_SLEEVE_RETRACTED,LEFT_UNIT_INPUT_SUPPORT,RETRACTED,0.0,0.05,0.01,5.0,independent unit input support,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,15.0,160.0,18.0,320.0,175.0,18.0,320.0,CLEAR,PASS,
