parameter,value,unit,classification
LEFT_INBOARD_FACE_Y,30.5,mm,NOMINAL_GEOMETRY_REFERENCE_ONLY
RIGHT_INBOARD_FACE_Y,-30.5,mm,NOMINAL_GEOMETRY_REFERENCE_ONLY
LEFT_SHAFT_END_Y,18.0,mm,NOMINAL_GEOMETRY_REFERENCE_ONLY
RIGHT_SHAFT_END_Y,-18.0,mm,NOMINAL_GEOMETRY_REFERENCE_ONLY
LEFT_STUB_LENGTH,12.5,mm,NOMINAL_GEOMETRY_REFERENCE_ONLY
RIGHT_STUB_LENGTH,12.5,mm,NOMINAL_GEOMETRY_REFERENCE_ONLY
CENTER_GAP,36.0,mm,NOT_A_TOLERANCE_GAUGE
SLEEVE_OD,20.0,mm,PARAMETRIC_ENVELOPE_CANDIDATE
SLEEVE_BODY_LENGTH,25.0,mm,PARAMETRIC_ENVELOPE_CANDIDATE
SLEEVE_MOVING_LENGTH,10.0,mm,NO_LOAD_DUMMY
SLEEVE_STROKE,10.0,mm,NO_LOAD_DUMMY
ENGAGEMENT_REFERENCE,8.0,mm,NO_LOAD_ONLY
DUMMY_BORE_DIAMETER,11.2,mm,DUMMY_CLEARANCE_NOT_PRODUCT_FIT
TEST_SHAFT_STOCK_LENGTH,300.0,mm,DO_NOT_CUT
SINGLE_CONTINUOUS_SHAFT_USED,False,boolean,MUST_BE_FALSE
