measurement_id,field,unit,nominal_reference,measured_value,status,operator,date,photo_ids
M01,LEFT_SHAFT_STOCK_LENGTH,mm,300_OR_400_UNCUT,,PHYSICAL_TEST_NOT_PERFORMED,,,
M02,RIGHT_SHAFT_STOCK_LENGTH,mm,300_OR_400_UNCUT,,PHYSICAL_TEST_NOT_PERFORMED,,,
M03,SINGLE_CONTINUOUS_SHAFT_USED,boolean_MUST_BE_FALSE,MUST_BE_FALSE,,PHYSICAL_TEST_NOT_PERFORMED,,,
M04,LEFT_INBOARD_FACE_ACTUAL_Y,mm,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M05,RIGHT_INBOARD_FACE_ACTUAL_Y,mm,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M06,LEFT_SHAFT_END_ACTUAL_Y,mm,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M07,RIGHT_SHAFT_END_ACTUAL_Y,mm,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M08,LEFT_STUB_ACTUAL,mm,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M09,RIGHT_STUB_ACTUAL,mm,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M10,CENTER_GAP_ACTUAL,mm,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M11,GO_GAUGE_RESULT,PASS_FAIL,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M12,LEFT_SLEEVE_RETRACTED_POSITION,mm,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M13,RIGHT_SLEEVE_RETRACTED_POSITION,mm,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M14,LEFT_SLEEVE_PARTIAL_POSITION,mm,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M15,RIGHT_SLEEVE_PARTIAL_POSITION,mm,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M16,LEFT_SLEEVE_ENGAGED_POSITION,mm,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M17,RIGHT_SLEEVE_ENGAGED_POSITION,mm,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M18,LEFT_ENGAGEMENT_ACTUAL,mm,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M19,RIGHT_ENGAGEMENT_ACTUAL,mm,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M20,SLEEVE_TO_SLEEVE_MINIMUM_GAP,mm,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M21,SLEEVE_TO_FRAME_MINIMUM_GAP,mm,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M22,UNIT_INSERTION_MINIMUM_GAP,mm,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M23,UNIT_REMOVAL_MINIMUM_GAP,mm,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M24,TOOL_ACCESS_RESULT,PASS_FAIL,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M25,SENSOR_FLAG_RESULT,PASS_FAIL,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M26,INTERFERENCE_OBSERVED,boolean,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M27,RUBBING_OBSERVED,boolean,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M28,AXIAL_BINDING_OBSERVED,boolean,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M29,CORRECTION_REQUIRED,text,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M30,PHOTO_IDS,text,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M31,TEST_OPERATOR,text,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M32,DATE,yyyy-mm-dd,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
M33,PHYSICAL_TEST_STATUS,status,SEE_V0921_PARAMETERS,,PHYSICAL_TEST_NOT_PERFORMED,,,
