candidate_id,coupling_envelope,od_mm,body_length_mm,required_engagement_mm,sliding_stroke_mm,stack_shift_each_mm,body_mutual_clearance_mm,total_width_mm,status
COUPLING_SMALL-SHIFT0,COUPLING_SMALL,20.0,25.0,8.0,10.0,0.0,11.0,290.0,RECOMMENDED
COUPLING_SMALL-SHIFT2.5,COUPLING_SMALL,20.0,25.0,8.0,10.0,2.5,16.0,290.0,CONDITIONAL
COUPLING_SMALL-SHIFT5,COUPLING_SMALL,20.0,25.0,8.0,10.0,5.0,21.0,290.0,CONDITIONAL
COUPLING_SMALL-SHIFT7.5,COUPLING_SMALL,20.0,25.0,8.0,10.0,7.5,26.0,294.0,CONDITIONAL
COUPLING_SMALL-SHIFT10,COUPLING_SMALL,20.0,25.0,8.0,10.0,10.0,31.0,299.0,WIDTH_MARGIN_CRITICAL
COUPLING_SMALL-SHIFT12.5,COUPLING_SMALL,20.0,25.0,8.0,10.0,12.5,36.0,304.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_SMALL-SHIFT15,COUPLING_SMALL,20.0,25.0,8.0,10.0,15.0,41.0,309.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_MEDIUM-SHIFT0,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,0.0,-19.0,290.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_MEDIUM-SHIFT2.5,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,2.5,-14.0,290.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_MEDIUM-SHIFT5,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,5.0,-9.0,290.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_MEDIUM-SHIFT7.5,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,7.5,-4.0,294.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_MEDIUM-SHIFT10,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,10.0,1.0,299.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_MEDIUM-SHIFT12.5,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,12.5,6.0,304.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_MEDIUM-SHIFT15,COUPLING_MEDIUM,30.0,40.0,12.0,15.0,15.0,11.0,309.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_LARGE-SHIFT0,COUPLING_LARGE,40.0,55.0,18.0,22.0,0.0,-49.0,290.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_LARGE-SHIFT2.5,COUPLING_LARGE,40.0,55.0,18.0,22.0,2.5,-44.0,290.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_LARGE-SHIFT5,COUPLING_LARGE,40.0,55.0,18.0,22.0,5.0,-39.0,290.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_LARGE-SHIFT7.5,COUPLING_LARGE,40.0,55.0,18.0,22.0,7.5,-34.0,294.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_LARGE-SHIFT10,COUPLING_LARGE,40.0,55.0,18.0,22.0,10.0,-29.0,299.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_LARGE-SHIFT12.5,COUPLING_LARGE,40.0,55.0,18.0,22.0,12.5,-24.0,304.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_LARGE-SHIFT15,COUPLING_LARGE,40.0,55.0,18.0,22.0,15.0,-19.0,309.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_XL-SHIFT0,COUPLING_XL,50.0,70.0,25.0,30.0,0.0,-79.0,290.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_XL-SHIFT2.5,COUPLING_XL,50.0,70.0,25.0,30.0,2.5,-74.0,290.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_XL-SHIFT5,COUPLING_XL,50.0,70.0,25.0,30.0,5.0,-69.0,290.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_XL-SHIFT7.5,COUPLING_XL,50.0,70.0,25.0,30.0,7.5,-64.0,294.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_XL-SHIFT10,COUPLING_XL,50.0,70.0,25.0,30.0,10.0,-59.0,299.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_XL-SHIFT12.5,COUPLING_XL,50.0,70.0,25.0,30.0,12.5,-54.0,304.0,FAIL_CENTER_GAP_OR_WIDTH
COUPLING_XL-SHIFT15,COUPLING_XL,50.0,70.0,25.0,30.0,15.0,-49.0,309.0,FAIL_CENTER_GAP_OR_WIDTH
