candidate_id,coupling_envelope,stub_length_mm,required_engagement_mm,axial_geometry_reserve_mm,engagement_margin_mm,status
COUPLING_SMALL-STUB5-RES0,COUPLING_SMALL,5.0,8.0,0.0,-3.0,FAIL_ENGAGEMENT
COUPLING_SMALL-STUB5-RES1,COUPLING_SMALL,5.0,8.0,1.0,-4.0,FAIL_ENGAGEMENT
COUPLING_SMALL-STUB5-RES2,COUPLING_SMALL,5.0,8.0,2.0,-5.0,FAIL_ENGAGEMENT
COUPLING_SMALL-STUB5-RES3,COUPLING_SMALL,5.0,8.0,3.0,-6.0,FAIL_ENGAGEMENT
COUPLING_SMALL-STUB5-RES5,COUPLING_SMALL,5.0,8.0,5.0,-8.0,FAIL_ENGAGEMENT
COUPLING_MEDIUM-STUB5-RES0,COUPLING_MEDIUM,5.0,12.0,0.0,-7.0,FAIL_ENGAGEMENT
COUPLING_MEDIUM-STUB5-RES1,COUPLING_MEDIUM,5.0,12.0,1.0,-8.0,FAIL_ENGAGEMENT
COUPLING_MEDIUM-STUB5-RES2,COUPLING_MEDIUM,5.0,12.0,2.0,-9.0,FAIL_ENGAGEMENT
COUPLING_MEDIUM-STUB5-RES3,COUPLING_MEDIUM,5.0,12.0,3.0,-10.0,FAIL_ENGAGEMENT
COUPLING_MEDIUM-STUB5-RES5,COUPLING_MEDIUM,5.0,12.0,5.0,-12.0,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB5-RES0,COUPLING_LARGE,5.0,18.0,0.0,-13.0,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB5-RES1,COUPLING_LARGE,5.0,18.0,1.0,-14.0,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB5-RES2,COUPLING_LARGE,5.0,18.0,2.0,-15.0,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB5-RES3,COUPLING_LARGE,5.0,18.0,3.0,-16.0,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB5-RES5,COUPLING_LARGE,5.0,18.0,5.0,-18.0,FAIL_ENGAGEMENT
COUPLING_XL-STUB5-RES0,COUPLING_XL,5.0,25.0,0.0,-20.0,FAIL_ENGAGEMENT
COUPLING_XL-STUB5-RES1,COUPLING_XL,5.0,25.0,1.0,-21.0,FAIL_ENGAGEMENT
COUPLING_XL-STUB5-RES2,COUPLING_XL,5.0,25.0,2.0,-22.0,FAIL_ENGAGEMENT
