check_id,envelope_a,envelope_b,clearance_mm,minimum_mm,intersection_count,contract,status
I01,LEFT_STUB,RIGHT_STUB,36.0,0.0,0,CENTER_END_GAP,PASS
I02,LEFT_COUPLING_BODY,RIGHT_COUPLING_BODY,11.0,5.0,0,FIXED_BODY,PASS
I03,LEFT_FULL_SWEEP,RIGHT_FULL_SWEEP,12.0,5.0,0,MUTUAL_SWEEP,PASS
I04,LEFT_COUPLING,CENTRAL_FIXED_STRUCTURE,10.0,5.0,0,CENTER_BAY,PASS
I05,RIGHT_COUPLING,CENTRAL_FIXED_STRUCTURE,10.0,5.0,0,CENTER_BAY,PASS
I06,COUPLING_SWEEP,CENTRAL_WIRING,25.0,10.0,0,WIRING_KEEP_OUT,PASS
I07,WORK_UNIT_INSTALL_PATH,ROVER_SHAFT_ENDS,5.0,0.0,0,INSTALL_REMOVE,PASS
I08,WORK_UNIT_REMOVAL_PATH,ROVER_SHAFT_ENDS,5.0,0.0,0,INSTALL_REMOVE,PASS
I09,LEFT_COUPLING,LEFT_FRAME,20.0,5.0,0,FRAME,PASS
I10,RIGHT_COUPLING,RIGHT_FRAME,20.0,5.0,0,FRAME,PASS
I11,LEFT_COUPLING,LEFT_GUARD,8.0,5.0,0,GUARD,PASS
I12,RIGHT_COUPLING,RIGHT_GUARD,8.0,5.0,0,GUARD,PASS
I13,LEFT_SHAFT_CAP,LEFT_COUPLING,2.0,0.0,0,UNUSED_INPUT_CAP,PASS
I14,RIGHT_SHAFT_CAP,RIGHT_COUPLING,2.0,0.0,0,UNUSED_INPUT_CAP,PASS
I15,LEFT_DRIVE_BELT,LEFT_FIXED_STRUCTURE,11.5,10.0,0,NON_REGRESSION,PASS
I16,RIGHT_DRIVE_BELT,RIGHT_FIXED_STRUCTURE,11.5,10.0,0,NON_REGRESSION,PASS
I17,LEFT_BELT_SAFETY,LEFT_L_BRACKET_FASTENERS,10.0,5.0,0,NON_REGRESSION,PASS
I18,RIGHT_BELT_SAFETY,RIGHT_L_BRACKET_FASTENERS,10.0,5.0,0,NON_REGRESSION,PASS
I19,LEFT_PTO_60T,LEFT_FIXED_STRUCTURE,10.0,10.0,0,NON_REGRESSION,PASS
I20,RIGHT_PTO_60T,RIGHT_FIXED_STRUCTURE,10.0,10.0,0,NON_REGRESSION,PASS
I21,LEFT_PTO_60T,LEFT_L_BRACKET_FASTENERS,10.0,8.0,0,NON_REGRESSION,PASS
I22,RIGHT_PTO_60T,RIGHT_L_BRACKET_FASTENERS,10.0,8.0,0,NON_REGRESSION,PASS
I23,LEFT_SLIDE_CLUTCH,LEFT_FIXED_STRUCTURE,12.0,10.0,0,NON_REGRESSION,PASS
I24,RIGHT_SLIDE_CLUTCH,RIGHT_FIXED_STRUCTURE,12.0,10.0,0,NON_REGRESSION,PASS
I25,LEFT_SLIDE_CLUTCH,LEFT_BELT,10.0,10.0,0,NON_REGRESSION,PASS
I26,RIGHT_SLIDE_CLUTCH,RIGHT_BELT,10.0,10.0,0,NON_REGRESSION,PASS
I27,COUPLING_ROTATION_ENVELOPE,E2_WIRING,25.0,10.0,0,NON_REGRESSION,PASS
