candidate_id,stub_length_mm,stack_outward_shift_each_mm,left_face_y_mm,right_face_y_mm,left_end_y_mm,right_end_y_mm,center_end_gap_mm,engagement_margin_small_reserve2_mm,status
V091-STUB0.5,0.5,0.0,30.5,-30.5,30.0,-30.0,60.0,-9.5,FAIL_NO_COUPLING_ENGAGEMENT
STUB-5,5.0,0.0,30.5,-30.5,25.5,-25.5,51.0,-5.0,FAIL_ENGAGEMENT_MARGIN
STUB-7.5,7.5,0.0,30.5,-30.5,23.0,-23.0,46.0,-2.5,FAIL_ENGAGEMENT_MARGIN
STUB-10,10.0,0.0,30.5,-30.5,20.5,-20.5,41.0,0.0,CONDITIONAL
STUB-12.5,12.5,0.0,30.5,-30.5,18.0,-18.0,36.0,2.5,RECOMMENDED
STUB-15,15.0,0.0,30.5,-30.5,15.5,-15.5,31.0,5.0,CONDITIONAL
STUB-17.5,17.5,0.0,30.5,-30.5,13.0,-13.0,26.0,7.5,CONDITIONAL
STUB-20,20.0,0.0,30.5,-30.5,10.5,-10.5,21.0,10.0,CONDITIONAL
STUB-25,25.0,0.0,30.5,-30.5,5.5,-5.5,11.0,15.0,CONDITIONAL
STUB-30,30.0,0.0,30.5,-30.5,0.5,-0.5,1.0,20.0,CONDITIONAL
