measurement_id,field,unit,method,nominal_or_candidate,measured_value,measurement_status,operator,date,evidence_photo_id
M01,SHAFT_ACTUAL_DIAMETER_LEFT,mm,micrometer,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M02,SHAFT_ACTUAL_DIAMETER_RIGHT,mm,micrometer,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M03,SHAFT_STRAIGHTNESS_LEFT,mm_TIR,dial_indicator,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M04,SHAFT_STRAIGHTNESS_RIGHT,mm_TIR,dial_indicator,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M05,KP000_BORE_ACTUAL_LEFT,mm,bore_gauge,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M06,KP000_BORE_ACTUAL_RIGHT,mm,bore_gauge,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M07,LEFT_INBOARD_FACE_Y,mm,caliper_datum_fixture,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M08,RIGHT_INBOARD_FACE_Y,mm,caliper_datum_fixture,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M09,CURRENT_LEFT_SHAFT_END_Y,mm,caliper_datum_fixture,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M10,CURRENT_RIGHT_SHAFT_END_Y,mm,caliper_datum_fixture,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M11,AVAILABLE_CENTRAL_GAP,mm,caliper,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M12,LEFT_AVAILABLE_STUB_LENGTH,mm,caliper,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M13,RIGHT_AVAILABLE_STUB_LENGTH,mm,caliper,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M14,COUPLING_ACTUAL_OD,mm,caliper,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M15,COUPLING_TOTAL_LENGTH,mm,caliper,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M16,COUPLING_HUB_LENGTH,mm,caliper,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M17,COUPLING_REQUIRED_ENGAGEMENT,mm,supplier_drawing_and_dry_fit,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M18,COUPLING_SLIDING_STROKE,mm,caliper,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M19,CLAMP_DOG_SPLINE_GEOMETRY,text,supplier_drawing,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M20,AXIAL_STOP_POSITION,mm,caliper_datum_fixture,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M21,COUPLING_MISALIGNMENT_ALLOWANCE,mm_degree,supplier_drawing,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M22,COUPLING_TORQUE_RATING,N_m,supplier_drawing,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M23,COUPLING_RETENTION,text,inspection,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M24,COUPLING_SEALING,text,inspection,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M25,TOOL_ACCESS_CLEARANCE,mm,hand_fit_gauge,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M26,GUARD_ENVELOPE,mm_xyz,caliper,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M27,LEFT_ENGAGEMENT_REPEATABILITY,mm,hand_fit_repeat,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M28,RIGHT_ENGAGEMENT_REPEATABILITY,mm,hand_fit_repeat,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M29,UNIT_LEFT_INPUT_Y,mm,fixture,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M30,UNIT_RIGHT_INPUT_Y,mm,fixture,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M31,INSTALLATION_PATH_CLEARANCE,mm,hand_fit_gauge,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
M32,WIRING_CLEARANCE,mm,hand_fit_gauge,SEE_V092_PARAMETERS,,MEASUREMENT_REQUIRED,,,
