candidate_id,service_case,service_rear_extra_mm,guard_case,guard_side_margin_mm,motor_subsystem_guarded_width_mm,complete_guarded_width_mm,complete_service_width_mm,target_290_pass,absolute_under_300_pass,service_excess_is_temporary,selected_default
A_LATERAL_FRONT_DIRECT,S0,10.0,G0,3.0,282.2,290.0,296.2,YES,YES,YES,NO
A_LATERAL_FRONT_DIRECT,S0,10.0,G1,5.0,286.2,290.0,296.2,YES,YES,YES,NO
A_LATERAL_FRONT_DIRECT,S0,10.0,G2,8.0,292.2,292.2,296.2,NO,YES,YES,NO
A_LATERAL_FRONT_DIRECT,S0,10.0,G3,10.0,296.2,296.2,296.2,NO,YES,NO,NO
A_LATERAL_FRONT_DIRECT,S1,15.0,G0,3.0,282.2,290.0,306.2,YES,YES,YES,NO
A_LATERAL_FRONT_DIRECT,S1,15.0,G1,5.0,286.2,290.0,306.2,YES,YES,YES,NO
A_LATERAL_FRONT_DIRECT,S1,15.0,G2,8.0,292.2,292.2,306.2,NO,YES,YES,NO
A_LATERAL_FRONT_DIRECT,S1,15.0,G3,10.0,296.2,296.2,306.2,NO,YES,YES,NO
A_LATERAL_FRONT_DIRECT,S2,20.0,G0,3.0,282.2,290.0,316.2,YES,YES,YES,NO
A_LATERAL_FRONT_DIRECT,S2,20.0,G1,5.0,286.2,290.0,316.2,YES,YES,YES,YES
A_LATERAL_FRONT_DIRECT,S2,20.0,G2,8.0,292.2,292.2,316.2,NO,YES,YES,NO
A_LATERAL_FRONT_DIRECT,S2,20.0,G3,10.0,296.2,296.2,316.2,NO,YES,YES,NO
A_LATERAL_FRONT_DIRECT,S3,25.0,G0,3.0,282.2,290.0,326.2,YES,YES,YES,NO
A_LATERAL_FRONT_DIRECT,S3,25.0,G1,5.0,286.2,290.0,326.2,YES,YES,YES,NO
A_LATERAL_FRONT_DIRECT,S3,25.0,G2,8.0,292.2,292.2,326.2,NO,YES,YES,NO
A_LATERAL_FRONT_DIRECT,S3,25.0,G3,10.0,296.2,296.2,326.2,NO,YES,YES,NO
B_LATERAL_ABOVE_CBOX_DIRECT,S0,10.0,G0,3.0,262.2,290.0,290.0,YES,YES,NO,NO
B_LATERAL_ABOVE_CBOX_DIRECT,S0,10.0,G1,5.0,266.2,290.0,290.0,YES,YES,NO,NO
B_LATERAL_ABOVE_CBOX_DIRECT,S0,10.0,G2,8.0,272.2,290.0,290.0,YES,YES,NO,NO
B_LATERAL_ABOVE_CBOX_DIRECT,S0,10.0,G3,10.0,276.2,290.0,290.0,YES,YES,NO,NO
B_LATERAL_ABOVE_CBOX_DIRECT,S1,15.0,G0,3.0,262.2,290.0,290.0,YES,YES,NO,NO
B_LATERAL_ABOVE_CBOX_DIRECT,S1,15.0,G1,5.0,266.2,290.0,290.0,YES,YES,NO,NO
B_LATERAL_ABOVE_CBOX_DIRECT,S1,15.0,G2,8.0,272.2,290.0,290.0,YES,YES,NO,NO
B_LATERAL_ABOVE_CBOX_DIRECT,S1,15.0,G3,10.0,276.2,290.0,290.0,YES,YES,NO,NO
B_LATERAL_ABOVE_CBOX_DIRECT,S2,20.0,G0,3.0,262.2,290.0,296.2,YES,YES,YES,NO
B_LATERAL_ABOVE_CBOX_DIRECT,S2,20.0,G1,5.0,266.2,290.0,296.2,YES,YES,YES,YES
B_LATERAL_ABOVE_CBOX_DIRECT,S2,20.0,G2,8.0,272.2,290.0,296.2,YES,YES,YES,NO
B_LATERAL_ABOVE_CBOX_DIRECT,S2,20.0,G3,10.0,276.2,290.0,296.2,YES,YES,YES,NO
B_LATERAL_ABOVE_CBOX_DIRECT,S3,25.0,G0,3.0,262.2,290.0,306.2,YES,YES,YES,NO
B_LATERAL_ABOVE_CBOX_DIRECT,S3,25.0,G1,5.0,266.2,290.0,306.2,YES,YES,YES,NO
B_LATERAL_ABOVE_CBOX_DIRECT,S3,25.0,G2,8.0,272.2,290.0,306.2,YES,YES,YES,NO
B_LATERAL_ABOVE_CBOX_DIRECT,S3,25.0,G3,10.0,276.2,290.0,306.2,YES,YES,YES,NO
C_LATERAL_FORE_AFT_STAGGERED,S0,10.0,G0,3.0,282.2,290.0,296.2,YES,YES,YES,NO
C_LATERAL_FORE_AFT_STAGGERED,S0,10.0,G1,5.0,286.2,290.0,296.2,YES,YES,YES,NO
C_LATERAL_FORE_AFT_STAGGERED,S0,10.0,G2,8.0,292.2,292.2,296.2,NO,YES,YES,NO
C_LATERAL_FORE_AFT_STAGGERED,S0,10.0,G3,10.0,296.2,296.2,296.2,NO,YES,NO,NO
C_LATERAL_FORE_AFT_STAGGERED,S1,15.0,G0,3.0,282.2,290.0,306.2,YES,YES,YES,NO
C_LATERAL_FORE_AFT_STAGGERED,S1,15.0,G1,5.0,286.2,290.0,306.2,YES,YES,YES,NO
C_LATERAL_FORE_AFT_STAGGERED,S1,15.0,G2,8.0,292.2,292.2,306.2,NO,YES,YES,NO
C_LATERAL_FORE_AFT_STAGGERED,S1,15.0,G3,10.0,296.2,296.2,306.2,NO,YES,YES,NO
C_LATERAL_FORE_AFT_STAGGERED,S2,20.0,G0,3.0,282.2,290.0,316.2,YES,YES,YES,NO
C_LATERAL_FORE_AFT_STAGGERED,S2,20.0,G1,5.0,286.2,290.0,316.2,YES,YES,YES,YES
C_LATERAL_FORE_AFT_STAGGERED,S2,20.0,G2,8.0,292.2,292.2,316.2,NO,YES,YES,NO
C_LATERAL_FORE_AFT_STAGGERED,S2,20.0,G3,10.0,296.2,296.2,316.2,NO,YES,YES,NO
C_LATERAL_FORE_AFT_STAGGERED,S3,25.0,G0,3.0,282.2,290.0,326.2,YES,YES,YES,NO
C_LATERAL_FORE_AFT_STAGGERED,S3,25.0,G1,5.0,286.2,290.0,326.2,YES,YES,YES,NO
C_LATERAL_FORE_AFT_STAGGERED,S3,25.0,G2,8.0,292.2,292.2,326.2,NO,YES,YES,NO
C_LATERAL_FORE_AFT_STAGGERED,S3,25.0,G3,10.0,296.2,296.2,326.2,NO,YES,YES,NO
D_LONGITUDINAL_SIDE_RAIL,S0,10.0,G0,3.0,261.5,290.0,290.0,YES,YES,NO,NO
D_LONGITUDINAL_SIDE_RAIL,S0,10.0,G1,5.0,265.5,290.0,290.0,YES,YES,NO,NO
D_LONGITUDINAL_SIDE_RAIL,S0,10.0,G2,8.0,271.5,290.0,290.0,YES,YES,NO,NO
D_LONGITUDINAL_SIDE_RAIL,S0,10.0,G3,10.0,275.5,290.0,290.0,YES,YES,NO,NO
D_LONGITUDINAL_SIDE_RAIL,S1,15.0,G0,3.0,261.5,290.0,290.0,YES,YES,NO,NO
D_LONGITUDINAL_SIDE_RAIL,S1,15.0,G1,5.0,265.5,290.0,290.0,YES,YES,NO,NO
D_LONGITUDINAL_SIDE_RAIL,S1,15.0,G2,8.0,271.5,290.0,290.0,YES,YES,NO,NO
D_LONGITUDINAL_SIDE_RAIL,S1,15.0,G3,10.0,275.5,290.0,290.0,YES,YES,NO,NO
D_LONGITUDINAL_SIDE_RAIL,S2,20.0,G0,3.0,261.5,290.0,290.0,YES,YES,NO,NO
D_LONGITUDINAL_SIDE_RAIL,S2,20.0,G1,5.0,265.5,290.0,290.0,YES,YES,NO,YES
D_LONGITUDINAL_SIDE_RAIL,S2,20.0,G2,8.0,271.5,290.0,290.0,YES,YES,NO,NO
D_LONGITUDINAL_SIDE_RAIL,S2,20.0,G3,10.0,275.5,290.0,290.0,YES,YES,NO,NO
D_LONGITUDINAL_SIDE_RAIL,S3,25.0,G0,3.0,261.5,290.0,290.0,YES,YES,NO,NO
D_LONGITUDINAL_SIDE_RAIL,S3,25.0,G1,5.0,265.5,290.0,290.0,YES,YES,NO,NO
D_LONGITUDINAL_SIDE_RAIL,S3,25.0,G2,8.0,271.5,290.0,290.0,YES,YES,NO,NO
D_LONGITUDINAL_SIDE_RAIL,S3,25.0,G3,10.0,275.5,290.0,290.0,YES,YES,NO,NO
E_LONGITUDINAL_FRONT_PTO,S0,10.0,G0,3.0,261.5,290.0,290.0,YES,YES,NO,NO
E_LONGITUDINAL_FRONT_PTO,S0,10.0,G1,5.0,265.5,290.0,290.0,YES,YES,NO,NO
E_LONGITUDINAL_FRONT_PTO,S0,10.0,G2,8.0,271.5,290.0,290.0,YES,YES,NO,NO
E_LONGITUDINAL_FRONT_PTO,S0,10.0,G3,10.0,275.5,290.0,290.0,YES,YES,NO,NO
E_LONGITUDINAL_FRONT_PTO,S1,15.0,G0,3.0,261.5,290.0,290.0,YES,YES,NO,NO
E_LONGITUDINAL_FRONT_PTO,S1,15.0,G1,5.0,265.5,290.0,290.0,YES,YES,NO,NO
E_LONGITUDINAL_FRONT_PTO,S1,15.0,G2,8.0,271.5,290.0,290.0,YES,YES,NO,NO
E_LONGITUDINAL_FRONT_PTO,S1,15.0,G3,10.0,275.5,290.0,290.0,YES,YES,NO,NO
E_LONGITUDINAL_FRONT_PTO,S2,20.0,G0,3.0,261.5,290.0,290.0,YES,YES,NO,NO
E_LONGITUDINAL_FRONT_PTO,S2,20.0,G1,5.0,265.5,290.0,290.0,YES,YES,NO,YES
E_LONGITUDINAL_FRONT_PTO,S2,20.0,G2,8.0,271.5,290.0,290.0,YES,YES,NO,NO
E_LONGITUDINAL_FRONT_PTO,S2,20.0,G3,10.0,275.5,290.0,290.0,YES,YES,NO,NO
E_LONGITUDINAL_FRONT_PTO,S3,25.0,G0,3.0,261.5,290.0,290.0,YES,YES,NO,NO
E_LONGITUDINAL_FRONT_PTO,S3,25.0,G1,5.0,265.5,290.0,290.0,YES,YES,NO,NO
E_LONGITUDINAL_FRONT_PTO,S3,25.0,G2,8.0,271.5,290.0,290.0,YES,YES,NO,NO
E_LONGITUDINAL_FRONT_PTO,S3,25.0,G3,10.0,275.5,290.0,290.0,YES,YES,NO,NO
F_VERTICAL_MOTOR,S0,10.0,G0,3.0,261.5,290.0,290.0,YES,YES,NO,NO
F_VERTICAL_MOTOR,S0,10.0,G1,5.0,265.5,290.0,290.0,YES,YES,NO,NO
F_VERTICAL_MOTOR,S0,10.0,G2,8.0,271.5,290.0,290.0,YES,YES,NO,NO
F_VERTICAL_MOTOR,S0,10.0,G3,10.0,275.5,290.0,290.0,YES,YES,NO,NO
F_VERTICAL_MOTOR,S1,15.0,G0,3.0,261.5,290.0,290.0,YES,YES,NO,NO
F_VERTICAL_MOTOR,S1,15.0,G1,5.0,265.5,290.0,290.0,YES,YES,NO,NO
F_VERTICAL_MOTOR,S1,15.0,G2,8.0,271.5,290.0,290.0,YES,YES,NO,NO
F_VERTICAL_MOTOR,S1,15.0,G3,10.0,275.5,290.0,290.0,YES,YES,NO,NO
F_VERTICAL_MOTOR,S2,20.0,G0,3.0,261.5,290.0,290.0,YES,YES,NO,NO
F_VERTICAL_MOTOR,S2,20.0,G1,5.0,265.5,290.0,290.0,YES,YES,NO,YES
F_VERTICAL_MOTOR,S2,20.0,G2,8.0,271.5,290.0,290.0,YES,YES,NO,NO
F_VERTICAL_MOTOR,S2,20.0,G3,10.0,275.5,290.0,290.0,YES,YES,NO,NO
F_VERTICAL_MOTOR,S3,25.0,G0,3.0,261.5,290.0,290.0,YES,YES,NO,NO
F_VERTICAL_MOTOR,S3,25.0,G1,5.0,265.5,290.0,290.0,YES,YES,NO,NO
F_VERTICAL_MOTOR,S3,25.0,G2,8.0,271.5,290.0,290.0,YES,YES,NO,NO
F_VERTICAL_MOTOR,S3,25.0,G3,10.0,275.5,290.0,290.0,YES,YES,NO,NO
G_CURRENT_REPOSITORY_LAYOUT_REPRODUCTION,S0,10.0,G0,3.0,243.5,290.0,290.0,YES,YES,NO,NO
G_CURRENT_REPOSITORY_LAYOUT_REPRODUCTION,S0,10.0,G1,5.0,247.5,290.0,290.0,YES,YES,NO,NO
G_CURRENT_REPOSITORY_LAYOUT_REPRODUCTION,S0,10.0,G2,8.0,253.5,290.0,290.0,YES,YES,NO,NO
G_CURRENT_REPOSITORY_LAYOUT_REPRODUCTION,S0,10.0,G3,10.0,257.5,290.0,290.0,YES,YES,NO,NO
G_CURRENT_REPOSITORY_LAYOUT_REPRODUCTION,S1,15.0,G0,3.0,243.5,290.0,290.0,YES,YES,NO,NO
G_CURRENT_REPOSITORY_LAYOUT_REPRODUCTION,S1,15.0,G1,5.0,247.5,290.0,290.0,YES,YES,NO,NO
G_CURRENT_REPOSITORY_LAYOUT_REPRODUCTION,S1,15.0,G2,8.0,253.5,290.0,290.0,YES,YES,NO,NO
G_CURRENT_REPOSITORY_LAYOUT_REPRODUCTION,S1,15.0,G3,10.0,257.5,290.0,290.0,YES,YES,NO,NO
G_CURRENT_REPOSITORY_LAYOUT_REPRODUCTION,S2,20.0,G0,3.0,243.5,290.0,290.0,YES,YES,NO,NO
G_CURRENT_REPOSITORY_LAYOUT_REPRODUCTION,S2,20.0,G1,5.0,247.5,290.0,290.0,YES,YES,NO,YES
G_CURRENT_REPOSITORY_LAYOUT_REPRODUCTION,S2,20.0,G2,8.0,253.5,290.0,290.0,YES,YES,NO,NO
G_CURRENT_REPOSITORY_LAYOUT_REPRODUCTION,S2,20.0,G3,10.0,257.5,290.0,290.0,YES,YES,NO,NO
G_CURRENT_REPOSITORY_LAYOUT_REPRODUCTION,S3,25.0,G0,3.0,243.5,290.0,290.0,YES,YES,NO,NO
G_CURRENT_REPOSITORY_LAYOUT_REPRODUCTION,S3,25.0,G1,5.0,247.5,290.0,290.0,YES,YES,NO,NO
G_CURRENT_REPOSITORY_LAYOUT_REPRODUCTION,S3,25.0,G2,8.0,253.5,290.0,290.0,YES,YES,NO,NO
G_CURRENT_REPOSITORY_LAYOUT_REPRODUCTION,S3,25.0,G3,10.0,257.5,290.0,290.0,YES,YES,NO,NO
