measurement_id,component,description,measured_value_mm,measurement_source,measurement_method,uncertainty,status,manufacturing_authority,notes
A,MOTOR_BODY,maximum cylinder diameter,36.9,USER_REPORTED_PHYSICAL_CALIPER_MEASUREMENT,USER_OWNED_CALIPER,USER_NOT_REPORTED,MEASURED,NOT_FOR_MANUFACTURING,
B,MOTOR_BODY,rear end to black front plate,60.9,USER_REPORTED_PHYSICAL_CALIPER_MEASUREMENT,USER_OWNED_CALIPER,USER_NOT_REPORTED,MEASURED,NOT_FOR_MANUFACTURING,
C,OUTPUT_SHAFT,black front plate to shaft tip,16.9,USER_REPORTED_PHYSICAL_CALIPER_MEASUREMENT,USER_OWNED_CALIPER,USER_NOT_REPORTED,MEASURED,NOT_FOR_MANUFACTURING,
D,OUTPUT_SHAFT,shaft diameter,5.9,USER_REPORTED_PHYSICAL_CALIPER_MEASUREMENT,USER_OWNED_CALIPER,USER_NOT_REPORTED,MEASURED,NOT_FOR_MANUFACTURING,
E,SHAFT_ROOT_BOSS,boss outside diameter,12.0,USER_REPORTED_PHYSICAL_CALIPER_MEASUREMENT,USER_OWNED_CALIPER,USER_NOT_REPORTED,MEASURED,NOT_FOR_MANUFACTURING,
F,SHAFT_ROOT_BOSS,boss protrusion,2.7,USER_REPORTED_PHYSICAL_CALIPER_MEASUREMENT,USER_OWNED_CALIPER,USER_NOT_REPORTED,MEASURED,NOT_FOR_MANUFACTURING,
M,REAR_TERMINAL,fixed rear connector and terminal protrusion,9.2,USER_REPORTED_PHYSICAL_CALIPER_MEASUREMENT,USER_OWNED_CALIPER,USER_NOT_REPORTED,MEASURED,NOT_FOR_MANUFACTURING,
G,MOUNT_BRACKET,outside width,40.1,USER_REPORTED_PHYSICAL_CALIPER_MEASUREMENT,USER_OWNED_CALIPER,USER_NOT_REPORTED,MEASURED,NOT_FOR_MANUFACTURING,
H,MOUNT_BRACKET,overall height,45.5,USER_REPORTED_PHYSICAL_CALIPER_MEASUREMENT,USER_OWNED_CALIPER,USER_NOT_REPORTED,MEASURED,NOT_FOR_MANUFACTURING,
I,MOUNT_BRACKET,fore-aft length,42.8,USER_REPORTED_PHYSICAL_CALIPER_MEASUREMENT,USER_OWNED_CALIPER,USER_NOT_REPORTED,MEASURED,NOT_FOR_MANUFACTURING,
J,MOUNT_BRACKET,plate thickness,3.1,USER_REPORTED_PHYSICAL_CALIPER_MEASUREMENT,USER_OWNED_CALIPER,USER_NOT_REPORTED,MEASURED,NOT_FOR_MANUFACTURING,
K,MOUNT_BRACKET,small bracket fastener hole diameter,3.4,USER_REPORTED_PHYSICAL_CALIPER_MEASUREMENT,USER_OWNED_CALIPER,USER_NOT_REPORTED,MEASURED,NOT_FOR_MANUFACTURING,M3-class bracket fastener candidate; never substitute 27.7 mm
L_VERTICAL,MOUNT_BRACKET,fastener center pitch vertical,23.8,USER_REPORTED_PHYSICAL_CALIPER_MEASUREMENT,USER_OWNED_CALIPER,USER_NOT_REPORTED,MEASURED,NOT_FOR_MANUFACTURING,
L_HORIZONTAL,MOUNT_BRACKET,fastener center pitch horizontal,30.0,USER_REPORTED_PHYSICAL_CALIPER_MEASUREMENT,USER_OWNED_CALIPER,USER_NOT_REPORTED,MEASURED,NOT_FOR_MANUFACTURING,
SLOT_27P7,MOUNT_BRACKET,motor bearing vertical-slot representative inner value,27.7,USER_REPORTED_PHYSICAL_CALIPER_MEASUREMENT,USER_OWNED_CALIPER,USER_NOT_REPORTED,MEASUREMENT_HOLD,NOT_FOR_MANUFACTURING,"representative inner value only; major/minor axes, corner radius, and center remain HOLD"
DERIVED_REAR,MOTOR_ASSEMBLY,front plate to fixed rear terminal end,70.1,USER_REPORTED_PHYSICAL_CALIPER_MEASUREMENT,USER_OWNED_CALIPER,USER_NOT_REPORTED,DERIVED,NOT_FOR_MANUFACTURING,arithmetic derivation from user-reported measurements; not an independent measurement
DERIVED_FIXED,MOTOR_ASSEMBLY,fixed axial envelope shaft tip through rear terminal,87.0,USER_REPORTED_PHYSICAL_CALIPER_MEASUREMENT,USER_OWNED_CALIPER,USER_NOT_REPORTED,DERIVED,NOT_FOR_MANUFACTURING,arithmetic derivation from user-reported measurements; not an independent measurement
