candidate_id,center_pto_end_gap_mm,left_output_end_y_mm,right_output_end_y_mm,left_right_shaft_intersection_count,left_right_coupling_intersection_count,coupling_sweep_to_unit_structure_clearance_mm,unit_install_direction,coupling_actuation,coupling_candidate,service_score_5,mud_score_5,cost_score_5,automation_score_5,alignment_score_5,mechanical_only,selection,status,hold_reason
BAY-GAP30-C1,30.0,15.0,-15.0,0,0,0.0,FRONT,OUTWARD_FROM_UNIT,C1,5,4,4,3,4,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP30-C2,30.0,15.0,-15.0,0,0,0.0,FRONT,INWARD_FROM_ROVER,C2,4,3,3,3,4,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP30-C3,30.0,15.0,-15.0,0,0,0.0,FRONT,MANUAL_TOOL,C3,4,2,5,2,2,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP30-C4,30.0,15.0,-15.0,0,0,0.0,FRONT,UNIT_DEPENDENT,C4,5,4,4,4,2,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP30-C5,30.0,15.0,-15.0,0,0,0.0,FRONT,UNIT_INTERNAL,C5,3,4,3,4,3,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP40-C1,40.0,20.0,-20.0,0,0,0.0,FRONT,OUTWARD_FROM_UNIT,C1,5,4,4,3,4,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP40-C2,40.0,20.0,-20.0,0,0,0.0,FRONT,INWARD_FROM_ROVER,C2,4,3,3,3,4,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP40-C3,40.0,20.0,-20.0,0,0,0.0,FRONT,MANUAL_TOOL,C3,4,2,5,2,2,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP40-C4,40.0,20.0,-20.0,0,0,0.0,FRONT,UNIT_DEPENDENT,C4,5,4,4,4,2,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP40-C5,40.0,20.0,-20.0,0,0,0.0,FRONT,UNIT_INTERNAL,C5,3,4,3,4,3,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP50-C1,50.0,25.0,-25.0,0,0,5.0,FRONT,OUTWARD_FROM_UNIT,C1,5,4,4,3,4,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
BAY-GAP50-C2,50.0,25.0,-25.0,0,0,5.0,FRONT,INWARD_FROM_ROVER,C2,4,3,3,3,4,True,COMPARATOR,CONDITIONAL_PASS_CANDIDATE,ACTUAL_COUPLING_DIMENSIONS_AND_STROKE_REQUIRED
