check_id,category,source,target,intersection_count,minimum_clearance_mm,required_minimum_mm,margin_mm,status,authority,note
LEFT_PTO_BELT_TO_FRAME,BELT,LEFT_PTO_BELT_SAFETY,FRAME,0,11.5,5.0,6.5,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_3D_ENVELOPE,
LEFT_PTO_BELT_TO_L_BRACKETS,BELT,LEFT_PTO_BELT_SAFETY,L_BRACKETS,0,10.0,5.0,5.0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_3D_ENVELOPE,
LEFT_PTO_BELT_TO_FASTENERS,BELT,LEFT_PTO_BELT_SAFETY,FASTENERS,0,10.0,5.0,5.0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_3D_ENVELOPE,
LEFT_PTO_BELT_TO_SUPPORT_PLATES,BELT,LEFT_PTO_BELT_SAFETY,SUPPORT_PLATES,0,20.0,5.0,15.0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_3D_ENVELOPE,
LEFT_PTO_BELT_TO_KP000_FULL_ENVELOPE,BELT,LEFT_PTO_BELT_SAFETY,KP000_FULL_ENVELOPE,0,10.0,5.0,5.0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_3D_ENVELOPE,
LEFT_PTO_BELT_TO_MOTOR,BELT,LEFT_PTO_BELT_SAFETY,MOTOR,0,10.0,5.0,5.0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_3D_ENVELOPE,
LEFT_PTO_BELT_TO_CLUTCH,BELT,LEFT_PTO_BELT_SAFETY,CLUTCH,0,10.0,8.0,2.0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_3D_ENVELOPE,
LEFT_PTO_BELT_TO_WIRING,BELT,LEFT_PTO_BELT_SAFETY,WIRING,0,25.0,5.0,20.0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_3D_ENVELOPE,
LEFT_PTO_BELT_TO_SENSOR,BELT,LEFT_PTO_BELT_SAFETY,SENSOR,0,25.0,5.0,20.0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_3D_ENVELOPE,
RIGHT_PTO_BELT_TO_FRAME,BELT,RIGHT_PTO_BELT_SAFETY,FRAME,0,11.5,5.0,6.5,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_3D_ENVELOPE,
RIGHT_PTO_BELT_TO_L_BRACKETS,BELT,RIGHT_PTO_BELT_SAFETY,L_BRACKETS,0,10.0,5.0,5.0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_3D_ENVELOPE,
RIGHT_PTO_BELT_TO_FASTENERS,BELT,RIGHT_PTO_BELT_SAFETY,FASTENERS,0,10.0,5.0,5.0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_3D_ENVELOPE,
RIGHT_PTO_BELT_TO_SUPPORT_PLATES,BELT,RIGHT_PTO_BELT_SAFETY,SUPPORT_PLATES,0,20.0,5.0,15.0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_3D_ENVELOPE,
RIGHT_PTO_BELT_TO_KP000_FULL_ENVELOPE,BELT,RIGHT_PTO_BELT_SAFETY,KP000_FULL_ENVELOPE,0,10.0,5.0,5.0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_3D_ENVELOPE,
RIGHT_PTO_BELT_TO_MOTOR,BELT,RIGHT_PTO_BELT_SAFETY,MOTOR,0,10.0,5.0,5.0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_3D_ENVELOPE,
RIGHT_PTO_BELT_TO_CLUTCH,BELT,RIGHT_PTO_BELT_SAFETY,CLUTCH,0,10.0,8.0,2.0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_3D_ENVELOPE,
RIGHT_PTO_BELT_TO_WIRING,BELT,RIGHT_PTO_BELT_SAFETY,WIRING,0,25.0,5.0,20.0,CONDITIONAL_PASS_CANDIDATE,PARAMETRIC_3D_ENVELOPE,
