side,sequence_from_center,item,y_min_mm,y_max_mm,span_mm,authority,manufacturing_release,note
LEFT,1,CENTER_BAY_HALF_GAP,0.0,30.0,30.0,PROVISIONAL,HOLD,LEFT_OUTPUT_MINUS_Y
LEFT,2,INWARD_OUTPUT_END,30.0,30.0,0.0,CANDIDATE_DATUM,HOLD,LEFT_OUTPUT_MINUS_Y
LEFT,3,INWARD_OUTPUT_SHAFT_RESERVE,30.0,30.5,0.5,PROVISIONAL,HOLD,LEFT_OUTPUT_MINUS_Y
LEFT,4,INNER_KP000_FULL_ENVELOPE,30.5,59.5,29.0,MEASURED_PLUS_OPPOSITE_SCENARIO,HOLD,LEFT_OUTPUT_MINUS_Y
LEFT,5,INNER_SUPPORT_PLATE,42.5,47.5,5.0,PROVISIONAL,HOLD,LEFT_OUTPUT_MINUS_Y
LEFT,6,INNER_FIXED_STRUCTURE_CLEARANCE,59.5,69.5,10.0,CANDIDATE_10MM,HOLD,LEFT_OUTPUT_MINUS_Y
LEFT,7,PTO_60T_SAFETY_AXIAL_ENVELOPE,69.5,100.5,31.0,SAFETY,HOLD,LEFT_OUTPUT_MINUS_Y
LEFT,8,PTO_60T_ACTUAL_WIDTH,75.0,95.0,20.0,MEASURED_CANDIDATE,HOLD,LEFT_OUTPUT_MINUS_Y
LEFT,9,OUTER_FIXED_STRUCTURE_CLEARANCE,100.5,110.5,10.0,CANDIDATE_10MM,HOLD,LEFT_OUTPUT_MINUS_Y
LEFT,10,OUTER_KP000_FULL_ENVELOPE,110.5,139.5,29.0,MEASURED_PLUS_OPPOSITE_SCENARIO,HOLD,LEFT_OUTPUT_MINUS_Y
LEFT,11,OUTER_SUPPORT_PLATE,122.5,127.5,5.0,PROVISIONAL,HOLD,LEFT_OUTPUT_MINUS_Y
LEFT,12,BELT_GUARD_OUTER_BOUNDARY,100.5,102.5,2.0,PROVISIONAL,HOLD,LEFT_OUTPUT_MINUS_Y
LEFT,13,DRIVE_BELT_SAFETY_ENVELOPE,109.5,140.5,31.0,SAFETY,HOLD,LEFT_OUTPUT_MINUS_Y
LEFT,14,MOTOR_LARGE_WITH_GLAND,60.0,144.0,84.0,SENSITIVITY,HOLD,LEFT_OUTPUT_MINUS_Y
LEFT,15,CRAWLER_OUTER_ENVELOPE,135.0,145.0,10.0,PARENT_CANDIDATE,HOLD,LEFT_OUTPUT_MINUS_Y
RIGHT,1,CENTER_BAY_HALF_GAP,-30.0,-0.0,30.0,PROVISIONAL,HOLD,RIGHT_OUTPUT_PLUS_Y
RIGHT,2,INWARD_OUTPUT_END,-30.0,-30.0,0.0,CANDIDATE_DATUM,HOLD,RIGHT_OUTPUT_PLUS_Y
RIGHT,3,INWARD_OUTPUT_SHAFT_RESERVE,-30.5,-30.0,0.5,PROVISIONAL,HOLD,RIGHT_OUTPUT_PLUS_Y
RIGHT,4,INNER_KP000_FULL_ENVELOPE,-59.5,-30.5,29.0,MEASURED_PLUS_OPPOSITE_SCENARIO,HOLD,RIGHT_OUTPUT_PLUS_Y
RIGHT,5,INNER_SUPPORT_PLATE,-47.5,-42.5,5.0,PROVISIONAL,HOLD,RIGHT_OUTPUT_PLUS_Y
RIGHT,6,INNER_FIXED_STRUCTURE_CLEARANCE,-69.5,-59.5,10.0,CANDIDATE_10MM,HOLD,RIGHT_OUTPUT_PLUS_Y
RIGHT,7,PTO_60T_SAFETY_AXIAL_ENVELOPE,-100.5,-69.5,31.0,SAFETY,HOLD,RIGHT_OUTPUT_PLUS_Y
RIGHT,8,PTO_60T_ACTUAL_WIDTH,-95.0,-75.0,20.0,MEASURED_CANDIDATE,HOLD,RIGHT_OUTPUT_PLUS_Y
RIGHT,9,OUTER_FIXED_STRUCTURE_CLEARANCE,-110.5,-100.5,10.0,CANDIDATE_10MM,HOLD,RIGHT_OUTPUT_PLUS_Y
RIGHT,10,OUTER_KP000_FULL_ENVELOPE,-139.5,-110.5,29.0,MEASURED_PLUS_OPPOSITE_SCENARIO,HOLD,RIGHT_OUTPUT_PLUS_Y
RIGHT,11,OUTER_SUPPORT_PLATE,-127.5,-122.5,5.0,PROVISIONAL,HOLD,RIGHT_OUTPUT_PLUS_Y
RIGHT,12,BELT_GUARD_OUTER_BOUNDARY,-102.5,-100.5,2.0,PROVISIONAL,HOLD,RIGHT_OUTPUT_PLUS_Y
RIGHT,13,DRIVE_BELT_SAFETY_ENVELOPE,-140.5,-109.5,31.0,SAFETY,HOLD,RIGHT_OUTPUT_PLUS_Y
RIGHT,14,MOTOR_LARGE_WITH_GLAND,-144.0,-60.0,84.0,SENSITIVITY,HOLD,RIGHT_OUTPUT_PLUS_Y
RIGHT,15,CRAWLER_OUTER_ENVELOPE,-145.0,-135.0,10.0,PARENT_CANDIDATE,HOLD,RIGHT_OUTPUT_PLUS_Y
