candidate_id,search_stage,architecture_id,pto_axis_x_mm,pto_axis_z_mm,frame_x_offset_mm,frame_y_offset_mm,frame_z_offset_mm,rail_abs_y_mm,rail_center_z_mm,front_cross_x_mm,belt_frame_clearance_mm,pto_rotation_frame_clearance_mm,clutch_frame_clearance_mm,electrical_separation_mm,tool_access_mm,belt_replacement_clearance_mm,load_path_score,added_part_count,total_width_mm,max_member_length_mm,status,selection,rejection_reason
S0-A-PTOX020.0-Z370.0-FX40.0-FY20.0-FZ20.0,0,A,80.0,370.0,40.0,20.0,20.0,88.75,225.0,180.0,4.75,5.0,55.0,10.0,12.0,14.75,5,0,298.0,290.0,CONDITIONAL_PASS_CANDIDATE,,
S1-A-PTOX020.0-Z370.0-FX00.0-FY00.0-FZ00.0,1,A,80.0,370.0,0.0,0.0,0.0,68.75,205.0,140.0,-15.0,-15.0,35.0,10.0,-7.0,-5.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY00.0-FZ10.0,1,A,80.0,370.0,0.0,0.0,10.0,68.75,215.0,140.0,-15.0,-15.0,45.0,10.0,-7.0,-5.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY00.0-FZ20.0,1,A,80.0,370.0,0.0,0.0,20.0,68.75,225.0,140.0,-15.0,-15.0,55.0,10.0,-7.0,-5.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY00.0-FZ30.0,1,A,80.0,370.0,0.0,0.0,30.0,68.75,235.0,140.0,-15.0,-15.0,65.0,10.0,-7.0,-5.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY00.0-FZ40.0,1,A,80.0,370.0,0.0,0.0,40.0,68.75,245.0,140.0,-15.0,-15.0,75.0,10.0,-7.0,-5.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY00.0-FZ50.0,1,A,80.0,370.0,0.0,0.0,50.0,68.75,255.0,140.0,-15.0,-15.0,85.0,10.0,-7.0,-5.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY00.0-FZ60.0,1,A,80.0,370.0,0.0,0.0,60.0,68.75,265.0,140.0,-15.0,-15.0,95.0,10.0,-7.0,-5.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY00.0-FZ70.0,1,A,80.0,370.0,0.0,0.0,70.0,68.75,275.0,140.0,-15.0,-15.0,105.0,10.0,-7.0,-5.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY00.0-FZ80.0,1,A,80.0,370.0,0.0,0.0,80.0,68.75,285.0,140.0,-15.0,-15.0,115.0,10.0,-7.0,-5.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY05.0-FZ00.0,1,A,80.0,370.0,0.0,5.0,0.0,73.75,205.0,140.0,-10.0,-10.0,35.0,10.0,-2.0,0.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY05.0-FZ10.0,1,A,80.0,370.0,0.0,5.0,10.0,73.75,215.0,140.0,-10.0,-10.0,45.0,10.0,-2.0,0.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY05.0-FZ20.0,1,A,80.0,370.0,0.0,5.0,20.0,73.75,225.0,140.0,-10.0,-10.0,55.0,10.0,-2.0,0.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY05.0-FZ30.0,1,A,80.0,370.0,0.0,5.0,30.0,73.75,235.0,140.0,-10.0,-10.0,65.0,10.0,-2.0,0.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY05.0-FZ40.0,1,A,80.0,370.0,0.0,5.0,40.0,73.75,245.0,140.0,-10.0,-10.0,75.0,10.0,-2.0,0.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY05.0-FZ50.0,1,A,80.0,370.0,0.0,5.0,50.0,73.75,255.0,140.0,-10.0,-10.0,85.0,10.0,-2.0,0.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY05.0-FZ60.0,1,A,80.0,370.0,0.0,5.0,60.0,73.75,265.0,140.0,-10.0,-10.0,95.0,10.0,-2.0,0.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY05.0-FZ70.0,1,A,80.0,370.0,0.0,5.0,70.0,73.75,275.0,140.0,-10.0,-10.0,105.0,10.0,-2.0,0.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY05.0-FZ80.0,1,A,80.0,370.0,0.0,5.0,80.0,73.75,285.0,140.0,-10.0,-10.0,115.0,10.0,-2.0,0.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY10.0-FZ00.0,1,A,80.0,370.0,0.0,10.0,0.0,78.75,205.0,140.0,-5.0,-10.0,35.0,10.0,3.0,5.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY10.0-FZ10.0,1,A,80.0,370.0,0.0,10.0,10.0,78.75,215.0,140.0,-5.0,-10.0,45.0,10.0,3.0,5.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY10.0-FZ20.0,1,A,80.0,370.0,0.0,10.0,20.0,78.75,225.0,140.0,-5.0,-10.0,55.0,10.0,3.0,5.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY10.0-FZ30.0,1,A,80.0,370.0,0.0,10.0,30.0,78.75,235.0,140.0,-5.0,-10.0,65.0,10.0,3.0,5.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY10.0-FZ40.0,1,A,80.0,370.0,0.0,10.0,40.0,78.75,245.0,140.0,-5.0,-10.0,75.0,10.0,3.0,5.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY10.0-FZ50.0,1,A,80.0,370.0,0.0,10.0,50.0,78.75,255.0,140.0,-5.0,-10.0,85.0,10.0,3.0,5.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY10.0-FZ60.0,1,A,80.0,370.0,0.0,10.0,60.0,78.75,265.0,140.0,-5.0,-10.0,95.0,10.0,3.0,5.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY10.0-FZ70.0,1,A,80.0,370.0,0.0,10.0,70.0,78.75,275.0,140.0,-5.0,-10.0,105.0,10.0,3.0,5.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY10.0-FZ80.0,1,A,80.0,370.0,0.0,10.0,80.0,78.75,285.0,140.0,-5.0,-10.0,115.0,10.0,3.0,5.0,3,0,298.0,290.0,FAIL,,BELT_SAFETY_ENVELOPE_INTERSECTS_FRAME|PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY15.0-FZ00.0,1,A,80.0,370.0,0.0,15.0,0.0,83.75,205.0,140.0,0.0,-10.0,35.0,10.0,8.0,10.0,5,0,298.0,290.0,FAIL,,PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY15.0-FZ10.0,1,A,80.0,370.0,0.0,15.0,10.0,83.75,215.0,140.0,0.0,-10.0,45.0,10.0,8.0,10.0,5,0,298.0,290.0,FAIL,,PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY15.0-FZ20.0,1,A,80.0,370.0,0.0,15.0,20.0,83.75,225.0,140.0,0.0,-10.0,55.0,10.0,8.0,10.0,5,0,298.0,290.0,FAIL,,PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY15.0-FZ30.0,1,A,80.0,370.0,0.0,15.0,30.0,83.75,235.0,140.0,0.0,-10.0,65.0,10.0,8.0,10.0,5,0,298.0,290.0,FAIL,,PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY15.0-FZ40.0,1,A,80.0,370.0,0.0,15.0,40.0,83.75,245.0,140.0,0.0,-10.0,75.0,10.0,8.0,10.0,3,0,298.0,290.0,FAIL,,PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY15.0-FZ50.0,1,A,80.0,370.0,0.0,15.0,50.0,83.75,255.0,140.0,0.0,-10.0,85.0,10.0,8.0,10.0,3,0,298.0,290.0,FAIL,,PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY15.0-FZ60.0,1,A,80.0,370.0,0.0,15.0,60.0,83.75,265.0,140.0,0.0,-10.0,95.0,10.0,8.0,10.0,3,0,298.0,290.0,FAIL,,PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY15.0-FZ70.0,1,A,80.0,370.0,0.0,15.0,70.0,83.75,275.0,140.0,0.0,-10.0,105.0,10.0,8.0,10.0,3,0,298.0,290.0,FAIL,,PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY15.0-FZ80.0,1,A,80.0,370.0,0.0,15.0,80.0,83.75,285.0,140.0,0.0,-10.0,115.0,10.0,8.0,10.0,3,0,298.0,290.0,FAIL,,PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY20.0-FZ00.0,1,A,80.0,370.0,0.0,20.0,0.0,88.75,205.0,140.0,4.75,-10.0,35.0,10.0,12.0,14.75,5,0,298.0,290.0,FAIL,,PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY20.0-FZ10.0,1,A,80.0,370.0,0.0,20.0,10.0,88.75,215.0,140.0,4.75,-10.0,45.0,10.0,12.0,14.75,5,0,298.0,290.0,FAIL,,PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY20.0-FZ20.0,1,A,80.0,370.0,0.0,20.0,20.0,88.75,225.0,140.0,4.75,-10.0,55.0,10.0,12.0,14.75,5,0,298.0,290.0,FAIL,,PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY20.0-FZ30.0,1,A,80.0,370.0,0.0,20.0,30.0,88.75,235.0,140.0,4.75,-10.0,65.0,10.0,12.0,14.75,5,0,298.0,290.0,FAIL,,PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY20.0-FZ40.0,1,A,80.0,370.0,0.0,20.0,40.0,88.75,245.0,140.0,4.75,-10.0,75.0,10.0,12.0,14.75,3,0,298.0,290.0,FAIL,,PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY20.0-FZ50.0,1,A,80.0,370.0,0.0,20.0,50.0,88.75,255.0,140.0,4.75,-10.0,85.0,10.0,12.0,14.75,3,0,298.0,290.0,FAIL,,PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY20.0-FZ60.0,1,A,80.0,370.0,0.0,20.0,60.0,88.75,265.0,140.0,4.75,-10.0,95.0,10.0,12.0,14.75,3,0,298.0,290.0,FAIL,,PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY20.0-FZ70.0,1,A,80.0,370.0,0.0,20.0,70.0,88.75,275.0,140.0,4.75,-10.0,105.0,10.0,12.0,14.75,3,0,298.0,290.0,FAIL,,PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
S1-A-PTOX020.0-Z370.0-FX00.0-FY20.0-FZ80.0,1,A,80.0,370.0,0.0,20.0,80.0,88.75,285.0,140.0,4.75,-10.0,115.0,10.0,12.0,14.75,3,0,298.0,290.0,FAIL,,PTO_ROTATION_ENVELOPE_INTERSECTS_FRAME
