candidate_id,class,pto_axis_x_mm,pto_axis_z_mm,rotation_bottom_z_mm,water_mud_clearance_mm,belt_angle_deg,belt_center_distance_mm,belt_pitch_length_candidate_mm,small_pulley_wrap_deg,tensioner_space_mm,clutch_distance_mm,frame_height_mm,work_unit_alignment,ground_obstacle_margin_mm,track_dynamic_clearance_mm,electrical_separation_mm,maintenance_access_mm,status,selection,rejection_reason
PTO-EMERGENCY_ONLY-Z260.0-X100.0,EMERGENCY_ONLY,100.0,260.0,200.0,0.0,47.726,148.661,504.137,155.272,20.0,186.011,225.0,PARAMETRIC_CANDIDATE,200.0,0.0,120.0,12.0,FAIL_OR_EMERGENCY_ONLY,COMPARATOR,BELOW_STANDARD_PTO_AXIS_MIN|RECOMMENDED_WATER_MUD_MARGIN_NOT_MET
PTO-EMERGENCY_ONLY-Z270.0-X100.0,EMERGENCY_ONLY,100.0,270.0,210.0,10.0,45.0,141.421,490.007,153.985,20.0,180.278,225.0,PARAMETRIC_CANDIDATE,210.0,0.0,110.0,12.0,FAIL_OR_EMERGENCY_ONLY,COMPARATOR,BELOW_STANDARD_PTO_AXIS_MIN|RECOMMENDED_WATER_MUD_MARGIN_NOT_MET
PTO-LOW-Z280.0-X100.0,LOW,100.0,280.0,220.0,20.0,41.987,134.536,476.604,152.628,20.0,174.929,225.0,PARAMETRIC_CANDIDATE,220.0,10.0,100.0,12.0,CONDITIONAL_PASS_CANDIDATE,LOW_PTO_CANDIDATE,
PTO-LOW-Z290.0-X100.0,LOW,100.0,290.0,230.0,30.0,38.66,128.062,464.037,151.216,20.0,170.0,225.0,PARAMETRIC_CANDIDATE,230.0,20.0,90.0,12.0,CONDITIONAL_PASS_CANDIDATE,COMPARATOR,
PTO-LOW-Z300.0-X100.0,LOW,100.0,300.0,240.0,40.0,34.992,122.066,452.432,149.769,20.0,165.529,225.0,PARAMETRIC_CANDIDATE,240.0,30.0,80.0,12.0,CONDITIONAL_PASS_CANDIDATE,COMPARATOR,
PTO-MID-Z310.0-X100.0,MID,100.0,310.0,250.0,50.0,30.964,116.619,441.926,148.32,20.0,161.555,225.0,PARAMETRIC_CANDIDATE,250.0,40.0,70.0,18.0,CONDITIONAL_PASS_CANDIDATE,COMPARATOR,
PTO-MID-Z320.0-X100.0,MID,100.0,320.0,260.0,60.0,26.565,111.803,432.669,146.918,20.0,158.114,225.0,PARAMETRIC_CANDIDATE,260.0,50.0,60.0,18.0,CONDITIONAL_PASS_CANDIDATE,MID_PTO_RECOMMENDED,
PTO-MID-Z330.0-X100.0,MID,100.0,330.0,270.0,70.0,21.801,107.703,424.814,145.62,20.0,155.242,225.0,PARAMETRIC_CANDIDATE,270.0,60.0,50.0,18.0,CONDITIONAL_PASS_CANDIDATE,COMPARATOR,
PTO-MID-Z340.0-X100.0,MID,100.0,340.0,280.0,80.0,16.699,104.403,418.511,144.497,20.0,152.971,225.0,PARAMETRIC_CANDIDATE,280.0,70.0,40.0,18.0,CONDITIONAL_PASS_CANDIDATE,COMPARATOR,
PTO-HIGH-Z350.0-X080.0,HIGH,80.0,350.0,290.0,90.0,14.036,82.462,377.211,134.587,14.0,131.529,225.0,PARAMETRIC_CANDIDATE,290.0,80.0,30.0,14.0,CONDITIONAL_PASS_CANDIDATE,COMPARATOR,
PTO-HIGH-Z360.0-X080.0,HIGH,80.0,360.0,300.0,100.0,7.125,80.623,373.813,133.491,14.0,130.384,225.0,PARAMETRIC_CANDIDATE,300.0,90.0,20.0,14.0,CONDITIONAL_PASS_CANDIDATE,COMPARATOR,
PTO-HIGH-Z370.0-X080.0,HIGH,80.0,370.0,310.0,110.0,0.0,80.0,372.665,133.108,14.0,130.0,225.0,PARAMETRIC_CANDIDATE,310.0,100.0,10.0,14.0,CONDITIONAL_PASS_CANDIDATE,HIGH_PTO_CANDIDATE,
