candidate,height_case,joint_or_frame,target,collision_class,intersection_volume_mm3,fixed_clearance_mm,service_collision,measurement_hold,status
A_END_TAP,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,motor,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,NO,PASS
A_END_TAP,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,metal_bracket,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,NO,PASS
A_END_TAP,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,8hole_plate,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,NO,PASS
A_END_TAP,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,M3_fastener,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,YES,PASS
A_END_TAP,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,M5_fastener,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,YES,PASS
A_END_TAP,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,spacer_nut,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,YES,PASS
A_END_TAP,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,20T_pulley,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,NO,PASS
A_END_TAP,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,60T_pulley,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,NO,PASS
A_END_TAP,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,belt,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,NO,PASS
A_END_TAP,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,selector,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,NO,PASS
A_END_TAP,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,PTO,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,NO,PASS
A_END_TAP,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,fixed_guard,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,YES,PASS
B_TIE_PLATE,ACTUAL_H4P3_TO_H4P5_WASHER_NUT_STACK,FRAME,motor,USER_REPORTED_DIMENSION_OR_CONSERVATIVE_PROXY,0.000000,15.0,SEPARATE,NO,PASS
