front_crossmember_center_y_mm,rear_crossmember_center_y_mm,front_fixed_clearance_mm,rear_fixed_clearance_mm,minimum_fixed_clearance_mm,front_service_clearance_mm,rear_service_clearance_mm,minimum_service_clearance_mm,frame_length_mm,hard_collision,hard_min_10_pass,target_15_pass,limiting_component,limiting_guard,limiting_service_operation,extra_length_relative_to_current_mockup_mm,status
-330.0,-120.0,60.0,-20.0,-20.0,55.0,-25.0,-25.0,250.0,YES,NO,NO,60T_FIXED_GUARD_PROXY,PULLEY_GUARD_5MM_MARGIN,BELT_REMOVAL_AND_GUARD_TOOL_SWEEP,MEASUREMENT_HOLD,SEARCHED
-330.0,-115.0,60.0,-15.0,-15.0,55.0,-20.0,-20.0,255.0,YES,NO,NO,60T_FIXED_GUARD_PROXY,PULLEY_GUARD_5MM_MARGIN,BELT_REMOVAL_AND_GUARD_TOOL_SWEEP,MEASUREMENT_HOLD,SEARCHED
-330.0,-110.0,60.0,-10.0,-10.0,55.0,-15.0,-15.0,260.0,YES,NO,NO,60T_FIXED_GUARD_PROXY,PULLEY_GUARD_5MM_MARGIN,BELT_REMOVAL_AND_GUARD_TOOL_SWEEP,MEASUREMENT_HOLD,SEARCHED
-330.0,-105.0,60.0,-5.0,-5.0,55.0,-10.0,-10.0,265.0,YES,NO,NO,60T_FIXED_GUARD_PROXY,PULLEY_GUARD_5MM_MARGIN,BELT_REMOVAL_AND_GUARD_TOOL_SWEEP,MEASUREMENT_HOLD,SEARCHED
-330.0,-100.0,60.0,0.0,0.0,55.0,-5.0,-5.0,270.0,NO,NO,NO,60T_FIXED_GUARD_PROXY,PULLEY_GUARD_5MM_MARGIN,BELT_REMOVAL_AND_GUARD_TOOL_SWEEP,MEASUREMENT_HOLD,SEARCHED
-330.0,-95.0,60.0,5.0,5.0,55.0,0.0,0.0,275.0,NO,NO,NO,60T_FIXED_GUARD_PROXY,PULLEY_GUARD_5MM_MARGIN,BELT_REMOVAL_AND_GUARD_TOOL_SWEEP,MEASUREMENT_HOLD,SEARCHED
-330.0,-90.0,60.0,10.0,10.0,55.0,5.0,5.0,280.0,NO,YES,NO,60T_FIXED_GUARD_PROXY,PULLEY_GUARD_5MM_MARGIN,BELT_REMOVAL_AND_GUARD_TOOL_SWEEP,MEASUREMENT_HOLD,SEARCHED
-330.0,-85.0,60.0,15.0,15.0,55.0,10.0,10.0,285.0,NO,YES,YES,60T_FIXED_GUARD_PROXY,PULLEY_GUARD_5MM_MARGIN,BELT_REMOVAL_AND_GUARD_TOOL_SWEEP,MEASUREMENT_HOLD,SEARCHED
-330.0,-80.0,60.0,20.0,20.0,55.0,15.0,15.0,290.0,NO,YES,YES,60T_FIXED_GUARD_PROXY,PULLEY_GUARD_5MM_MARGIN,BELT_REMOVAL_AND_GUARD_TOOL_SWEEP,MEASUREMENT_HOLD,SEARCHED
-330.0,-75.0,60.0,25.0,25.0,55.0,20.0,20.0,295.0,NO,YES,YES,60T_FIXED_GUARD_PROXY,PULLEY_GUARD_5MM_MARGIN,BELT_REMOVAL_AND_GUARD_TOOL_SWEEP,MEASUREMENT_HOLD,SEARCHED
