candidate,criterion,score_1_to_5,weight,weighted_score,hard_fail_override,basis
A_END_TAP,central_clearance,5,1,5,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
A_END_TAP,mechanical_rigidity,3,1,3,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
A_END_TAP,anti_racking,2,1,2,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
A_END_TAP,farmer_fabrication,2,1,2,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
A_END_TAP,no_special_tool_repair,2,1,2,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
A_END_TAP,replaceability,3,1,3,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
A_END_TAP,part_availability,4,1,4,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
A_END_TAP,part_cost,4,1,4,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
A_END_TAP,weight,5,1,5,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
A_END_TAP,assembly_repeatability,3,1,3,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
A_END_TAP,service_access,4,1,4,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
A_END_TAP,mud_survivability,4,1,4,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
A_END_TAP,water_survivability,4,1,4,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
A_END_TAP,bottom_clearance,5,1,5,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
A_END_TAP,measurement_uncertainty,2,1,2,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
A_END_TAP,manufacturing_risk,2,1,2,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
A_END_TAP,TOTAL,,16,54,NO_CURRENT_HARD_FAIL,TOTAL_DOES_NOT_OVERRIDE_HARD_FAILS
B_TIE_PLATE,central_clearance,5,1,5,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
B_TIE_PLATE,mechanical_rigidity,4,1,4,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
B_TIE_PLATE,anti_racking,4,1,4,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
B_TIE_PLATE,farmer_fabrication,4,1,4,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
B_TIE_PLATE,no_special_tool_repair,4,1,4,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
B_TIE_PLATE,replaceability,5,1,5,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
B_TIE_PLATE,part_availability,4,1,4,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
B_TIE_PLATE,part_cost,3,1,3,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
B_TIE_PLATE,weight,3,1,3,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
B_TIE_PLATE,assembly_repeatability,3,1,3,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
B_TIE_PLATE,service_access,4,1,4,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
B_TIE_PLATE,mud_survivability,2,1,2,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
B_TIE_PLATE,water_survivability,3,1,3,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
B_TIE_PLATE,bottom_clearance,2,1,2,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
B_TIE_PLATE,measurement_uncertainty,2,1,2,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
B_TIE_PLATE,manufacturing_risk,3,1,3,NO_CURRENT_HARD_FAIL,CONSERVATIVE_TRADE_STUDY;MEASUREMENT_HOLDS_REMAIN
B_TIE_PLATE,TOTAL,,16,55,NO_CURRENT_HARD_FAIL,TOTAL_DOES_NOT_OVERRIDE_HARD_FAILS
