side,candidate_thickness_mm,id_mm,od_mm,classification,selection_status
REAR,0.0,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
REAR,0.5,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
REAR,1.0,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
REAR,1.5,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
REAR,2.0,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
REAR,2.5,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
REAR,3.0,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
REAR,3.5,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
REAR,4.0,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
REAR,4.5,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
REAR,5.0,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
REAR,5.5,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
REAR,6.0,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
REAR,6.5,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
REAR,7.0,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
REAR,7.5,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
REAR,8.0,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
REAR,8.5,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
REAR,9.0,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
REAR,9.5,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
REAR,10.0,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
REAR,10.5,10.2,13.8,PARAMETRIC_STUDY,PHYSICAL_MEASUREMENT_REQUIRED
