rank_scope,rank,selection_role,candidate_id,search_stage,search_resolution,pto_belt_shift_mm,drive_belt_shift_mm,inner_support_type,inner_support_thickness_mm,inner_kp000_shift_inward_mm,outer_kp000_shift_outward_mm,fastener_orientation,fastener_style,pto_nominal_clearance_mm,pto_residual_clearance_mm,drive_nominal_clearance_mm,drive_residual_clearance_mm,pulley_60t_to_fixed_mm,belt_to_wiring_mm,inner_support_center_gap_mm,track_outer_margin_mm,total_width_mm,left_pto_outer_end_y_mm,right_pto_outer_end_y_mm,belt_intersection_count,fastener_intersection_count,tool_access_intersection_count,clutch_intersection_count,track_intersection_count,aluminum_2020_stock_used,aluminum_2040_stock_used,added_part_count,total_y_change_mm,serviceability_score,score,status,rejection_reason,pareto_maximum_minimum_residual,pareto_minimum_total_width,pareto_minimum_change,pareto_minimum_added_parts,pareto_maximum_tool_access,pareto_maximum_serviceability
STAGE_1,1,TOP_10_COMPARISON,S1-REF-B+0.00-D+4.00,STAGE_1_Y_POSITION_ONLY,REFINED_0.25_MM,0.0,0.0,2020_UNCHANGED,20.0,4.0,4.0,V008_BASELINE_INWARD,STANDARD_RESERVED,9.5,4.5,15.5,10.5,15.0,19.5,0.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,8.0,4.0,74.0,FAIL,PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8,False,True,False,False,True,False
STAGE_1,2,TOP_10_COMPARISON,S1-Y-B+00.0-D+04.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,0.0,0.0,2020_UNCHANGED,20.0,4.0,4.0,V008_BASELINE_INWARD,STANDARD_RESERVED,9.5,4.5,15.5,10.5,15.0,19.5,0.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,8.0,4.0,74.0,FAIL,PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8,False,True,False,False,True,False
STAGE_1,3,TOP_10_COMPARISON,S1-REF-B+0.00-D+3.75,STAGE_1_Y_POSITION_ONLY,REFINED_0.25_MM,0.0,0.0,2020_UNCHANGED,20.0,3.75,3.75,V008_BASELINE_INWARD,STANDARD_RESERVED,9.25,4.25,15.5,10.5,14.75,19.5,0.5,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,7.5,4.0,70.5,FAIL,PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8,False,True,False,False,True,False
STAGE_1,4,TOP_10_COMPARISON,S1-REF-B+0.25-D+4.00,STAGE_1_Y_POSITION_ONLY,REFINED_0.25_MM,0.25,0.0,2020_UNCHANGED,20.0,4.0,4.0,V008_BASELINE_INWARD,STANDARD_RESERVED,9.25,4.25,15.5,10.5,15.25,19.75,0.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,8.25,4.0,68.25,FAIL,PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8,False,True,False,False,True,False
STAGE_1,5,TOP_10_COMPARISON,S1-REF-B-0.25-D+4.00,STAGE_1_Y_POSITION_ONLY,REFINED_0.25_MM,-0.25,0.0,2020_UNCHANGED,20.0,4.0,4.0,V008_BASELINE_INWARD,STANDARD_RESERVED,9.25,4.25,15.5,10.5,14.75,19.25,0.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,8.25,4.0,68.25,FAIL,PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8,False,True,False,False,True,False
STAGE_1,6,TOP_10_COMPARISON,S1-REF-B+0.00-D+3.50,STAGE_1_Y_POSITION_ONLY,REFINED_0.25_MM,0.0,0.0,2020_UNCHANGED,20.0,3.5,3.5,V008_BASELINE_INWARD,STANDARD_RESERVED,9.0,4.0,15.5,10.5,14.5,19.5,1.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,7.0,4.0,67.0,FAIL,PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8,False,True,False,False,True,False
STAGE_1,7,TOP_10_COMPARISON,S1-REF-B+0.25-D+3.75,STAGE_1_Y_POSITION_ONLY,REFINED_0.25_MM,0.25,0.0,2020_UNCHANGED,20.0,3.75,3.75,V008_BASELINE_INWARD,STANDARD_RESERVED,9.0,4.0,15.5,10.5,15.0,19.75,0.5,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,7.75,4.0,64.75,FAIL,PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8,False,True,False,False,True,False
STAGE_1,8,TOP_10_COMPARISON,S1-REF-B-0.25-D+3.75,STAGE_1_Y_POSITION_ONLY,REFINED_0.25_MM,-0.25,0.0,2020_UNCHANGED,20.0,3.75,3.75,V008_BASELINE_INWARD,STANDARD_RESERVED,9.0,4.0,15.5,10.5,14.5,19.25,0.5,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,7.75,4.0,64.75,FAIL,PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8,False,True,False,False,True,False
STAGE_1,9,TOP_10_COMPARISON,S1-REF-B+0.50-D+4.00,STAGE_1_Y_POSITION_ONLY,REFINED_0.25_MM,0.5,0.0,2020_UNCHANGED,20.0,4.0,4.0,V008_BASELINE_INWARD,STANDARD_RESERVED,9.0,4.0,15.5,10.5,15.5,20.0,0.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,8.5,4.0,62.5,FAIL,PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8,False,True,False,False,True,False
STAGE_1,10,TOP_10_COMPARISON,S1-REF-B-0.50-D+4.00,STAGE_1_Y_POSITION_ONLY,REFINED_0.25_MM,-0.5,0.0,2020_UNCHANGED,20.0,4.0,4.0,V008_BASELINE_INWARD,STANDARD_RESERVED,9.0,4.0,15.5,10.5,14.5,19.0,0.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,8.5,4.0,62.5,FAIL,PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8,False,True,False,False,True,False
STAGE_2,1,TOP_10_COMPARISON,S2-REF-T5-BP2.00-OP5.50,STAGE_2_INNER_SUPPORT_AND_FASTENERS,REFINED_0.25_MM,2.0,0.0,METAL_PLATE_5MM_CANDIDATE,5.0,0.0,5.5,REVERSED_AWAY_FROM_BELT,STANDARD_REVERSED,15.0,10.0,15.5,10.5,13.0,21.5,7.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,7,7,2,7.5,10.0,1167.5,CONDITIONAL_PASS,,False,True,False,True,True,True
STAGE_2,2,TOP_10_COMPARISON,S2-REF-T5-BP2.00-OP5.75,STAGE_2_INNER_SUPPORT_AND_FASTENERS,REFINED_0.25_MM,2.0,0.0,METAL_PLATE_5MM_CANDIDATE,5.0,0.0,5.75,REVERSED_AWAY_FROM_BELT,STANDARD_REVERSED,15.0,10.0,15.5,10.5,13.0,21.5,7.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,7,7,2,7.75,10.0,1166.75,CONDITIONAL_PASS,,False,True,False,True,True,True
