measurement_id,part,measurement_name,axis_or_direction,nominal_value,measured_value,unit,measurement_tool,required_accuracy,measurement_method,photo_required,status,design_dependency,notes
M001,KP000,housing_overall_width,X,45x15x35 envelope only,,mm,CALIPER,0.1 mm,Measure extreme left face to extreme right face.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,"Existing 45x15x35 geometry is an unverified envelope, not a measured part."
M002,KP000,housing_overall_height,Z,,,mm,CALIPER,0.1 mm,Measure mounting base bottom to highest housing feature.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,"Existing 45x15x35 geometry is an unverified envelope, not a measured part."
M003,KP000,housing_depth,Y,,,mm,CALIPER,0.1 mm,Measure frontmost to rearmost housing face along shaft axis.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,"Existing 45x15x35 geometry is an unverified envelope, not a measured part."
M004,KP000,shaft_center_from_base,Z,,,mm,CALIPER,0.1 mm,Measure base bottom to bore center using half bore diameter.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,"Existing 45x15x35 geometry is an unverified envelope, not a measured part."
M005,KP000,mounting_hole_count,COUNT,,,mm,CALIPER,0.1 mm,Count all mounting holes; record slots separately.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,"Existing 45x15x35 geometry is an unverified envelope, not a measured part."
M006,KP000,mounting_hole_diameter,NORMAL_TO_BASE,,,mm,CALIPER,0.05 mm,Measure each hole at two directions.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,"Existing 45x15x35 geometry is an unverified envelope, not a measured part."
M007,KP000,mounting_hole_spacing_x,X,,,mm,CALIPER,0.1 mm,Measure center-to-center parallel to plate width.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,"Existing 45x15x35 geometry is an unverified envelope, not a measured part."
M008,KP000,mounting_hole_spacing_z,Z,,,mm,CALIPER,0.1 mm,Measure center-to-center parallel to plate height.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,"Existing 45x15x35 geometry is an unverified envelope, not a measured part."
M009,KP000,mounting_hole_shape,X/Z,,,mm,CALIPER,0.1 mm,Record ROUND or SLOT and slot direction.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,"Existing 45x15x35 geometry is an unverified envelope, not a measured part."
M010,KP000,mounting_bolt_nominal,THREAD,,,mm,CALIPER,0.1 mm,Confirm bolt marking and thread with gauge.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,"Existing 45x15x35 geometry is an unverified envelope, not a measured part."
M011,KP000,bearing_bore,Y_AXIS,,,mm,CALIPER,0.05 mm,Measure shaft or identify insert bearing marking.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,"Existing 45x15x35 geometry is an unverified envelope, not a measured part."
M012,KP000,set_screw_position,ANGULAR/Y,,,mm,CALIPER,0.1 mm,Measure from housing reference face and photograph.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,"Existing 45x15x35 geometry is an unverified envelope, not a measured part."
M013,KP000,grease_port_or_projection,X/Y/Z,,,mm,CALIPER,0.1 mm,Measure projection from housing envelope.,YES,PART_MEASUREMENT_REQUIRED,HOLE_PATTERN_AND_ENVELOPE,"Existing 45x15x35 geometry is an unverified envelope, not a measured part."
