candidate_id,search_stage,left_inner_orientation,left_outer_orientation,right_inner_orientation,right_outer_orientation,left_inner_y_mm,right_inner_y_mm,left_pulley_y_mm,right_pulley_y_mm,left_outer_y_mm,right_outer_y_mm,inner_shift_mm,pulley_shift_mm,outer_shift_mm,center_mutual_clearance_mm,belt_to_inner_nominal_mm,belt_to_inner_residual_mm,belt_to_outer_nominal_mm,belt_to_outer_residual_mm,pulley_to_inner_nominal_mm,pulley_to_inner_residual_mm,pulley_to_outer_nominal_mm,pulley_to_outer_residual_mm,tool_clearance_mm,support_plate_fit,shaft_length_min_mm,shaft_length_max_mm,total_width_mm,left_pto_end_y_mm,right_pto_end_y_mm,robustness_result,added_parts,status,rejection_reason
S1-CCCC,1,C,C,C,C,14.0,-14.0,47.0,-47.0,87.5,-87.5,0.0,0.0,0.0,-1.0,14.0,9.0,15.5,10.5,14.5,12.0,16.0,13.5,12.0,PASS_WITHIN_95X140_REFERENCE_ENVELOPE,139.5,145.5,290.0,145.0,-145.0,NOT_FULLY_EVALUATED,0,FAIL,CENTER_CLEARANCE_LT_1
S1-CCCO,1,C,C,C,O,14.0,-14.0,47.0,-47.0,87.5,-87.5,0.0,0.0,0.0,-1.0,14.0,9.0,15.5,10.5,14.5,12.0,16.0,13.5,12.0,PASS_WITHIN_95X140_REFERENCE_ENVELOPE,139.5,145.5,290.0,145.0,-145.0,NOT_FULLY_EVALUATED,0,FAIL,CENTER_CLEARANCE_LT_1
S1-CCOC,1,C,C,O,C,14.0,-14.0,47.0,-47.0,87.5,-87.5,0.0,0.0,0.0,5.0,8.0,3.0,15.5,10.5,8.5,6.0,16.0,13.5,12.0,PASS_WITHIN_95X140_REFERENCE_ENVELOPE,139.5,145.5,290.0,145.0,-145.0,NOT_FULLY_EVALUATED,0,FAIL,BELT_NOMINAL_LT_13|BELT_RESIDUAL_LT_8|PULLEY_CLEARANCE_LT_10
S1-CCOO,1,C,C,O,O,14.0,-14.0,47.0,-47.0,87.5,-87.5,0.0,0.0,0.0,5.0,8.0,3.0,15.5,10.5,8.5,6.0,16.0,13.5,12.0,PASS_WITHIN_95X140_REFERENCE_ENVELOPE,139.5,145.5,290.0,145.0,-145.0,NOT_FULLY_EVALUATED,0,FAIL,BELT_NOMINAL_LT_13|BELT_RESIDUAL_LT_8|PULLEY_CLEARANCE_LT_10
S1-COCC,1,C,O,C,C,14.0,-14.0,47.0,-47.0,87.5,-87.5,0.0,0.0,0.0,-1.0,14.0,9.0,15.5,10.5,14.5,12.0,16.0,13.5,12.0,PASS_WITHIN_95X140_REFERENCE_ENVELOPE,139.5,145.5,290.0,145.0,-145.0,NOT_FULLY_EVALUATED,0,FAIL,CENTER_CLEARANCE_LT_1
S1-COCO,1,C,O,C,O,14.0,-14.0,47.0,-47.0,87.5,-87.5,0.0,0.0,0.0,-1.0,14.0,9.0,21.5,16.5,14.5,12.0,22.0,19.5,12.0,PASS_WITHIN_95X140_REFERENCE_ENVELOPE,139.5,145.5,290.0,145.0,-145.0,NOT_FULLY_EVALUATED,0,FAIL,CENTER_CLEARANCE_LT_1
S1-COOC,1,C,O,O,C,14.0,-14.0,47.0,-47.0,87.5,-87.5,0.0,0.0,0.0,5.0,8.0,3.0,15.5,10.5,8.5,6.0,16.0,13.5,12.0,PASS_WITHIN_95X140_REFERENCE_ENVELOPE,139.5,145.5,290.0,145.0,-145.0,NOT_FULLY_EVALUATED,0,FAIL,BELT_NOMINAL_LT_13|BELT_RESIDUAL_LT_8|PULLEY_CLEARANCE_LT_10
S1-COOO,1,C,O,O,O,14.0,-14.0,47.0,-47.0,87.5,-87.5,0.0,0.0,0.0,5.0,8.0,3.0,21.5,16.5,8.5,6.0,22.0,19.5,12.0,PASS_WITHIN_95X140_REFERENCE_ENVELOPE,139.5,145.5,290.0,145.0,-145.0,NOT_FULLY_EVALUATED,0,FAIL,BELT_NOMINAL_LT_13|BELT_RESIDUAL_LT_8|PULLEY_CLEARANCE_LT_10
S1-OCCC,1,O,C,C,C,14.0,-14.0,47.0,-47.0,87.5,-87.5,0.0,0.0,0.0,5.0,8.0,3.0,15.5,10.5,8.5,6.0,16.0,13.5,12.0,PASS_WITHIN_95X140_REFERENCE_ENVELOPE,139.5,145.5,290.0,145.0,-145.0,NOT_FULLY_EVALUATED,0,FAIL,BELT_NOMINAL_LT_13|BELT_RESIDUAL_LT_8|PULLEY_CLEARANCE_LT_10
S1-OCCO,1,O,C,C,O,14.0,-14.0,47.0,-47.0,87.5,-87.5,0.0,0.0,0.0,5.0,8.0,3.0,15.5,10.5,8.5,6.0,16.0,13.5,12.0,PASS_WITHIN_95X140_REFERENCE_ENVELOPE,139.5,145.5,290.0,145.0,-145.0,NOT_FULLY_EVALUATED,0,FAIL,BELT_NOMINAL_LT_13|BELT_RESIDUAL_LT_8|PULLEY_CLEARANCE_LT_10
S1-OCOC,1,O,C,O,C,14.0,-14.0,47.0,-47.0,87.5,-87.5,0.0,0.0,0.0,11.0,8.0,3.0,15.5,10.5,8.5,6.0,16.0,13.5,12.0,PASS_WITHIN_95X140_REFERENCE_ENVELOPE,139.5,145.5,290.0,145.0,-145.0,NOT_FULLY_EVALUATED,0,FAIL,BELT_NOMINAL_LT_13|BELT_RESIDUAL_LT_8|PULLEY_CLEARANCE_LT_10
S1-OCOO,1,O,C,O,O,14.0,-14.0,47.0,-47.0,87.5,-87.5,0.0,0.0,0.0,11.0,8.0,3.0,15.5,10.5,8.5,6.0,16.0,13.5,12.0,PASS_WITHIN_95X140_REFERENCE_ENVELOPE,139.5,145.5,290.0,145.0,-145.0,NOT_FULLY_EVALUATED,0,FAIL,BELT_NOMINAL_LT_13|BELT_RESIDUAL_LT_8|PULLEY_CLEARANCE_LT_10
S1-OOCC,1,O,O,C,C,14.0,-14.0,47.0,-47.0,87.5,-87.5,0.0,0.0,0.0,5.0,8.0,3.0,15.5,10.5,8.5,6.0,16.0,13.5,12.0,PASS_WITHIN_95X140_REFERENCE_ENVELOPE,139.5,145.5,290.0,145.0,-145.0,NOT_FULLY_EVALUATED,0,FAIL,BELT_NOMINAL_LT_13|BELT_RESIDUAL_LT_8|PULLEY_CLEARANCE_LT_10
S1-OOCO,1,O,O,C,O,14.0,-14.0,47.0,-47.0,87.5,-87.5,0.0,0.0,0.0,5.0,8.0,3.0,21.5,16.5,8.5,6.0,22.0,19.5,12.0,PASS_WITHIN_95X140_REFERENCE_ENVELOPE,139.5,145.5,290.0,145.0,-145.0,NOT_FULLY_EVALUATED,0,FAIL,BELT_NOMINAL_LT_13|BELT_RESIDUAL_LT_8|PULLEY_CLEARANCE_LT_10
S1-OOOC,1,O,O,O,C,14.0,-14.0,47.0,-47.0,87.5,-87.5,0.0,0.0,0.0,11.0,8.0,3.0,15.5,10.5,8.5,6.0,16.0,13.5,12.0,PASS_WITHIN_95X140_REFERENCE_ENVELOPE,139.5,145.5,290.0,145.0,-145.0,NOT_FULLY_EVALUATED,0,FAIL,BELT_NOMINAL_LT_13|BELT_RESIDUAL_LT_8|PULLEY_CLEARANCE_LT_10
S1-OOOO,1,O,O,O,O,14.0,-14.0,47.0,-47.0,87.5,-87.5,0.0,0.0,0.0,11.0,8.0,3.0,21.5,16.5,8.5,6.0,22.0,19.5,12.0,PASS_WITHIN_95X140_REFERENCE_ENVELOPE,139.5,145.5,290.0,145.0,-145.0,NOT_FULLY_EVALUATED,0,FAIL,BELT_NOMINAL_LT_13|BELT_RESIDUAL_LT_8|PULLEY_CLEARANCE_LT_10
