analysis_scope,side,opposite_protrusion_mm,pulley_runout_mm,left_inner_centerward_error_mm,right_inner_centerward_error_mm,kp000_placement_error_mm,pulley_placement_error_mm,frame_deflection_mm,belt_wander_mm,relative_axial_error_mm,center_residual_mm,belt_nominal_mm,belt_residual_mm,pulley_nominal_mm,pulley_residual_mm,status,failure_reason
CENTER_BILATERAL,LEFT_AND_RIGHT,,,-1.0,-1.0,,,,,,11.0,,,,,PASS_BOUNDARY,
CENTER_BILATERAL,LEFT_AND_RIGHT,,,-1.0,0.0,,,,,,10.0,,,,,PASS_BOUNDARY,
CENTER_BILATERAL,LEFT_AND_RIGHT,,,-1.0,1.0,,,,,,9.0,,,,,PASS_BOUNDARY,
CENTER_BILATERAL,LEFT_AND_RIGHT,,,0.0,-1.0,,,,,,10.0,,,,,PASS_BOUNDARY,
CENTER_BILATERAL,LEFT_AND_RIGHT,,,0.0,0.0,,,,,,9.0,,,,,PASS_BOUNDARY,
CENTER_BILATERAL,LEFT_AND_RIGHT,,,0.0,1.0,,,,,,8.0,,,,,PASS_BOUNDARY,
CENTER_BILATERAL,LEFT_AND_RIGHT,,,1.0,-1.0,,,,,,9.0,,,,,PASS_BOUNDARY,
CENTER_BILATERAL,LEFT_AND_RIGHT,,,1.0,0.0,,,,,,8.0,,,,,PASS_BOUNDARY,
CENTER_BILATERAL,LEFT_AND_RIGHT,,,1.0,1.0,,,,,,7.0,,,,,PASS_BOUNDARY,
INNER_SIDE,LEFT,0,0.0,,,-1.0,-1.0,0.0,0.0,0.0,,20.25,20.25,20.75,20.75,PASS_BOUNDARY,
INNER_SIDE,LEFT,0,0.0,,,-1.0,-1.0,0.0,1.0,0.0,,20.25,19.25,20.75,20.75,PASS_BOUNDARY,
INNER_SIDE,LEFT,0,0.0,,,-1.0,-1.0,0.0,2.0,0.0,,20.25,18.25,20.75,20.75,PASS_BOUNDARY,
INNER_SIDE,LEFT,0,0.0,,,-1.0,-1.0,1.0,0.0,0.0,,20.25,19.25,20.75,20.75,PASS_BOUNDARY,
INNER_SIDE,LEFT,0,0.0,,,-1.0,-1.0,1.0,1.0,0.0,,20.25,18.25,20.75,20.75,PASS_BOUNDARY,
