candidate_id,check_id,worst_clearance_or_margin_mm,intersection_count,status,authority
G-IN5.00-P11.25-OUT10.00,LEFT_INNER_VS_RIGHT_INNER,7.0,0,PASS,BILATERAL_INDEPENDENT_ERROR
G-IN5.00-P11.25-OUT10.00,LEFT_BELT_VS_INNER_KP000,8.25,0,PASS,BOUNDARY_INTERVAL
G-IN5.00-P11.25-OUT10.00,RIGHT_BELT_VS_INNER_KP000,8.25,0,PASS,BOUNDARY_INTERVAL
G-IN5.00-P11.25-OUT10.00,LEFT_BELT_VS_OUTER_KP000,8.25,0,PASS,BOUNDARY_INTERVAL
G-IN5.00-P11.25-OUT10.00,RIGHT_BELT_VS_OUTER_KP000,8.25,0,PASS,BOUNDARY_INTERVAL
G-IN5.00-P11.25-OUT10.00,LEFT_PULLEY_VS_INNER_KP000,11.25,0,PASS,OD120_BOUNDARY
G-IN5.00-P11.25-OUT10.00,RIGHT_PULLEY_VS_INNER_KP000,11.25,0,PASS,OD120_BOUNDARY
G-IN5.00-P11.25-OUT10.00,LEFT_PULLEY_VS_OUTER_KP000,11.25,0,PASS,OD120_BOUNDARY
G-IN5.00-P11.25-OUT10.00,RIGHT_PULLEY_VS_OUTER_KP000,11.25,0,PASS,OD120_BOUNDARY
G-IN5.00-P11.25-OUT10.00,LEFT_SUPPORT_VS_RIGHT_SUPPORT,33.0,0,PASS,P3_A5052_T5
G-IN5.00-P11.25-OUT10.00,LEFT_TOOL_VS_FRAME,12.0,0,PASS,SIMPLIFIED_TOOL_HOLD
G-IN5.00-P11.25-OUT10.00,RIGHT_TOOL_VS_FRAME,12.0,0,PASS,SIMPLIFIED_TOOL_HOLD
G-IN5.00-P11.25-OUT10.00,PTO_BELTS_VS_FASTENERS,14.0,0,PASS,NON_REGRESSION
G-IN5.00-P11.25-OUT10.00,PULLEYS_VS_FASTENERS,12.0,0,PASS,NON_REGRESSION
G-IN5.00-P11.25-OUT10.00,PTO_BELT_VS_FRAME,15.0,0,PASS,V0084_NON_REGRESSION
G-IN5.00-P11.25-OUT10.00,DRIVE_BELT_VS_FRAME,15.5,0,PASS,V0084_NON_REGRESSION
G-IN5.00-P11.25-OUT10.00,TRACK_DYNAMIC_VS_UPPER,10.0,0,PASS,V0084_NON_REGRESSION
G-IN5.00-P11.25-OUT10.00,TOTAL_WIDTH_MARGIN,10.0,0,PASS,STRICT_LT_300
G-IN5.00-P11.25-OUT10.00,PTO_END_MARGIN,0.0,0,PASS_BOUNDARY,ABS_Y_LE_145_BOUNDARY
G-IN5.00-P11.25-OUT10.00,OUTPUT_RESERVE,33.0,0,PASS,MIN_25
G-IN5.00-P11.00-OUT09.50,LEFT_INNER_VS_RIGHT_INNER,7.0,0,PASS,BILATERAL_INDEPENDENT_ERROR
G-IN5.00-P11.00-OUT09.50,LEFT_BELT_VS_INNER_KP000,8.0,0,PASS,BOUNDARY_INTERVAL
G-IN5.00-P11.00-OUT09.50,RIGHT_BELT_VS_INNER_KP000,8.0,0,PASS,BOUNDARY_INTERVAL
G-IN5.00-P11.00-OUT09.50,LEFT_BELT_VS_OUTER_KP000,8.0,0,PASS,BOUNDARY_INTERVAL
G-IN5.00-P11.00-OUT09.50,RIGHT_BELT_VS_OUTER_KP000,8.0,0,PASS,BOUNDARY_INTERVAL
G-IN5.00-P11.00-OUT09.50,LEFT_PULLEY_VS_INNER_KP000,11.0,0,PASS,OD120_BOUNDARY
G-IN5.00-P11.00-OUT09.50,RIGHT_PULLEY_VS_INNER_KP000,11.0,0,PASS,OD120_BOUNDARY
G-IN5.00-P11.00-OUT09.50,LEFT_PULLEY_VS_OUTER_KP000,11.0,0,PASS,OD120_BOUNDARY
G-IN5.00-P11.00-OUT09.50,RIGHT_PULLEY_VS_OUTER_KP000,11.0,0,PASS,OD120_BOUNDARY
G-IN5.00-P11.00-OUT09.50,LEFT_SUPPORT_VS_RIGHT_SUPPORT,33.0,0,PASS,P3_A5052_T5
G-IN5.00-P11.00-OUT09.50,LEFT_TOOL_VS_FRAME,12.0,0,PASS,SIMPLIFIED_TOOL_HOLD
G-IN5.00-P11.00-OUT09.50,RIGHT_TOOL_VS_FRAME,12.0,0,PASS,SIMPLIFIED_TOOL_HOLD
G-IN5.00-P11.00-OUT09.50,PTO_BELTS_VS_FASTENERS,14.0,0,PASS,NON_REGRESSION
G-IN5.00-P11.00-OUT09.50,PULLEYS_VS_FASTENERS,12.0,0,PASS,NON_REGRESSION
G-IN5.00-P11.00-OUT09.50,PTO_BELT_VS_FRAME,15.0,0,PASS,V0084_NON_REGRESSION
G-IN5.00-P11.00-OUT09.50,DRIVE_BELT_VS_FRAME,15.5,0,PASS,V0084_NON_REGRESSION
G-IN5.00-P11.00-OUT09.50,TRACK_DYNAMIC_VS_UPPER,10.0,0,PASS,V0084_NON_REGRESSION
G-IN5.00-P11.00-OUT09.50,TOTAL_WIDTH_MARGIN,10.0,0,PASS,STRICT_LT_300
G-IN5.00-P11.00-OUT09.50,PTO_END_MARGIN,0.0,0,PASS_BOUNDARY,ABS_Y_LE_145_BOUNDARY
G-IN5.00-P11.00-OUT09.50,OUTPUT_RESERVE,33.5,0,PASS,MIN_25
G-IN5.00-P11.00-OUT09.75,LEFT_INNER_VS_RIGHT_INNER,7.0,0,PASS,BILATERAL_INDEPENDENT_ERROR
G-IN5.00-P11.00-OUT09.75,LEFT_BELT_VS_INNER_KP000,8.0,0,PASS,BOUNDARY_INTERVAL
G-IN5.00-P11.00-OUT09.75,RIGHT_BELT_VS_INNER_KP000,8.0,0,PASS,BOUNDARY_INTERVAL
G-IN5.00-P11.00-OUT09.75,LEFT_BELT_VS_OUTER_KP000,8.25,0,PASS,BOUNDARY_INTERVAL
G-IN5.00-P11.00-OUT09.75,RIGHT_BELT_VS_OUTER_KP000,8.25,0,PASS,BOUNDARY_INTERVAL
G-IN5.00-P11.00-OUT09.75,LEFT_PULLEY_VS_INNER_KP000,11.0,0,PASS,OD120_BOUNDARY
G-IN5.00-P11.00-OUT09.75,RIGHT_PULLEY_VS_INNER_KP000,11.0,0,PASS,OD120_BOUNDARY
G-IN5.00-P11.00-OUT09.75,LEFT_PULLEY_VS_OUTER_KP000,11.25,0,PASS,OD120_BOUNDARY
G-IN5.00-P11.00-OUT09.75,RIGHT_PULLEY_VS_OUTER_KP000,11.25,0,PASS,OD120_BOUNDARY
G-IN5.00-P11.00-OUT09.75,LEFT_SUPPORT_VS_RIGHT_SUPPORT,33.0,0,PASS,P3_A5052_T5
G-IN5.00-P11.00-OUT09.75,LEFT_TOOL_VS_FRAME,12.0,0,PASS,SIMPLIFIED_TOOL_HOLD
G-IN5.00-P11.00-OUT09.75,RIGHT_TOOL_VS_FRAME,12.0,0,PASS,SIMPLIFIED_TOOL_HOLD
G-IN5.00-P11.00-OUT09.75,PTO_BELTS_VS_FASTENERS,14.0,0,PASS,NON_REGRESSION
G-IN5.00-P11.00-OUT09.75,PULLEYS_VS_FASTENERS,12.0,0,PASS,NON_REGRESSION
G-IN5.00-P11.00-OUT09.75,PTO_BELT_VS_FRAME,15.0,0,PASS,V0084_NON_REGRESSION
G-IN5.00-P11.00-OUT09.75,DRIVE_BELT_VS_FRAME,15.5,0,PASS,V0084_NON_REGRESSION
G-IN5.00-P11.00-OUT09.75,TRACK_DYNAMIC_VS_UPPER,10.0,0,PASS,V0084_NON_REGRESSION
G-IN5.00-P11.00-OUT09.75,TOTAL_WIDTH_MARGIN,10.0,0,PASS,STRICT_LT_300
G-IN5.00-P11.00-OUT09.75,PTO_END_MARGIN,0.0,0,PASS_BOUNDARY,ABS_Y_LE_145_BOUNDARY
G-IN5.00-P11.00-OUT09.75,OUTPUT_RESERVE,33.25,0,PASS,MIN_25
