candidate_id,search_resolution_mm,search_stage,focus_label,inner_orientation,outer_orientation,inner_shift_mm,pulley_shift_mm,outer_shift_mm,inner_y_mm,pulley_y_mm,outer_y_mm,center_nominal_mm,center_residual_mm,belt_inner_nominal_worst_mm,belt_inner_residual_worst_mm,belt_outer_nominal_worst_mm,belt_outer_residual_worst_mm,pulley_inner_nominal_worst_mm,pulley_inner_residual_worst_mm,pulley_outer_nominal_worst_mm,pulley_outer_residual_worst_mm,output_reserve_mm,support_plate_fit,tool_clearance_mm,shaft_length_min_mm,shaft_length_max_mm,total_width_mm,pto_ends_y_mm,total_change_mm,boundary_pass,status,rejection_reason
V0084-RECOMMENDED-BASELINE,0.0,0,V0084_RECOMMENDED,C/C,O/O,1.0,0.0,0.0,15.0,47.0,87.5,1.0,-1.0,7.0,1.0,15.5,9.5,7.5,4.0,16.0,12.5,43.0,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,1.0,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8|PULLEY_NOMINAL_LT_13_5|PULLEY_RESIDUAL_LT_10
V0084-ALTERNATIVE-A-BASELINE,0.0,0,V0084_ALTERNATIVE_A,C/C,O/O,1.0,6.0,3.5,15.0,53.0,91.0,1.0,-1.0,13.0,7.0,13.0,7.0,13.5,10.0,13.5,10.0,39.5,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,10.5,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8
G-IN1.00-P05.00-OUT03.00,0.5,1,,C/C,O/O,1.0,5.0,3.0,15.0,52.0,90.5,1.0,-1.0,12.0,6.0,13.5,7.5,12.5,9.0,14.0,10.5,40.0,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,9.0,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8|PULLEY_NOMINAL_LT_13_5|PULLEY_RESIDUAL_LT_10
G-IN1.00-P05.00-OUT03.50,0.5,1,,C/C,O/O,1.0,5.0,3.5,15.0,52.0,91.0,1.0,-1.0,12.0,6.0,14.0,8.0,12.5,9.0,14.5,11.0,39.5,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,9.5,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8|PULLEY_NOMINAL_LT_13_5|PULLEY_RESIDUAL_LT_10
G-IN1.00-P05.00-OUT04.00,0.5,1,,C/C,O/O,1.0,5.0,4.0,15.0,52.0,91.5,1.0,-1.0,12.0,6.0,14.5,8.5,12.5,9.0,15.0,11.5,39.0,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,10.0,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8|PULLEY_NOMINAL_LT_13_5|PULLEY_RESIDUAL_LT_10
G-IN1.00-P05.00-OUT04.50,0.5,1,,C/C,O/O,1.0,5.0,4.5,15.0,52.0,92.0,1.0,-1.0,12.0,6.0,15.0,9.0,12.5,9.0,15.5,12.0,38.5,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,10.5,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8|PULLEY_NOMINAL_LT_13_5|PULLEY_RESIDUAL_LT_10
G-IN1.00-P05.00-OUT05.00,0.5,1,,C/C,O/O,1.0,5.0,5.0,15.0,52.0,92.5,1.0,-1.0,12.0,6.0,15.5,9.5,12.5,9.0,16.0,12.5,38.0,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,11.0,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8|PULLEY_NOMINAL_LT_13_5|PULLEY_RESIDUAL_LT_10
G-IN1.00-P05.00-OUT05.50,0.5,1,,C/C,O/O,1.0,5.0,5.5,15.0,52.0,93.0,1.0,-1.0,12.0,6.0,16.0,10.0,12.5,9.0,16.5,13.0,37.5,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,11.5,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8|PULLEY_NOMINAL_LT_13_5|PULLEY_RESIDUAL_LT_10
G-IN1.00-P05.00-OUT06.00,0.5,1,,C/C,O/O,1.0,5.0,6.0,15.0,52.0,93.5,1.0,-1.0,12.0,6.0,16.5,10.5,12.5,9.0,17.0,13.5,37.0,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,12.0,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8|PULLEY_NOMINAL_LT_13_5|PULLEY_RESIDUAL_LT_10
G-IN1.00-P05.00-OUT06.50,0.5,1,,C/C,O/O,1.0,5.0,6.5,15.0,52.0,94.0,1.0,-1.0,12.0,6.0,17.0,11.0,12.5,9.0,17.5,14.0,36.5,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,12.5,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8|PULLEY_NOMINAL_LT_13_5|PULLEY_RESIDUAL_LT_10
G-IN1.00-P05.00-OUT07.00,0.5,1,,C/C,O/O,1.0,5.0,7.0,15.0,52.0,94.5,1.0,-1.0,12.0,6.0,17.5,11.5,12.5,9.0,18.0,14.5,36.0,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,13.0,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8|PULLEY_NOMINAL_LT_13_5|PULLEY_RESIDUAL_LT_10
G-IN1.00-P05.00-OUT07.50,0.5,1,,C/C,O/O,1.0,5.0,7.5,15.0,52.0,95.0,1.0,-1.0,12.0,6.0,18.0,12.0,12.5,9.0,18.5,15.0,35.5,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,13.5,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8|PULLEY_NOMINAL_LT_13_5|PULLEY_RESIDUAL_LT_10
G-IN1.00-P05.00-OUT08.00,0.5,1,,C/C,O/O,1.0,5.0,8.0,15.0,52.0,95.5,1.0,-1.0,12.0,6.0,18.5,12.5,12.5,9.0,19.0,15.5,35.0,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,14.0,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8|PULLEY_NOMINAL_LT_13_5|PULLEY_RESIDUAL_LT_10
G-IN1.00-P05.00-OUT08.50,0.5,1,,C/C,O/O,1.0,5.0,8.5,15.0,52.0,96.0,1.0,-1.0,12.0,6.0,19.0,13.0,12.5,9.0,19.5,16.0,34.5,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,14.5,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8|PULLEY_NOMINAL_LT_13_5|PULLEY_RESIDUAL_LT_10
G-IN1.00-P05.00-OUT09.00,0.5,1,,C/C,O/O,1.0,5.0,9.0,15.0,52.0,96.5,1.0,-1.0,12.0,6.0,19.5,13.5,12.5,9.0,20.0,16.5,34.0,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,15.0,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8|PULLEY_NOMINAL_LT_13_5|PULLEY_RESIDUAL_LT_10
G-IN1.00-P05.00-OUT09.50,0.5,1,,C/C,O/O,1.0,5.0,9.5,15.0,52.0,97.0,1.0,-1.0,12.0,6.0,20.0,14.0,12.5,9.0,20.5,17.0,33.5,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,15.5,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8|PULLEY_NOMINAL_LT_13_5|PULLEY_RESIDUAL_LT_10
G-IN1.00-P05.00-OUT10.00,0.5,1,,C/C,O/O,1.0,5.0,10.0,15.0,52.0,97.5,1.0,-1.0,12.0,6.0,20.5,14.5,12.5,9.0,21.0,17.5,33.0,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,16.0,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8|PULLEY_NOMINAL_LT_13_5|PULLEY_RESIDUAL_LT_10
G-IN1.00-P05.50-OUT03.00,0.5,1,,C/C,O/O,1.0,5.5,3.0,15.0,52.5,90.5,1.0,-1.0,12.5,6.5,13.0,7.0,13.0,9.5,13.5,10.0,40.0,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,9.5,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8|PULLEY_NOMINAL_LT_13_5|PULLEY_RESIDUAL_LT_10
G-IN1.00-P05.50-OUT03.50,0.5,1,,C/C,O/O,1.0,5.5,3.5,15.0,52.5,91.0,1.0,-1.0,12.5,6.5,13.5,7.5,13.0,9.5,14.0,10.5,39.5,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,10.0,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8|PULLEY_NOMINAL_LT_13_5|PULLEY_RESIDUAL_LT_10
G-IN1.00-P05.50-OUT04.00,0.5,1,,C/C,O/O,1.0,5.5,4.0,15.0,52.5,91.5,1.0,-1.0,12.5,6.5,14.0,8.0,13.0,9.5,14.5,11.0,39.0,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,10.5,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8|PULLEY_NOMINAL_LT_13_5|PULLEY_RESIDUAL_LT_10
G-IN1.00-P05.50-OUT04.50,0.5,1,,C/C,O/O,1.0,5.5,4.5,15.0,52.5,92.0,1.0,-1.0,12.5,6.5,14.5,8.5,13.0,9.5,15.0,11.5,38.5,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,11.0,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8|PULLEY_NOMINAL_LT_13_5|PULLEY_RESIDUAL_LT_10
G-IN1.00-P05.50-OUT05.00,0.5,1,,C/C,O/O,1.0,5.5,5.0,15.0,52.5,92.5,1.0,-1.0,12.5,6.5,15.0,9.0,13.0,9.5,15.5,12.0,38.0,PASS_95X140X5_REFERENCE,12.0,138.5,144.5,290.0,-145.0|145.0,11.5,False,FAIL,CENTER_NOMINAL_LT_4|CENTER_RESIDUAL_LT_2|BELT_NOMINAL_LT_14|BELT_RESIDUAL_LT_8|PULLEY_NOMINAL_LT_13_5|PULLEY_RESIDUAL_LT_10
