part_id,filename_stem,description,material,quantity,preset,size_x_mm,size_y_mm,size_z_mm,solid_count,volume_mm3,estimated_mass_each_g,estimated_mass_quantity_g,density_g_cm3,density_status,measured_mass_status,a1_safe_240x240x220
CAL-STEM,stem_clearance_coupon_PETG,PETG five-hole STEM-NOMINAL-4 clearance coupon,PETG,1,five_hole_series,76.000,24.000,8.600,1,14019.670,17.805,17.805,1.270,ESTIMATE_ONLY_MEASURE_PRINTED_PARTS,NOT_MEASURED,YES
CAL-PANICLE-TAB,panicle_tab_coupon_TPU,TPU PANICLE-TAB-V001 tab with handle,TPU,1,standard,22.000,38.000,3.200,1,1913.600,2.315,2.315,1.210,ESTIMATE_ONLY_MEASURE_PRINTED_PARTS,NOT_MEASURED,YES
CAL-PANICLE-SLOT,panicle_slot_coupon_PETG,PETG five-slot PANICLE-TAB-V001 comparison coupon,PETG,1,five_slot_series,78.000,20.000,16.600,1,23757.835,30.172,30.172,1.270,ESTIMATE_ONLY_MEASURE_PRINTED_PARTS,NOT_MEASURED,YES
DR-B01,DR-B01_root_socket_PETG,DR-B01 one-piece MEDIUM 0-degree root socket,PETG,1,medium_upright,40.000,40.000,47.000,1,25676.965,32.610,32.610,1.270,ESTIMATE_ONLY_MEASURE_PRINTED_PARTS,NOT_MEASURED,YES
DR-S03,DR-S03_stem_end_plug_tube_id_3p6_calibration_PETG,DR-S03 unverified 3.6 mm tube-ID calibration plug,PETG,1,tube_id_3p6_calibration,7.000,7.000,32.000,1,426.131,0.541,0.541,1.270,ESTIMATE_ONLY_MEASURE_PRINTED_PARTS,NOT_MEASURED,YES
DR-C01-HOLDER,DR-C01_cutting_cartridge_holder_PETG,DR-C01 common upper/lower reusable cartridge holder,PETG,2,common,14.000,14.000,25.000,1,2542.288,3.229,6.457,1.270,ESTIMATE_ONLY_MEASURE_PRINTED_PARTS,NOT_MEASURED,YES
DR-C01-GAUGE,DR-C01_tube_marking_gauge_PETG,DR-C01 removable paper-tube marking gauge; non-cut use only,PETG,1,marking_only,8.771,8.800,2.400,1,104.175,0.132,0.132,1.270,ESTIMATE_ONLY_MEASURE_PRINTED_PARTS,NOT_MEASURED,YES
DR-H01,DR-H01_panicle_branch_standard_TPU,"DR-H01 flat 10-branch, 14-grain TPU panicle panel",TPU,6,standard,79.127,195.000,2.000,1,1277.362,1.546,9.274,1.210,ESTIMATE_ONLY_MEASURE_PRINTED_PARTS,NOT_MEASURED,YES
DR-H02,DR-H02_panicle_hub_upright_PETG,"DR-H02 four-slot PETG panicle hub, fixed 0-degree interface",PETG,1,upright,30.000,30.000,28.000,1,17641.649,22.405,22.405,1.270,ESTIMATE_ONLY_MEASURE_PRINTED_PARTS,NOT_MEASURED,YES
DR-H02,DR-H02_panicle_hub_droop20_PETG,"DR-H02 four-slot PETG panicle hub, fixed 20-degree interface",PETG,1,droop20,30.000,30.000,28.000,1,17838.428,22.655,22.655,1.270,ESTIMATE_ONLY_MEASURE_PRINTED_PARTS,NOT_MEASURED,YES
DR-H03,DR-H03_panicle_weight_cap_PETG,DR-H03 removable PETG weight-pocket cap,PETG,2,standard,12.117,12.200,6.000,1,390.124,0.495,0.991,1.270,ESTIMATE_ONLY_MEASURE_PRINTED_PARTS,NOT_MEASURED,YES
