part_id,filename,material,quantity,preset,relative_path,revision,printable,calibration_status,format,bytes
CAL-STEM,stem_clearance_coupon_PETG.step,PETG,1,five_hole_series,step/PETG/stem_clearance_coupon_PETG.step,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STEP,554130
CAL-STEM,stem_clearance_coupon_PETG.stl,PETG,1,five_hole_series,stl/PETG/stem_clearance_coupon_PETG.stl,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STL,432984
CAL-PANICLE-TAB,panicle_tab_coupon_TPU.step,TPU,1,standard,step/TPU/panicle_tab_coupon_TPU.step,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STEP,29192
CAL-PANICLE-TAB,panicle_tab_coupon_TPU.stl,TPU,1,standard,stl/TPU/panicle_tab_coupon_TPU.stl,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STL,1484
CAL-PANICLE-SLOT,panicle_slot_coupon_PETG.step,PETG,1,five_slot_series,step/PETG/panicle_slot_coupon_PETG.step,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STEP,608899
CAL-PANICLE-SLOT,panicle_slot_coupon_PETG.stl,PETG,1,five_slot_series,stl/PETG/panicle_slot_coupon_PETG.stl,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STL,316484
DR-B01,DR-B01_root_socket_PETG.step,PETG,1,medium_upright,step/PETG/DR-B01_root_socket_PETG.step,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STEP,93533
DR-B01,DR-B01_root_socket_PETG.stl,PETG,1,medium_upright,stl/PETG/DR-B01_root_socket_PETG.stl,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STL,232884
DR-S03,DR-S03_stem_end_plug_tube_id_3p6_calibration_PETG.step,PETG,1,tube_id_3p6_calibration,step/PETG/DR-S03_stem_end_plug_tube_id_3p6_calibration_PETG.step,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STEP,34554
DR-S03,DR-S03_stem_end_plug_tube_id_3p6_calibration_PETG.stl,PETG,1,tube_id_3p6_calibration,stl/PETG/DR-S03_stem_end_plug_tube_id_3p6_calibration_PETG.stl,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STL,258184
DR-C01-HOLDER,DR-C01_cutting_cartridge_holder_PETG.step,PETG,2,common,step/PETG/DR-C01_cutting_cartridge_holder_PETG.step,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STEP,23512
DR-C01-HOLDER,DR-C01_cutting_cartridge_holder_PETG.stl,PETG,2,common,stl/PETG/DR-C01_cutting_cartridge_holder_PETG.stl,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STL,126084
DR-C01-GAUGE,DR-C01_tube_marking_gauge_PETG.step,PETG,1,marking_only,step/PETG/DR-C01_tube_marking_gauge_PETG.step,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STEP,17175
DR-C01-GAUGE,DR-C01_tube_marking_gauge_PETG.stl,PETG,1,marking_only,stl/PETG/DR-C01_tube_marking_gauge_PETG.stl,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STL,48084
DR-H01,DR-H01_panicle_branch_standard_TPU.step,TPU,6,standard,step/TPU/DR-H01_panicle_branch_standard_TPU.step,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STEP,614743
DR-H01,DR-H01_panicle_branch_standard_TPU.stl,TPU,6,standard,stl/TPU/DR-H01_panicle_branch_standard_TPU.stl,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STL,420384
DR-H02,DR-H02_panicle_hub_upright_PETG.step,PETG,1,upright,step/PETG/DR-H02_panicle_hub_upright_PETG.step,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STEP,211550
DR-H02,DR-H02_panicle_hub_upright_PETG.stl,PETG,1,upright,stl/PETG/DR-H02_panicle_hub_upright_PETG.stl,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STL,851384
DR-H02,DR-H02_panicle_hub_droop20_PETG.step,PETG,1,droop20,step/PETG/DR-H02_panicle_hub_droop20_PETG.step,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STEP,252942
DR-H02,DR-H02_panicle_hub_droop20_PETG.stl,PETG,1,droop20,stl/PETG/DR-H02_panicle_hub_droop20_PETG.stl,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STL,834684
DR-H03,DR-H03_panicle_weight_cap_PETG.step,PETG,2,standard,step/PETG/DR-H03_panicle_weight_cap_PETG.step,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STEP,28673
DR-H03,DR-H03_panicle_weight_cap_PETG.stl,PETG,2,standard,stl/PETG/DR-H03_panicle_weight_cap_PETG.stl,v0.1.3-panicle-head,true,CALIBRATION_PENDING,STL,649084
PANICLE-ASSEMBLY-PREVIEW,panicle_assembly_upright.step,ASSEMBLY,1,upright,preview/panicle_assembly_upright.step,v0.1.3-panicle-head,false,CALIBRATION_PENDING,STEP,2861028
PANICLE-ASSEMBLY-PREVIEW,panicle_assembly_droop20.step,ASSEMBLY,1,droop20,preview/panicle_assembly_droop20.step,v0.1.3-panicle-head,false,CALIBRATION_PENDING,STEP,3013363
