part_id,filename,material,quantity,preset,relative_path,revision,printable,calibration_status,module,notes,format,bytes
HU-H0-HHD-BAS-A,HU-H0-HHD-BAS-A_PETG.step,PETG,1,module_a,step/PETG/HU-H0-HHD-BAS-A_PETG.step,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,A,Mount-mediated locating pins; six BASE-SOCKET-IF-V001 receivers.,STEP,286681
HU-H0-HHD-BAS-A,HU-H0-HHD-BAS-A_PETG.stl,PETG,1,module_a,stl/PETG/HU-H0-HHD-BAS-A_PETG.stl,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,A,Mount-mediated locating pins; six BASE-SOCKET-IF-V001 receivers.,STL,465884
HU-H0-HHD-BAS-B,HU-H0-HHD-BAS-B_PETG.step,PETG,1,module_b,step/PETG/HU-H0-HHD-BAS-B_PETG.step,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,B,Mount-mediated locating pins; six BASE-SOCKET-IF-V001 receivers.,STEP,286296
HU-H0-HHD-BAS-B,HU-H0-HHD-BAS-B_PETG.stl,PETG,1,module_b,stl/PETG/HU-H0-HHD-BAS-B_PETG.stl,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,B,Mount-mediated locating pins; six BASE-SOCKET-IF-V001 receivers.,STL,465884
HU-H0-HHD-BAS-C,HU-H0-HHD-BAS-C_PETG.step,PETG,1,module_c,step/PETG/HU-H0-HHD-BAS-C_PETG.step,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,C,Mount-mediated locating pins; six BASE-SOCKET-IF-V001 receivers.,STEP,286867
HU-H0-HHD-BAS-C,HU-H0-HHD-BAS-C_PETG.stl,PETG,1,module_c,stl/PETG/HU-H0-HHD-BAS-C_PETG.stl,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,C,Mount-mediated locating pins; six BASE-SOCKET-IF-V001 receivers.,STL,465884
HU-H0-HHD-BAS-D,HU-H0-HHD-BAS-D_PETG.step,PETG,1,module_d,step/PETG/HU-H0-HHD-BAS-D_PETG.step,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,D,Mount-mediated locating pins; six BASE-SOCKET-IF-V001 receivers.,STEP,286418
HU-H0-HHD-BAS-D,HU-H0-HHD-BAS-D_PETG.stl,PETG,1,module_d,stl/PETG/HU-H0-HHD-BAS-D_PETG.stl,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,D,Mount-mediated locating pins; six BASE-SOCKET-IF-V001 receivers.,STL,465884
HU-H0-HHD-MNT-L,HU-H0-HHD-MNT-L_PETG.step,PETG,1,side_l,step/PETG/HU-H0-HHD-MNT-L_PETG.step,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,L,"M6 workbench holes, M4 module holes, locating pins, seam tongue/pocket.",STEP,97277
HU-H0-HHD-MNT-L,HU-H0-HHD-MNT-L_PETG.stl,PETG,1,side_l,stl/PETG/HU-H0-HHD-MNT-L_PETG.stl,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,L,"M6 workbench holes, M4 module holes, locating pins, seam tongue/pocket.",STL,357084
HU-H0-HHD-MNT-R,HU-H0-HHD-MNT-R_PETG.step,PETG,1,side_r,step/PETG/HU-H0-HHD-MNT-R_PETG.step,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,R,"M6 workbench holes, M4 module holes, locating pins, seam tongue/pocket.",STEP,98620
HU-H0-HHD-MNT-R,HU-H0-HHD-MNT-R_PETG.stl,PETG,1,side_r,stl/PETG/HU-H0-HHD-MNT-R_PETG.stl,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,R,"M6 workbench holes, M4 module holes, locating pins, seam tongue/pocket.",STL,357084
HU-H0-HHD-SKT-00,HU-H0-HHD-SKT-00_PETG.step,PETG,8,tilt_00,step/PETG/HU-H0-HHD-SKT-00_PETG.step,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,ALL,Eight-direction octagon index; shallow split-bead retention candidate.,STEP,136353
HU-H0-HHD-SKT-00,HU-H0-HHD-SKT-00_PETG.stl,PETG,8,tilt_00,stl/PETG/HU-H0-HHD-SKT-00_PETG.stl,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,ALL,Eight-direction octagon index; shallow split-bead retention candidate.,STL,561384
HU-H0-HHD-SKT-10,HU-H0-HHD-SKT-10_PETG.step,PETG,8,tilt_10,step/PETG/HU-H0-HHD-SKT-10_PETG.step,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,ALL,Eight-direction octagon index; shallow split-bead retention candidate.,STEP,143189
HU-H0-HHD-SKT-10,HU-H0-HHD-SKT-10_PETG.stl,PETG,8,tilt_10,stl/PETG/HU-H0-HHD-SKT-10_PETG.stl,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,ALL,Eight-direction octagon index; shallow split-bead retention candidate.,STL,561284
HU-H0-HHD-SKT-20,HU-H0-HHD-SKT-20_PETG.step,PETG,6,tilt_20,step/PETG/HU-H0-HHD-SKT-20_PETG.step,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,ALL,Eight-direction octagon index; shallow split-bead retention candidate.,STEP,143372
HU-H0-HHD-SKT-20,HU-H0-HHD-SKT-20_PETG.stl,PETG,6,tilt_20,stl/PETG/HU-H0-HHD-SKT-20_PETG.stl,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,ALL,Eight-direction octagon index; shallow split-bead retention candidate.,STL,562384
HU-H0-HHD-SKT-30,HU-H0-HHD-SKT-30_PETG.step,PETG,2,tilt_30,step/PETG/HU-H0-HHD-SKT-30_PETG.step,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,ALL,Eight-direction octagon index; shallow split-bead retention candidate.,STEP,142675
HU-H0-HHD-SKT-30,HU-H0-HHD-SKT-30_PETG.stl,PETG,2,tilt_30,stl/PETG/HU-H0-HHD-SKT-30_PETG.stl,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,ALL,Eight-direction octagon index; shallow split-bead retention candidate.,STL,566684
HU-H0-HHD-PLG-ROD-2P0,HU-H0-HHD-PLG-ROD-2P0_PETG.step,PETG,1,rod_od_2p0,step/PETG/HU-H0-HHD-PLG-ROD-2P0_PETG.step,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,ALL,Common 6 mm shank; material-side dimensions require calibration.,STEP,35859
HU-H0-HHD-PLG-ROD-2P0,HU-H0-HHD-PLG-ROD-2P0_PETG.stl,PETG,1,rod_od_2p0,stl/PETG/HU-H0-HHD-PLG-ROD-2P0_PETG.stl,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,ALL,Common 6 mm shank; material-side dimensions require calibration.,STL,108184
HU-H0-HHD-PLG-ROD-3P0,HU-H0-HHD-PLG-ROD-3P0_PETG.step,PETG,1,rod_od_3p0,step/PETG/HU-H0-HHD-PLG-ROD-3P0_PETG.step,v0.1.0-fixed-root-layout,true,CALIBRATION_PENDING,ALL,Common 6 mm shank; material-side dimensions require calibration.,STEP,35913
