socket_id,base_module,x_mm,y_mm,tilt_angle_deg,tilt_direction_deg,height_class,stem_class,pre_bend_code,panicle_class,leaf_state,release_group
S01,A,-15.0,15.0,20.0,0.0,HIGH,UNASSIGNED,NONE,NONE,NONE,FIXED
S02,A,-36.0,15.0,0.0,135.0,LOW,UNASSIGNED,NONE,NONE,NONE,FIXED
S03,A,-15.0,37.0,10.0,270.0,STANDARD,UNASSIGNED,NONE,NONE,NONE,FIXED
S04,A,-57.0,15.0,30.0,45.0,LOW,UNASSIGNED,NONE,NONE,NONE,FIXED
S05,A,-39.0,39.0,10.0,180.0,HIGH,UNASSIGNED,NONE,NONE,NONE,FIXED
S06,A,-60.0,40.0,0.0,315.0,STANDARD,UNASSIGNED,NONE,NONE,NONE,FIXED
S07,B,15.0,15.0,10.0,90.0,STANDARD,UNASSIGNED,NONE,NONE,NONE,FIXED
S08,B,36.0,15.0,20.0,225.0,HIGH,UNASSIGNED,NONE,NONE,NONE,FIXED
S09,B,57.0,15.0,0.0,0.0,LOW,UNASSIGNED,NONE,NONE,NONE,FIXED
S10,B,15.0,44.0,10.0,315.0,STANDARD,UNASSIGNED,NONE,NONE,NONE,FIXED
S11,B,39.0,39.0,20.0,135.0,LOW,UNASSIGNED,NONE,NONE,NONE,FIXED
S12,B,60.0,40.0,0.0,270.0,HIGH,UNASSIGNED,NONE,NONE,NONE,FIXED
S13,C,-15.0,-15.0,20.0,0.0,STANDARD,UNASSIGNED,NONE,NONE,NONE,FIXED
S14,C,-37.0,-15.0,10.0,45.0,LOW,UNASSIGNED,NONE,NONE,NONE,FIXED
S15,C,-15.0,-38.0,0.0,225.0,STANDARD,UNASSIGNED,NONE,NONE,NONE,FIXED
S16,C,-58.0,-15.0,30.0,90.0,HIGH,UNASSIGNED,NONE,NONE,NONE,FIXED
S17,C,-40.0,-40.0,10.0,315.0,LOW,UNASSIGNED,NONE,NONE,NONE,FIXED
S18,C,-61.0,-39.0,20.0,180.0,STANDARD,UNASSIGNED,NONE,NONE,NONE,FIXED
S19,D,15.0,-15.0,0.0,180.0,HIGH,UNASSIGNED,NONE,NONE,NONE,FIXED
S20,D,37.0,-15.0,10.0,270.0,STANDARD,UNASSIGNED,NONE,NONE,NONE,FIXED
S21,D,15.0,-44.0,20.0,90.0,LOW,UNASSIGNED,NONE,NONE,NONE,FIXED
S22,D,40.0,-40.0,0.0,135.0,STANDARD,UNASSIGNED,NONE,NONE,NONE,FIXED
S23,D,61.0,-39.0,10.0,45.0,LOW,UNASSIGNED,NONE,NONE,NONE,FIXED
S24,D,15.0,-65.0,0.0,225.0,STANDARD,UNASSIGNED,NONE,NONE,NONE,FIXED
