part_id,filename,material,format
PVSP-AD-001,PVSP-AD-001_hose_support.step,PETG,STEP
PVSP-AD-001,PVSP-AD-001_hose_support.stl,PETG,STL
PVSP-AD-002,PVSP-AD-002_check_valve_bracket.step,PETG,STEP
PVSP-AD-002,PVSP-AD-002_check_valve_bracket.stl,PETG,STL
PVSP-BL-002,PVSP-BL-002_fixed_base.step,PETG,STEP
PVSP-BL-002,PVSP-BL-002_fixed_base.stl,PETG,STL
PVSP-BL-003,PVSP-BL-003_foot_plate.step,PETG,STEP
PVSP-BL-003,PVSP-BL-003_foot_plate.stl,PETG,STL
PVSP-BL-004,PVSP-BL-004_clamp_ring.step,PETG,STEP
PVSP-BL-004,PVSP-BL-004_clamp_ring.stl,PETG,STL
PVSP-BL-006,PVSP-BL-006_guide_bushing.step,PETG,STEP
PVSP-BL-006,PVSP-BL-006_guide_bushing.stl,PETG,STL
PVSP-BL-007,PVSP-BL-007_spring_anchor.step,PETG,STEP
PVSP-BL-007,PVSP-BL-007_spring_anchor.stl,PETG,STL
PVSP-BL-008,PVSP-BL-008_stroke_stop.step,PETG,STEP
PVSP-BL-008,PVSP-BL-008_stroke_stop.stl,PETG,STL
PVSP-CAL-001,PVSP-CAL-001_bulkhead_hole_coupon.step,PETG,STEP
PVSP-CAL-001,PVSP-CAL-001_bulkhead_hole_coupon.stl,PETG,STL
PVSP-CAL-002,PVSP-CAL-002_gasket_compression_coupon.step,PETG,STEP
PVSP-CAL-002,PVSP-CAL-002_gasket_compression_coupon.stl,PETG,STL
PVSP-WT-001,PVSP-WT-001_tank_body.step,PETG,STEP
PVSP-WT-001,PVSP-WT-001_tank_body.stl,PETG,STL
PVSP-WT-002,PVSP-WT-002_tank_lid.step,PETG,STEP
PVSP-WT-002,PVSP-WT-002_tank_lid.stl,PETG,STL
PVSP-WT-003,PVSP-WT-003_baffle.step,PETG,STEP
PVSP-WT-003,PVSP-WT-003_baffle.stl,PETG,STL
PVSP-WT-004,PVSP-WT-004_tank_stand.step,PETG,STEP
PVSP-WT-004,PVSP-WT-004_tank_stand.stl,PETG,STL
PVSP-WT-005,PVSP-WT-005_sight_tube_guard.step,PETG,STEP
PVSP-WT-005,PVSP-WT-005_sight_tube_guard.stl,PETG,STL
PVSP-WT-006,PVSP-WT-006_dip_tube.step,PETG,STEP
PVSP-WT-006,PVSP-WT-006_dip_tube.stl,PETG,STL
PVSP-BL-001,PVSP-BL-001_bellows_tpu.step,TPU,STEP
PVSP-BL-001,PVSP-BL-001_bellows_tpu.stl,TPU,STL
PVSP-BL-009,PVSP-BL-009_foot_pad_tpu.step,TPU,STEP
PVSP-BL-009,PVSP-BL-009_foot_pad_tpu.stl,TPU,STL
PVSP-CAL-003,PVSP-CAL-003_bellows_wall_coupon.step,TPU,STEP
PVSP-CAL-003,PVSP-CAL-003_bellows_wall_coupon.stl,TPU,STL
