part_id,material,quantity,file,size_bytes,sha256,extent_x_mm,extent_y_mm,extent_z_mm,watertight_preview,release_status
PVSP-AD-001_hose_support,PETG,1,PVSP-AD-001_hose_support.stl,64684,9e561620a311aba44048e08af6e583ae6cfc44e00a10aa5d20317bf51868ce02,42.0,42.0,22.0,True,PREVIEW_ONLY
PVSP-AD-002_check_valve_bracket,PETG,1,PVSP-AD-002_check_valve_bracket.stl,65284,135a2afc38f3d4887386fcbed979b9cdadfea2ff5d98f2ff7a028e05b3d41c8e,49.5,36.5,16.0,True,PREVIEW_ONLY
PVSP-BL-001_bellows_tpu,TPU 95A,1,PVSP-BL-001_bellows_tpu.stl,6044884,8cf98b261aaba86e33a9ff23d368365116685ad61a91bb7dbc073489a1a73eb3,200.0,200.0,132.0,True,PREVIEW_ONLY
PVSP-BL-002_fixed_base,PETG,1,PVSP-BL-002_fixed_base.stl,99284,76721c1d6e9b39efbcf6cb6e13fa9d9c87b58392d697d99aee0c6a4ad0b98e8d,230.0,230.0,10.0,True,PREVIEW_ONLY
PVSP-BL-003_foot_plate,PETG,1,PVSP-BL-003_foot_plate.stl,64484,3c99ab7502afab962c100f7ba7f74740e7e80c79beaab7f2949b72b7bf0b3cef,230.0,230.0,10.0,True,PREVIEW_ONLY
PVSP-BL-004_clamp_ring,PETG,1,PVSP-BL-004_clamp_ring.stl,104084,3f6cbe7d765e06d682fa4d46482b33a07dfadeb3bb70beb06c5c316c53121036,200.0,200.0,6.0,True,PREVIEW_ONLY
PVSP-BL-006_guide_bushing,PETG/TPU,1,PVSP-BL-006_guide_bushing.stl,76884,c085242d7b79f73edfc4512565f393431bccf1bebe32cfc29eb70e044fb96c9b,18.0,18.0,19.0,True,PREVIEW_ONLY
PVSP-BL-007_spring_anchor,PETG,1,PVSP-BL-007_spring_anchor.stl,684,13a36060512ebe047942a7b4947306cadcfad76734311aacf72c39961f3de930,28.0,18.0,18.0,True,PREVIEW_ONLY
PVSP-BL-008_stroke_stop,PETG,1,PVSP-BL-008_stroke_stop.stl,64084,1bd71bee7a8543018e418ab596b57183c5ed84578c5dc3932dbf9eb4a8d44668,20.0,20.0,12.0,True,PREVIEW_ONLY
PVSP-BL-009_foot_pad_tpu,TPU 95A,1,PVSP-BL-009_foot_pad_tpu.stl,4884,6277affc15438aa0fe755f5bdc6c5494d24d559a93af6f8a1af3f4ca4ea38279,150.0,100.0,4.5,True,PREVIEW_ONLY
PVSP-CAL-001_bulkhead_hole_coupon,PETG,1,PVSP-CAL-001_bulkhead_hole_coupon.stl,39884,28c147560675369b0ed06d954db01673b4ab92ed4628e95aef70b58282c473a3,120.0,42.0,5.0,True,PREVIEW_ONLY
PVSP-CAL-002_gasket_compression_coupon,PETG,1,PVSP-CAL-002_gasket_compression_coupon.stl,212084,0ea21f4268090de6ada3b9889f5eeae840dff44db4608583de46b03f207a665e,84.0,84.0,7.1,True,PREVIEW_ONLY
PVSP-CAL-003_bellows_wall_coupon,TPU 95A,1,PVSP-CAL-003_bellows_wall_coupon.stl,4070484,564a2d6b3ab1f771415d72e01bb5d0e3ddc4e2b308c17b5eb1a608be8ae3df2d,128.0,38.0,45.0,True,PREVIEW_ONLY
PVSP-WT-001_tank_body,PETG,1,PVSP-WT-001_tank_body.stl,198484,fe73c6c560eb779d6e23e6245ddca0a7fd8f177e2d2b152bd16ca9d785095f16,126.0,126.0,166.0,True,PREVIEW_ONLY
PVSP-WT-002_tank_lid,PETG,1,PVSP-WT-002_tank_lid.stl,309284,efe01964783386a5a413ec1668617cdd88eca67726ba8c35bdbb5e8d7b3d51fa,126.0,126.0,13.0,True,PREVIEW_ONLY
PVSP-WT-003_baffle,PETG,1,PVSP-WT-003_baffle.stl,1884,4abd5fc5da11fe39ad00b8f02eba97bc549e9d0b721ea7d4f6c73ea4e1e03386,60.0,12.0,75.0,True,PREVIEW_ONLY
PVSP-WT-004_tank_stand,PETG,1,PVSP-WT-004_tank_stand.stl,97684,acd700b49a51f52c7005f88c48d0dfac3e832508b8ae7bf53e78f73965ab3b51,140.0,140.0,30.0,True,PREVIEW_ONLY
PVSP-WT-005_sight_tube_guard,PETG,1,PVSP-WT-005_sight_tube_guard.stl,1484,5436f736adf9944dccdb75f9e78cd0d0bc4d1920d3bbd027bbc65706a4448fa6,26.0,18.0,170.0,True,PREVIEW_ONLY
PVSP-WT-006_dip_tube,PETG,1,PVSP-WT-006_dip_tube.stl,64084,941fa0f450d30ae997927a516516b74e8150163d6f91e4d01e2c769f3ea8008a,16.0,16.0,108.0,True,PREVIEW_ONLY
