plate_no,plate_name,material,part_id,rotated_90,bbox_x,bbox_y,safe,gap,plate_inner_margin,nominal_plate_size,local_x_min,local_y_min,local_x_max,local_y_max,status
1,01_SFS-RIGID-01,RIGID,PS-RV2271-SFS-CENTER-F,False,194.0,232.0,240.0,8.0,12.0,256.0,16.0,16.0,210.0,248.0,CHECK_OR_SPLIT
2,02_SFS-RIGID-01,RIGID,PS-RV2271-SFS-CENTER-R,False,194.0,232.0,240.0,8.0,12.0,256.0,16.0,16.0,210.0,248.0,CHECK_OR_SPLIT
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-JOINER-S,False,148.0,24.0,240.0,8.0,12.0,256.0,16.0,16.0,164.0,40.0,PASS
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-JOINER-S,True,24.0,148.0,240.0,8.0,12.0,256.0,172.0,16.0,196.0,164.0,PASS
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-FLT-RCV-ADAPTER-S,True,32.0,64.0,240.0,8.0,12.0,256.0,204.0,16.0,236.0,80.0,PASS
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-FLT-RCV-ADAPTER-S,True,32.0,64.0,240.0,8.0,12.0,256.0,204.0,88.0,236.0,152.0,PASS
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-FLT-RCV-ADAPTER-S,True,32.0,64.0,240.0,8.0,12.0,256.0,204.0,160.0,236.0,224.0,PASS
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-FLT-RCV-ADAPTER-S,True,32.0,64.0,240.0,8.0,12.0,256.0,16.0,172.0,48.0,236.0,PASS
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-MCR-CLAMP-S,False,34.0,42.0,240.0,8.0,12.0,256.0,56.0,172.0,90.0,214.0,PASS
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-MCR-CLAMP-S,True,42.0,34.0,240.0,8.0,12.0,256.0,98.0,48.0,140.0,82.0,PASS
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-MCR-CLAMP-S,True,42.0,34.0,240.0,8.0,12.0,256.0,98.0,90.0,140.0,124.0,PASS
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-MCR-CLAMP-S,True,42.0,34.0,240.0,8.0,12.0,256.0,98.0,132.0,140.0,166.0,PASS
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-MCR-CLAMP-S,True,42.0,34.0,240.0,8.0,12.0,256.0,148.0,172.0,190.0,206.0,PASS
3,03_SFS-RIGID-02,RIGID,PS-RV2271-SFS-MCR-CLAMP-S,True,42.0,34.0,240.0,8.0,12.0,256.0,98.0,174.0,140.0,208.0,PASS
4,04_SFS-RIGID-03,RIGID,PS-RV2271-RCP-DOGHOUSE-G1,False,106.0,68.108,240.0,8.0,12.0,256.0,16.0,16.0,122.0,84.108,PASS
4,04_SFS-RIGID-03,RIGID,PS-RV2271-SFS-SIDE-STANDOFF-S,True,49.8,28.0,240.0,8.0,12.0,256.0,130.0,16.0,179.8,44.0,PASS
4,04_SFS-RIGID-03,RIGID,PS-RV2271-SFS-SIDE-STANDOFF-S,True,49.8,28.0,240.0,8.0,12.0,256.0,187.8,16.0,237.6,44.0,PASS
4,04_SFS-RIGID-03,RIGID,PS-RV2271-SFS-SIDE-STANDOFF-S,True,49.8,28.0,240.0,8.0,12.0,256.0,130.0,52.0,179.8,80.0,PASS
4,04_SFS-RIGID-03,RIGID,PS-RV2271-SFS-SIDE-STANDOFF-S,True,49.8,28.0,240.0,8.0,12.0,256.0,187.8,52.0,237.6,80.0,PASS
