part_id,filename,material,mode,orientation,old_bbox_x,old_bbox_y,old_bbox_z,new_bbox_x,new_bbox_y,new_bbox_z,height_reduction_mm,fits_safe_area,selection_policy,pack_safe_mm,support_fit_safe_mm,min_candidate_z,z_window_mm,bottom_contact_area_mm2,bottom_contact_fraction,source_stl
PS-RV2271-SFS-CENTER-F,PS-RV2271-SFS-CENTER-F.stl,RIGID,auto-flat,AXIS24_00,194.0,232.0,56.0,194.0,232.0,56.675,-0.675,True,v5.4_wider_fit_low_z_then_contact,240.0,240.0,56.675,14.169,1856.0,0.0412,rover_v2271_sfs_out\stl\PS-RV2271-SFS-CENTER-F.stl
PS-RV2271-SFS-CENTER-R,PS-RV2271-SFS-CENTER-R.stl,RIGID,auto-flat,AXIS24_00,194.0,232.0,56.0,194.0,232.0,56.675,-0.675,True,v5.4_wider_fit_low_z_then_contact,240.0,240.0,56.675,14.169,1856.0,0.0412,rover_v2271_sfs_out\stl\PS-RV2271-SFS-CENTER-R.stl
PS-RV2271-SFS-JOINER-S,PS-RV2271-SFS-JOINER-S.stl,RIGID,auto-flat,AXIS24_00,148.0,24.0,6.0,148.0,24.0,7.6,-1.6,True,v5.4_wider_fit_low_z_then_contact,240.0,240.0,7.6,10.0,3531.651,0.9943,rover_v2271_sfs_out\stl\PS-RV2271-SFS-JOINER-S.stl
PS-RV2271-SFS-JOINER-S,PS-RV2271-SFS-JOINER-S.stl,RIGID,auto-flat,AXIS24_00,148.0,24.0,6.0,148.0,24.0,7.6,-1.6,True,v5.4_wider_fit_low_z_then_contact,240.0,240.0,7.6,10.0,3531.651,0.9943,rover_v2271_sfs_out\stl\PS-RV2271-SFS-JOINER-S.stl
PS-RV2271-SFS-MCR-CLAMP-S,PS-RV2271-SFS-MCR-CLAMP-S.stl,RIGID,auto-flat,AXIS24_00,34.0,42.0,22.0,34.0,42.0,23.8,-1.8,True,v5.4_wider_fit_low_z_then_contact,240.0,240.0,23.8,10.0,546.0,0.3824,rover_v2271_sfs_out\stl\PS-RV2271-SFS-MCR-CLAMP-S.stl
PS-RV2271-SFS-MCR-CLAMP-S,PS-RV2271-SFS-MCR-CLAMP-S.stl,RIGID,auto-flat,AXIS24_00,34.0,42.0,22.0,34.0,42.0,23.8,-1.8,True,v5.4_wider_fit_low_z_then_contact,240.0,240.0,23.8,10.0,546.0,0.3824,rover_v2271_sfs_out\stl\PS-RV2271-SFS-MCR-CLAMP-S.stl
PS-RV2271-SFS-MCR-CLAMP-S,PS-RV2271-SFS-MCR-CLAMP-S.stl,RIGID,auto-flat,AXIS24_00,34.0,42.0,22.0,34.0,42.0,23.8,-1.8,True,v5.4_wider_fit_low_z_then_contact,240.0,240.0,23.8,10.0,546.0,0.3824,rover_v2271_sfs_out\stl\PS-RV2271-SFS-MCR-CLAMP-S.stl
PS-RV2271-SFS-MCR-CLAMP-S,PS-RV2271-SFS-MCR-CLAMP-S.stl,RIGID,auto-flat,AXIS24_00,34.0,42.0,22.0,34.0,42.0,23.8,-1.8,True,v5.4_wider_fit_low_z_then_contact,240.0,240.0,23.8,10.0,546.0,0.3824,rover_v2271_sfs_out\stl\PS-RV2271-SFS-MCR-CLAMP-S.stl
PS-RV2271-SFS-MCR-CLAMP-S,PS-RV2271-SFS-MCR-CLAMP-S.stl,RIGID,auto-flat,AXIS24_00,34.0,42.0,22.0,34.0,42.0,23.8,-1.8,True,v5.4_wider_fit_low_z_then_contact,240.0,240.0,23.8,10.0,546.0,0.3824,rover_v2271_sfs_out\stl\PS-RV2271-SFS-MCR-CLAMP-S.stl
PS-RV2271-SFS-MCR-CLAMP-S,PS-RV2271-SFS-MCR-CLAMP-S.stl,RIGID,auto-flat,AXIS24_00,34.0,42.0,22.0,34.0,42.0,23.8,-1.8,True,v5.4_wider_fit_low_z_then_contact,240.0,240.0,23.8,10.0,546.0,0.3824,rover_v2271_sfs_out\stl\PS-RV2271-SFS-MCR-CLAMP-S.stl
