plate_no,plate_name,material,part_id,rotated_90,bbox_x,bbox_y,safe,gap,plate_inner_margin,nominal_plate_size,local_x_min,local_y_min,local_x_max,local_y_max,status
1,01_SFS-G2-P01-ROOF-F,RIGID,PS-RV2272-SFS-ROOF-F,False,185.5,69.9,232.0,10.0,12.0,256.0,17.0,17.0,202.5,86.9,PASS
2,02_SFS-G2-P02-ROOF-R,RIGID,PS-RV2272-SFS-ROOF-R,False,185.5,69.9,232.0,10.0,12.0,256.0,17.0,17.0,202.5,86.9,PASS
3,03_SFS-G2-P03-CAPS,RIGID,PS-RV2272-SFS-REAR-CAP,False,184.0,60.0,232.0,10.0,12.0,256.0,17.0,17.0,201.0,77.0,PASS
3,03_SFS-G2-P03-CAPS,RIGID,PS-RV2272-SFS-FRONT-VISOR,False,184.0,39.843,232.0,10.0,12.0,256.0,17.0,87.0,201.0,126.843,PASS
4,04_SFS-G2-P04-FLOAT-L,RIGID,PS-RV2272-SFS-SIDE-FLOAT-L,False,54.0,40.7,232.0,10.0,12.0,256.0,17.0,17.0,71.0,57.7,PASS
5,05_SFS-G2-P05-FLOAT-R,RIGID,PS-RV2272-SFS-SIDE-FLOAT-R,False,54.0,40.7,232.0,10.0,12.0,256.0,17.0,17.0,71.0,57.7,PASS
6,06_SFS-G2-P06-MOUNTS,RIGID,PS-RV2272-SFS-FLT-RCV-SADDLE-S,False,68.0,34.0,232.0,10.0,12.0,256.0,17.0,17.0,85.0,51.0,PASS
6,06_SFS-G2-P06-MOUNTS,RIGID,PS-RV2272-SFS-FLT-RCV-SADDLE-S,False,68.0,34.0,232.0,10.0,12.0,256.0,95.0,17.0,163.0,51.0,PASS
6,06_SFS-G2-P06-MOUNTS,RIGID,PS-RV2272-SFS-FLT-RCV-SADDLE-S,True,34.0,68.0,232.0,10.0,12.0,256.0,173.0,17.0,207.0,85.0,PASS
6,06_SFS-G2-P06-MOUNTS,RIGID,PS-RV2272-SFS-FLT-RCV-SADDLE-S,True,34.0,68.0,232.0,10.0,12.0,256.0,17.0,95.0,51.0,163.0,PASS
6,06_SFS-G2-P06-MOUNTS,RIGID,PS-RV2272-SFS-MCR-CLAMP-S,False,36.0,44.0,232.0,10.0,12.0,256.0,17.0,173.0,53.0,217.0,PASS
6,06_SFS-G2-P06-MOUNTS,RIGID,PS-RV2272-SFS-MCR-CLAMP-S,False,36.0,44.0,232.0,10.0,12.0,256.0,61.0,95.0,97.0,139.0,PASS
6,06_SFS-G2-P06-MOUNTS,RIGID,PS-RV2272-SFS-MCR-CLAMP-S,True,44.0,36.0,232.0,10.0,12.0,256.0,107.0,61.0,151.0,97.0,PASS
6,06_SFS-G2-P06-MOUNTS,RIGID,PS-RV2272-SFS-MCR-CLAMP-S,True,44.0,36.0,232.0,10.0,12.0,256.0,161.0,95.0,205.0,131.0,PASS
6,06_SFS-G2-P06-MOUNTS,RIGID,PS-RV2272-SFS-MCR-CLAMP-S,True,44.0,36.0,232.0,10.0,12.0,256.0,107.0,107.0,151.0,143.0,PASS
6,06_SFS-G2-P06-MOUNTS,RIGID,PS-RV2272-SFS-MCR-CLAMP-S,True,44.0,36.0,232.0,10.0,12.0,256.0,161.0,141.0,205.0,177.0,PASS
6,06_SFS-G2-P06-MOUNTS,RIGID,PS-RV2272-SFS-CLEARANCE-GAUGE-S,True,18.0,54.0,232.0,10.0,12.0,256.0,217.0,17.0,235.0,71.0,PASS
6,06_SFS-G2-P06-MOUNTS,RIGID,PS-RV2272-SFS-CLEARANCE-GAUGE-S,True,18.0,54.0,232.0,10.0,12.0,256.0,217.0,81.0,235.0,135.0,PASS
7,07_SFS-G2-P07-DOGHOUSE,RIGID,PS-RV2272-RCP-DOGHOUSE-G2,False,112.0,79.315,232.0,10.0,12.0,256.0,17.0,17.0,129.0,96.315,PASS
