part_id,filename,material,mode,orientation,old_bbox_x,old_bbox_y,old_bbox_z,new_bbox_x,new_bbox_y,new_bbox_z,height_reduction_mm,fits_safe_area,selection_policy,pack_safe_mm,support_fit_safe_mm,min_candidate_z,z_window_mm,bottom_contact_area_mm2,bottom_contact_fraction,source_stl
PS-RV2272-SFS-ROOF-F,PS-RV2272-SFS-ROOF-F.stl,RIGID,auto-flat,AXIS24_04,188.0,236.0,66.0,185.5,69.9,236.0,-170.0,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,236.0,59.0,1157.878,0.0893,rover_v2272_sfs_g21_out\stl\PS-RV2272-SFS-ROOF-F.stl
PS-RV2272-SFS-ROOF-R,PS-RV2272-SFS-ROOF-R.stl,RIGID,auto-flat,AXIS24_04,188.0,236.0,66.0,185.5,69.9,236.0,-170.0,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,236.0,59.0,1157.878,0.0893,rover_v2272_sfs_g21_out\stl\PS-RV2272-SFS-ROOF-R.stl
PS-RV2272-SFS-REAR-CAP,PS-RV2272-SFS-REAR-CAP.stl,RIGID,auto-flat,AXIS24_05,188.0,12.0,64.0,184.0,60.0,5.698,58.302,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,5.698,10.0,8676.0,0.7859,rover_v2272_sfs_g21_out\stl\PS-RV2272-SFS-REAR-CAP.stl
PS-RV2272-SFS-FRONT-VISOR,PS-RV2272-SFS-FRONT-VISOR.stl,RIGID,auto-flat,AXIS24_00,184.0,38.0,28.0,184.0,39.843,21.796,6.204,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,21.796,10.0,1104.0,0.1506,rover_v2272_sfs_g21_out\stl\PS-RV2272-SFS-FRONT-VISOR.stl
PS-RV2272-SFS-SIDE-FLOAT-L,PS-RV2272-SFS-SIDE-FLOAT-L.stl,RIGID,auto-flat,AXIS24_05,56.0,238.0,42.0,54.0,40.7,466.0,-424.0,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,466.0,116.5,1368.0,0.6224,rover_v2272_sfs_g21_out\stl\PS-RV2272-SFS-SIDE-FLOAT-L.stl
PS-RV2272-SFS-SIDE-FLOAT-R,PS-RV2272-SFS-SIDE-FLOAT-R.stl,RIGID,auto-flat,AXIS24_05,56.0,238.0,42.0,54.0,40.7,466.0,-424.0,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,466.0,116.5,1368.0,0.6224,rover_v2272_sfs_g21_out\stl\PS-RV2272-SFS-SIDE-FLOAT-R.stl
PS-RV2272-SFS-MCR-CLAMP-S,PS-RV2272-SFS-MCR-CLAMP-S.stl,RIGID,auto-flat,AXIS24_00,36.0,44.0,24.0,36.0,44.0,25.7,-1.7,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,25.7,10.0,616.0,0.3889,rover_v2272_sfs_g21_out\stl\PS-RV2272-SFS-MCR-CLAMP-S.stl
PS-RV2272-SFS-MCR-CLAMP-S,PS-RV2272-SFS-MCR-CLAMP-S.stl,RIGID,auto-flat,AXIS24_00,36.0,44.0,24.0,36.0,44.0,25.7,-1.7,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,25.7,10.0,616.0,0.3889,rover_v2272_sfs_g21_out\stl\PS-RV2272-SFS-MCR-CLAMP-S.stl
PS-RV2272-SFS-MCR-CLAMP-S,PS-RV2272-SFS-MCR-CLAMP-S.stl,RIGID,auto-flat,AXIS24_00,36.0,44.0,24.0,36.0,44.0,25.7,-1.7,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,25.7,10.0,616.0,0.3889,rover_v2272_sfs_g21_out\stl\PS-RV2272-SFS-MCR-CLAMP-S.stl
PS-RV2272-SFS-MCR-CLAMP-S,PS-RV2272-SFS-MCR-CLAMP-S.stl,RIGID,auto-flat,AXIS24_00,36.0,44.0,24.0,36.0,44.0,25.7,-1.7,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,25.7,10.0,616.0,0.3889,rover_v2272_sfs_g21_out\stl\PS-RV2272-SFS-MCR-CLAMP-S.stl
