plate_no,plate_name,material,part_id,rotated_90,bbox_x,bbox_y,safe,gap,plate_inner_margin,nominal_plate_size,local_x_min,local_y_min,local_x_max,local_y_max,status
1,01_rigid_A1-HARD-01,RIGID,PS-RV227-CHS-FL,False,118.0,178.0,232.0,8.0,12.0,256.0,16.0,16.0,134.0,194.0,PASS
2,02_rigid_A1-HARD-01,RIGID,PS-RV227-CHS-FR,False,118.0,178.0,232.0,8.0,12.0,256.0,16.0,16.0,134.0,194.0,PASS
3,03_rigid_A1-HARD-01,RIGID,PS-RV227-CHS-RL,False,118.0,178.0,232.0,8.0,12.0,256.0,16.0,16.0,134.0,194.0,PASS
4,04_rigid_A1-HARD-01,RIGID,PS-RV227-CHS-RR,False,118.0,178.0,232.0,8.0,12.0,256.0,16.0,16.0,134.0,194.0,PASS
5,05_rigid_A1-HARD-02,RIGID,PS-WBX-MCR-LOC-S,False,132.0,62.0,232.0,8.0,12.0,256.0,16.0,16.0,148.0,78.0,PASS
5,05_rigid_A1-HARD-02,RIGID,PS-WBX-MCR-L,False,26.0,210.0,232.0,8.0,12.0,256.0,156.0,16.0,182.0,226.0,PASS
5,05_rigid_A1-HARD-02,RIGID,PS-WBX-MCR-R,False,26.0,210.0,232.0,8.0,12.0,256.0,190.0,16.0,216.0,226.0,PASS
5,05_rigid_A1-HARD-02,RIGID,PS-WBX-MCR-WDG-S,False,110.0,46.0,232.0,8.0,12.0,256.0,16.0,86.0,126.0,132.0,PASS
5,05_rigid_A1-HARD-02,RIGID,PS-WBX-MCR-LAT-S,True,42.0,98.0,232.0,8.0,12.0,256.0,16.0,140.0,58.0,238.0,PASS
6,06_rigid_A1-HARD-02,RIGID,PS-WBX-MCR-GAUGE,False,180.0,28.0,232.0,8.0,12.0,256.0,16.0,16.0,196.0,44.0,PASS
7,07_rigid_A1-HARD-03,RIGID,PS-RV227-CBOX-LID,False,166.0,216.0,232.0,8.0,12.0,256.0,16.0,16.0,182.0,232.0,PASS
8,08_rigid_A1-HARD-03,RIGID,PS-RV227-BBOX-LID,False,166.0,216.0,232.0,8.0,12.0,256.0,16.0,16.0,182.0,232.0,PASS
9,09_rigid_A1-HARD-03,RIGID,PS-RV227-CBOX-BDY,False,150.2,200.2,232.0,8.0,12.0,256.0,16.0,16.0,166.2,216.2,PASS
9,09_rigid_A1-HARD-03,RIGID,PS-RV227-DBX-RC,True,54.0,160.0,232.0,8.0,12.0,256.0,174.2,16.0,228.2,176.0,PASS
10,10_rigid_A1-HARD-03,RIGID,PS-RV227-BBOX-BDY,False,150.2,200.2,232.0,8.0,12.0,256.0,16.0,16.0,166.2,216.2,PASS
11,11_rigid_A1-HARD-04,RIGID,PS-RCP-G1,False,184.0,72.0,232.0,8.0,12.0,256.0,16.0,16.0,200.0,88.0,PASS
