part_id,filename,material,mode,orientation,old_bbox_x,old_bbox_y,old_bbox_z,new_bbox_x,new_bbox_y,new_bbox_z,height_reduction_mm,fits_safe_area,selection_policy,pack_safe_mm,support_fit_safe_mm,min_candidate_z,z_window_mm,bottom_contact_area_mm2,bottom_contact_fraction,source_stl
PS-RV227-CHS-FL,stl/PS-RV227-CHS-FL.stl,RIGID,auto-flat,AXIS24_00,118.0,178.0,22.0,118.0,178.0,19.8,2.2,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,19.8,10.0,20299.36,0.9665,rover_v227_out\stl\PS-RV227-CHS-FL.stl
PS-RV227-CHS-FR,stl/PS-RV227-CHS-FR.stl,RIGID,auto-flat,AXIS24_00,118.0,178.0,22.0,118.0,178.0,19.8,2.2,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,19.8,10.0,20299.36,0.9665,rover_v227_out\stl\PS-RV227-CHS-FR.stl
PS-RV227-CHS-RL,stl/PS-RV227-CHS-RL.stl,RIGID,auto-flat,AXIS24_00,118.0,178.0,22.0,118.0,178.0,19.8,2.2,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,19.8,10.0,20299.36,0.9665,rover_v227_out\stl\PS-RV227-CHS-RL.stl
PS-RV227-CHS-RR,stl/PS-RV227-CHS-RR.stl,RIGID,auto-flat,AXIS24_00,118.0,178.0,22.0,118.0,178.0,19.8,2.2,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,19.8,10.0,20299.36,0.9665,rover_v227_out\stl\PS-RV227-CHS-RR.stl
PS-WBX-MCR-L,stl/PS-WBX-MCR-L.stl,RIGID,auto-flat,AXIS24_00,18.0,430.0,18.0,26.0,210.0,19.8,-1.8,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,19.8,10.0,3552.0,0.6505,rover_v227_out\stl\PS-WBX-MCR-L.stl
PS-WBX-MCR-R,stl/PS-WBX-MCR-R.stl,RIGID,auto-flat,AXIS24_00,18.0,430.0,18.0,26.0,210.0,19.8,-1.8,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,19.8,10.0,3552.0,0.6505,rover_v227_out\stl\PS-WBX-MCR-R.stl
PS-WBX-MCR-LOC-S,stl/PS-WBX-MCR-LOC-S.stl,RIGID,auto-flat,AXIS24_00,120.0,28.0,22.0,132.0,62.0,18.6,3.4,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,18.6,10.0,8184.0,1.0,rover_v227_out\stl\PS-WBX-MCR-LOC-S.stl
PS-WBX-MCR-WDG-S,stl/PS-WBX-MCR-WDG-S.stl,RIGID,auto-flat,AXIS24_00,92.0,52.0,12.0,110.0,46.0,11.6,0.4,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,11.6,10.0,5060.0,1.0,rover_v227_out\stl\PS-WBX-MCR-WDG-S.stl
PS-WBX-MCR-LAT-S,stl/PS-WBX-MCR-LAT-S.stl,RIGID,auto-flat,AXIS24_00,82.0,48.0,14.0,98.0,42.0,10.6,3.4,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,10.6,10.0,4116.0,1.0,rover_v227_out\stl\PS-WBX-MCR-LAT-S.stl
PS-WBX-MCR-GAUGE,stl/PS-WBX-MCR-GAUGE.stl,RIGID,auto-flat,AXIS24_00,170.0,18.0,16.0,180.0,28.0,10.6,5.4,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,10.6,10.0,5040.0,1.0,rover_v227_out\stl\PS-WBX-MCR-GAUGE.stl
