plate_no,plate_name,material,part_id,rotated_90,bbox_x,bbox_y,safe,gap,plate_inner_margin,nominal_plate_size,local_x_min,local_y_min,local_x_max,local_y_max,status
1,01_tpu_A1-TPU-01,TPU,PS-RV227-CBOX-GSK,False,154.0,204.0,232.0,8.0,12.0,256.0,16.0,16.0,170.0,220.0,PASS
1,01_tpu_A1-TPU-01,TPU,PS-RV227-DBX-PLG-S,True,28.0,122.0,232.0,8.0,12.0,256.0,178.0,16.0,206.0,138.0,PASS
2,02_tpu_A1-TPU-01,TPU,PS-RV227-BBOX-GSK,False,154.0,204.0,232.0,8.0,12.0,256.0,16.0,16.0,170.0,220.0,PASS
3,03_tpu_A1-TPU-02,TPU,PS-RV227-WHL-FL,False,112.0,111.965,232.0,8.0,12.0,256.0,16.0,16.0,128.0,127.965,PASS
4,04_tpu_A1-TPU-02,TPU,PS-RV227-WHL-FR,False,112.0,111.965,232.0,8.0,12.0,256.0,16.0,16.0,128.0,127.965,PASS
5,05_tpu_A1-TPU-02,TPU,PS-RV227-WHL-RL,False,112.0,111.965,232.0,8.0,12.0,256.0,16.0,16.0,128.0,127.965,PASS
6,06_tpu_A1-TPU-02,TPU,PS-RV227-WHL-RR,False,112.0,111.965,232.0,8.0,12.0,256.0,16.0,16.0,128.0,127.965,PASS
7,07_tpu_A1-TPU-03,TPU,PS-RV227-FLT-STRAP-S,False,148.0,48.0,232.0,8.0,12.0,256.0,16.0,16.0,164.0,64.0,PASS
7,07_tpu_A1-TPU-03,TPU,PS-RV227-BELT-L,True,33.997,203.991,232.0,8.0,12.0,256.0,172.0,16.0,205.997,219.991,PASS
8,08_tpu_A1-TPU-03,TPU,PS-RV227-BELT-R,False,203.991,33.997,232.0,8.0,12.0,256.0,16.0,16.0,219.991,49.997,PASS
