part_id,filename,material,mode,orientation,old_bbox_x,old_bbox_y,old_bbox_z,new_bbox_x,new_bbox_y,new_bbox_z,height_reduction_mm,fits_safe_area,selection_policy,pack_safe_mm,support_fit_safe_mm,min_candidate_z,z_window_mm,bottom_contact_area_mm2,bottom_contact_fraction,source_stl
PS-RV227-CBOX-GSK,stl/PS-RV227-CBOX-GSK.stl,TPU,auto-flat,AXIS24_00,154.0,204.0,3.0,154.0,204.0,3.0,0.0,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,3.0,10.0,6491.0,0.2066,rover_v227_out\stl\PS-RV227-CBOX-GSK.stl
PS-RV227-BBOX-GSK,stl/PS-RV227-BBOX-GSK.stl,TPU,auto-flat,AXIS24_00,154.0,204.0,3.0,154.0,204.0,3.0,0.0,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,3.0,10.0,6491.0,0.2066,rover_v227_out\stl\PS-RV227-BBOX-GSK.stl
PS-RV227-DBX-PLG-S,stl/PS-RV227-DBX-PLG-S.stl,TPU,auto-flat,AXIS24_00,96.0,28.0,6.0,122.0,28.0,11.6,-5.6,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,11.6,10.0,3416.0,1.0,rover_v227_out\stl\PS-RV227-DBX-PLG-S.stl
PS-RV227-FLT-STRAP-S,stl/PS-RV227-FLT-STRAP-S.stl,TPU,auto-flat,AXIS24_00,148.0,48.0,5.0,148.0,48.0,4.6,0.4,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,4.6,10.0,7104.0,1.0,rover_v227_out\stl\PS-RV227-FLT-STRAP-S.stl
PS-RV227-BELT-L,stl/PS-RV227-BELT-L.stl,TPU,auto-flat,AXIS24_00,198.0,42.0,4.0,203.991,33.997,3.2,0.8,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,3.2,10.0,2874.405,0.4145,rover_v227_out\stl\PS-RV227-BELT-L.stl
PS-RV227-BELT-R,stl/PS-RV227-BELT-R.stl,TPU,auto-flat,AXIS24_00,198.0,42.0,4.0,203.991,33.997,3.2,0.8,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,3.2,10.0,2874.405,0.4145,rover_v227_out\stl\PS-RV227-BELT-R.stl
PS-RV227-WHL-FL,stl/PS-RV227-WHL-FL.stl,TPU,auto-flat,AXIS24_00,112.0,42.0,112.0,112.0,111.965,22.0,90.0,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,22.0,10.0,8039.144,0.6411,rover_v227_out\stl\PS-RV227-WHL-FL.stl
PS-RV227-WHL-FR,stl/PS-RV227-WHL-FR.stl,TPU,auto-flat,AXIS24_00,112.0,42.0,112.0,112.0,111.965,22.0,90.0,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,22.0,10.0,8039.144,0.6411,rover_v227_out\stl\PS-RV227-WHL-FR.stl
PS-RV227-WHL-RL,stl/PS-RV227-WHL-RL.stl,TPU,auto-flat,AXIS24_00,112.0,42.0,112.0,112.0,111.965,22.0,90.0,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,22.0,10.0,8039.144,0.6411,rover_v227_out\stl\PS-RV227-WHL-RL.stl
PS-RV227-WHL-RR,stl/PS-RV227-WHL-RR.stl,TPU,auto-flat,AXIS24_00,112.0,42.0,112.0,112.0,111.965,22.0,90.0,True,v5.4_wider_fit_low_z_then_contact,232.0,232.0,22.0,10.0,8039.144,0.6411,rover_v227_out\stl\PS-RV227-WHL-RR.stl
