plate_no,plate_name,material,part_id,rotated_90,bbox_x,bbox_y,safe,gap,plate_inner_margin,nominal_plate_size,local_x_min,local_y_min,local_x_max,local_y_max,status
1,01_rigid_all_dense,RIGID,PS-RV227-BBOX-LID,False,216.0,166.0,240.0,4.0,12.0,256.0,14.0,14.0,230.0,180.0,PASS
1,01_rigid_all_dense,RIGID,PS-RV228-BUOYANCY-CHAMBER-SIDE-L,True,132.0,38.0,240.0,4.0,12.0,256.0,14.0,184.0,146.0,222.0,PASS
1,01_rigid_all_dense,RIGID,PS-RV228-FRONT-PTO-HIGH-MOUNT-S,False,88.0,57.0,240.0,4.0,12.0,256.0,150.0,184.0,238.0,241.0,PASS
1,01_rigid_all_dense,RIGID,PS-RV2273G1-WHL-CLEARANCE-GAUGE-S,False,76.0,22.0,240.0,4.0,12.0,256.0,14.0,226.0,90.0,248.0,CHECK_OR_SPLIT
1,01_rigid_all_dense,RIGID,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S,False,52.0,20.0,240.0,4.0,12.0,256.0,94.0,226.0,146.0,246.0,CHECK_OR_SPLIT
2,02_rigid_all_dense,RIGID,PS-RV227-CBOX-LID,False,216.0,166.0,240.0,4.0,12.0,256.0,14.0,14.0,230.0,180.0,PASS
2,02_rigid_all_dense,RIGID,PS-RV228-BUOYANCY-CHAMBER-SIDE-L,True,132.0,38.0,240.0,4.0,12.0,256.0,14.0,184.0,146.0,222.0,PASS
2,02_rigid_all_dense,RIGID,PS-RV228-SIDE-MOTOR-POD-MOUNT-L,True,72.0,52.0,240.0,4.0,12.0,256.0,150.0,184.0,222.0,236.0,PASS
2,02_rigid_all_dense,RIGID,PS-RV2273G1-WHL-CLEARANCE-GAUGE-S,False,76.0,22.0,240.0,4.0,12.0,256.0,14.0,226.0,90.0,248.0,CHECK_OR_SPLIT
2,02_rigid_all_dense,RIGID,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S,False,52.0,20.0,240.0,4.0,12.0,256.0,94.0,226.0,146.0,246.0,CHECK_OR_SPLIT
2,02_rigid_all_dense,RIGID,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S,True,20.0,52.0,240.0,4.0,12.0,256.0,226.0,184.0,246.0,236.0,CHECK_OR_SPLIT
3,03_rigid_all_dense,RIGID,PS-RV227-BBOX-BDY,False,200.0,162.0,240.0,4.0,12.0,256.0,14.0,14.0,214.0,176.0,PASS
3,03_rigid_all_dense,RIGID,PS-RV228-BUOYANCY-CHAMBER-SIDE-R,True,132.0,38.0,240.0,4.0,12.0,256.0,14.0,180.0,146.0,218.0,PASS
3,03_rigid_all_dense,RIGID,PS-RV228-SIDE-MOTOR-POD-MOUNT-R,True,72.0,52.0,240.0,4.0,12.0,256.0,150.0,180.0,222.0,232.0,PASS
3,03_rigid_all_dense,RIGID,PS-RV2273G1-INT-BAT-BAG-RAIL-S,True,20.0,142.0,240.0,4.0,12.0,256.0,226.0,14.0,246.0,156.0,CHECK_OR_SPLIT
3,03_rigid_all_dense,RIGID,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S,True,20.0,52.0,240.0,4.0,12.0,256.0,226.0,160.0,246.0,212.0,CHECK_OR_SPLIT
3,03_rigid_all_dense,RIGID,PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S,True,24.0,34.0,240.0,4.0,12.0,256.0,226.0,216.0,250.0,250.0,CHECK_OR_SPLIT
3,03_rigid_all_dense,RIGID,PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S,False,34.0,24.0,240.0,4.0,12.0,256.0,14.0,222.0,48.0,246.0,CHECK_OR_SPLIT
3,03_rigid_all_dense,RIGID,PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S,False,34.0,24.0,240.0,4.0,12.0,256.0,52.0,222.0,86.0,246.0,CHECK_OR_SPLIT
3,03_rigid_all_dense,RIGID,PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S,False,34.0,24.0,240.0,4.0,12.0,256.0,90.0,222.0,124.0,246.0,CHECK_OR_SPLIT
4,04_rigid_all_dense,RIGID,PS-RV227-CBOX-BDY,False,200.0,162.0,240.0,4.0,12.0,256.0,14.0,14.0,214.0,176.0,PASS
4,04_rigid_all_dense,RIGID,PS-RV228-BUOYANCY-CHAMBER-SIDE-R,True,132.0,38.0,240.0,4.0,12.0,256.0,14.0,180.0,146.0,218.0,PASS
4,04_rigid_all_dense,RIGID,PS-RV2273G1-INT-BAT-BAG-RAIL-S,False,142.0,20.0,240.0,4.0,12.0,256.0,14.0,222.0,156.0,242.0,PASS
4,04_rigid_all_dense,RIGID,PS-RV228-FRONT-PTO-FLOAT-MOUNT-S,False,54.0,34.0,240.0,4.0,12.0,256.0,150.0,180.0,204.0,214.0,PASS
4,04_rigid_all_dense,RIGID,PS-RV228-FRONT-PTO-FLOAT-MOUNT-S,True,34.0,54.0,240.0,4.0,12.0,256.0,208.0,180.0,242.0,234.0,PASS
5,05_rigid_all_dense,RIGID,PS-RV228-TURTLE-SHELL-UPPER-F-L,False,108.0,156.0,240.0,4.0,12.0,256.0,14.0,14.0,122.0,170.0,PASS
5,05_rigid_all_dense,RIGID,PS-RV228-TURTLE-SHELL-UPPER-F-R,False,108.0,156.0,240.0,4.0,12.0,256.0,126.0,14.0,234.0,170.0,PASS
5,05_rigid_all_dense,RIGID,PS-RV2273G1-INT-FUSE-RELAY-TRAY,False,130.0,76.0,240.0,4.0,12.0,256.0,14.0,174.0,144.0,250.0,CHECK_OR_SPLIT
5,05_rigid_all_dense,RIGID,PS-RV2273G1-MCR-CLAMP-S,False,38.0,46.0,240.0,4.0,12.0,256.0,148.0,174.0,186.0,220.0,PASS
5,05_rigid_all_dense,RIGID,PS-RV2273G1-MCR-CLAMP-S,True,46.0,38.0,240.0,4.0,12.0,256.0,190.0,174.0,236.0,212.0,PASS
6,06_rigid_all_dense,RIGID,PS-RV228-TURTLE-SHELL-UPPER-R-L,False,108.0,156.0,240.0,4.0,12.0,256.0,14.0,14.0,122.0,170.0,PASS
6,06_rigid_all_dense,RIGID,PS-RV228-TURTLE-SHELL-UPPER-R-R,False,108.0,156.0,240.0,4.0,12.0,256.0,126.0,14.0,234.0,170.0,PASS
6,06_rigid_all_dense,RIGID,PS-RV2273G1-MCR-CLAMP-S,False,38.0,46.0,240.0,4.0,12.0,256.0,14.0,174.0,52.0,220.0,PASS
6,06_rigid_all_dense,RIGID,PS-RV2273G1-MCR-CLAMP-S,False,38.0,46.0,240.0,4.0,12.0,256.0,56.0,174.0,94.0,220.0,PASS
6,06_rigid_all_dense,RIGID,PS-RV2273G1-MCR-CLAMP-S,False,38.0,46.0,240.0,4.0,12.0,256.0,98.0,174.0,136.0,220.0,PASS
