part_id,filename,material,mode,orientation,old_bbox_x,old_bbox_y,old_bbox_z,new_bbox_x,new_bbox_y,new_bbox_z,height_reduction_mm,fits_safe_area,selection_policy,pack_safe_mm,support_fit_safe_mm,min_candidate_z,z_window_mm,bottom_contact_area_mm2,bottom_contact_fraction,source_stl
PS-RV227-BBOX-BDY,PS-RV227-BBOX-BDY.stl,RIGID,auto-flat,AXIS24_00,200.0,150.0,120.0,200.0,162.0,120.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,120.0,30.0,30000.0,0.9259,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV227-BBOX-BDY.stl
PS-RV227-BBOX-LID,PS-RV227-BBOX-LID.stl,RIGID,auto-flat,AXIS24_00,216.0,166.0,16.0,216.0,166.0,18.5,-2.5,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,18.5,10.0,35856.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV227-BBOX-LID.stl
PS-RV227-CBOX-BDY,PS-RV227-CBOX-BDY.stl,RIGID,auto-flat,AXIS24_00,200.0,150.0,120.0,200.0,162.0,120.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,120.0,30.0,30000.0,0.9259,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV227-CBOX-BDY.stl
PS-RV227-CBOX-LID,PS-RV227-CBOX-LID.stl,RIGID,auto-flat,AXIS24_00,216.0,166.0,16.0,216.0,166.0,18.5,-2.5,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,18.5,10.0,35856.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV227-CBOX-LID.stl
PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S,PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl,RIGID,auto-flat,AXIS24_00,34.0,24.0,12.0,34.0,24.0,12.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,12.0,10.0,816.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl
PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S,PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl,RIGID,auto-flat,AXIS24_00,34.0,24.0,12.0,34.0,24.0,12.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,12.0,10.0,816.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl
PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S,PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl,RIGID,auto-flat,AXIS24_00,34.0,24.0,12.0,34.0,24.0,12.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,12.0,10.0,816.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl
PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S,PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl,RIGID,auto-flat,AXIS24_00,34.0,24.0,12.0,34.0,24.0,12.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,12.0,10.0,816.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl
PS-RV2274-WHL-HUB-S,PS-RV2274-WHL-HUB-S.stl,RIGID,auto-flat,AXIS24_04,108.0,50.0,108.0,108.4,108.366,48.0,60.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,48.0,12.0,9111.993,0.7757,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2274-WHL-HUB-S.stl
PS-RV2274-WHL-HUB-S,PS-RV2274-WHL-HUB-S.stl,RIGID,auto-flat,AXIS24_04,108.0,50.0,108.0,108.4,108.366,48.0,60.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,48.0,12.0,9111.993,0.7757,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2274-WHL-HUB-S.stl
PS-RV2274-WHL-HUB-S,PS-RV2274-WHL-HUB-S.stl,RIGID,auto-flat,AXIS24_04,108.0,50.0,108.0,108.4,108.366,48.0,60.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,48.0,12.0,9111.993,0.7757,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2274-WHL-HUB-S.stl
PS-RV2274-WHL-HUB-S,PS-RV2274-WHL-HUB-S.stl,RIGID,auto-flat,AXIS24_04,108.0,50.0,108.0,108.4,108.366,48.0,60.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,48.0,12.0,9111.993,0.7757,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2274-WHL-HUB-S.stl
