print_order,plate_name,material,part_id,filename,instance,qty_total,source_stl,plate_group,module,title,rotated_90,support_orientation,support_orient_mode,printed_status,slice_status,assembly_status,notes
1,01_rigid_all_dense,RIGID,PS-WEED-V001-FRONT-MOUNT,stl/PS-WEED-V001-FRONT-MOUNT.stl,1,1,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-FRONT-MOUNT.stl,W001-A-MOUNT,weed_v001_1_passive_rake,front fixed mount bracket for v228.2 PTO area,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,no new rover-core holes; bolts to existing/front PTO mount candidate; support-free flat/vertical bracket
1,01_rigid_all_dense,RIGID,PS-WEED-V001-HINGE-CROSSBAR,stl/PS-WEED-V001-HINGE-CROSSBAR.stl,1,1,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-HINGE-CROSSBAR.stl,W001-A-MOUNT,weed_v001_1_passive_rake,hinge bearing crossbar for up/down rake motion,True,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,accepts approx 5-6mm metal shaft; printed pin is dry-fit only; actual load should use metal shaft
1,01_rigid_all_dense,RIGID,PS-WEED-V001-RAKE-COMB-BAR,stl/PS-WEED-V001-RAKE-COMB-BAR.stl,1,1,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-RAKE-COMB-BAR.stl,W001-B-RAKE,weed_v001_1_passive_rake,replaceable tine comb holding bar,False,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,nine tine holes; use printed tines for dry-fit or metal/bent wire tines for muddy load tests
1,01_rigid_all_dense,RIGID,PS-WEED-V001-DEPTH-GAUGE-S,stl/PS-WEED-V001-DEPTH-GAUGE-S.stl,1,1,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-DEPTH-GAUGE-S.stl,W001-F-GAUGE,weed_v001_1_passive_rake,10/20/30mm rake depth gauge,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,dry-fit gauge for 10/20/30mm tine depth settings
1,01_rigid_all_dense,RIGID,PS-WEED-V001-DEPTH-SKID-L,stl/PS-WEED-V001-DEPTH-SKID-L.stl,1,1,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-DEPTH-SKID-L.stl,W001-B-RAKE,weed_v001_1_passive_rake,left depth limiting skid,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,keeps tines around 10/20/30mm mud depth; rounded sled shape; avoids mud-trap cavities
1,01_rigid_all_dense,RIGID,PS-WEED-V001-DEPTH-SKID-R,stl/PS-WEED-V001-DEPTH-SKID-R.stl,1,1,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-DEPTH-SKID-R.stl,W001-B-RAKE,weed_v001_1_passive_rake,right depth limiting skid,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,same geometry as left; mirror only in assembly
1,01_rigid_all_dense,RIGID,PS-WEED-V001-RAKE-ARM-L,stl/PS-WEED-V001-RAKE-ARM-L.stl,1,1,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-RAKE-ARM-L.stl,W001-B-RAKE,weed_v001_1_passive_rake,left support arm / yielding rake arm,False,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,hinged arm; can lift upward if rake catches; use shear pin / latch for weak-link behavior
1,01_rigid_all_dense,RIGID,PS-WEED-V001-FRONT-MINI-FLOAT-L,stl/PS-WEED-V001-FRONT-MINI-FLOAT-L.stl,1,1,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-FRONT-MINI-FLOAT-L.stl,W001-E-FLOAT,weed_v001_1_passive_rake,left detachable front mini float,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,optional trim float; not waterproof by printing alone; seal/coat/foam fill before water tests
1,01_rigid_all_dense,RIGID,PS-WEED-V001-PTO-DROP-LINK,stl/PS-WEED-V001-PTO-DROP-LINK.stl,1,1,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-PTO-DROP-LINK.stl,W001-D-PTO-DROP,weed_v001_1_passive_rake,PTO drop link,False,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,short visible link; do not bury in mud; use metal pins for load tests
1,01_rigid_all_dense,RIGID,PS-WEED-V001-MANUAL-LIFT-CORD-ANCHOR,stl/PS-WEED-V001-MANUAL-LIFT-CORD-ANCHOR.stl,1,1,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-MANUAL-LIFT-CORD-ANCHOR.stl,W001-C-SAFETY,weed_v001_1_passive_rake,manual lift cord / wire anchor,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,anchor for cord/wire so operator can lift/release in water tank tests
1,01_rigid_all_dense,RIGID,PS-WEED-V001-RAKE-TINE-S,stl/PS-WEED-V001-RAKE-TINE-S.stl,1,9,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-RAKE-TINE-S.stl,W001-B-RAKE,weed_v001_1_passive_rake,replaceable blunt rake tine,False,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,qty 9; blunt non-cutting tip; shallow mud disturbance only; should fail before rover core if overloaded
1,01_rigid_all_dense,RIGID,PS-WEED-V001-RAKE-TINE-S,stl/PS-WEED-V001-RAKE-TINE-S.stl,2,9,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-RAKE-TINE-S.stl,W001-B-RAKE,weed_v001_1_passive_rake,replaceable blunt rake tine,True,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,qty 9; blunt non-cutting tip; shallow mud disturbance only; should fail before rover core if overloaded
1,01_rigid_all_dense,RIGID,PS-WEED-V001-RAKE-TINE-S,stl/PS-WEED-V001-RAKE-TINE-S.stl,3,9,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-RAKE-TINE-S.stl,W001-B-RAKE,weed_v001_1_passive_rake,replaceable blunt rake tine,True,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,qty 9; blunt non-cutting tip; shallow mud disturbance only; should fail before rover core if overloaded
1,01_rigid_all_dense,RIGID,PS-WEED-V001-RAKE-TINE-S,stl/PS-WEED-V001-RAKE-TINE-S.stl,4,9,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-RAKE-TINE-S.stl,W001-B-RAKE,weed_v001_1_passive_rake,replaceable blunt rake tine,False,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,qty 9; blunt non-cutting tip; shallow mud disturbance only; should fail before rover core if overloaded
1,01_rigid_all_dense,RIGID,PS-WEED-V001-RAKE-TINE-S,stl/PS-WEED-V001-RAKE-TINE-S.stl,5,9,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-RAKE-TINE-S.stl,W001-B-RAKE,weed_v001_1_passive_rake,replaceable blunt rake tine,False,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,qty 9; blunt non-cutting tip; shallow mud disturbance only; should fail before rover core if overloaded
1,01_rigid_all_dense,RIGID,PS-WEED-V001-SHEAR-PIN-S,stl/PS-WEED-V001-SHEAR-PIN-S.stl,1,4,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-SHEAR-PIN-S.stl,W001-C-SAFETY,weed_v001_1_passive_rake,printed weak shear pin,True,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,not for production load; intended to fail or release before the rover core/PTO is damaged
1,01_rigid_all_dense,RIGID,PS-WEED-V001-SHEAR-PIN-S,stl/PS-WEED-V001-SHEAR-PIN-S.stl,2,4,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-SHEAR-PIN-S.stl,W001-C-SAFETY,weed_v001_1_passive_rake,printed weak shear pin,False,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,not for production load; intended to fail or release before the rover core/PTO is damaged
1,01_rigid_all_dense,RIGID,PS-WEED-V001-SHEAR-PIN-S,stl/PS-WEED-V001-SHEAR-PIN-S.stl,3,4,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-SHEAR-PIN-S.stl,W001-C-SAFETY,weed_v001_1_passive_rake,printed weak shear pin,False,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,not for production load; intended to fail or release before the rover core/PTO is damaged
1,01_rigid_all_dense,RIGID,PS-WEED-V001-SHEAR-PIN-S,stl/PS-WEED-V001-SHEAR-PIN-S.stl,4,4,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-SHEAR-PIN-S.stl,W001-C-SAFETY,weed_v001_1_passive_rake,printed weak shear pin,False,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,not for production load; intended to fail or release before the rover core/PTO is damaged
2,02_rigid_all_dense,RIGID,PS-WEED-V001-RAKE-ARM-R,stl/PS-WEED-V001-RAKE-ARM-R.stl,1,1,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-RAKE-ARM-R.stl,W001-B-RAKE,weed_v001_1_passive_rake,right support arm / yielding rake arm,False,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,same geometry as left; mirror only in assembly
2,02_rigid_all_dense,RIGID,PS-WEED-V001-FRONT-MINI-FLOAT-R,stl/PS-WEED-V001-FRONT-MINI-FLOAT-R.stl,1,1,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-FRONT-MINI-FLOAT-R.stl,W001-E-FLOAT,weed_v001_1_passive_rake,right detachable front mini float,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,same as left; keeps front PTO from nosing down; optional and removable
2,02_rigid_all_dense,RIGID,PS-WEED-V001-SKID-HEIGHT-PLATE-S,stl/PS-WEED-V001-SKID-HEIGHT-PLATE-S.stl,1,2,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-SKID-HEIGHT-PLATE-S.stl,W001-B-ADJUST,weed_v001_1_passive_rake,skid height adjustment plate,True,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,holes/marks for 10/20/30mm depth settings; print two
2,02_rigid_all_dense,RIGID,PS-WEED-V001-SKID-HEIGHT-PLATE-S,stl/PS-WEED-V001-SKID-HEIGHT-PLATE-S.stl,2,2,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-SKID-HEIGHT-PLATE-S.stl,W001-B-ADJUST,weed_v001_1_passive_rake,skid height adjustment plate,True,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,holes/marks for 10/20/30mm depth settings; print two
2,02_rigid_all_dense,RIGID,PS-WEED-V001-MANUAL-DROP-LEVER,stl/PS-WEED-V001-MANUAL-DROP-LEVER.stl,1,1,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-MANUAL-DROP-LEVER.stl,W001-C-SAFETY,weed_v001_1_passive_rake,manual drop release lever,True,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,used for MANUAL_DROP; pull/press to release latch without PTO
2,02_rigid_all_dense,RIGID,PS-WEED-V001-DROP-LATCH,stl/PS-WEED-V001-DROP-LATCH.stl,1,1,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-DROP-LATCH.stl,W001-D-PTO-DROP,weed_v001_1_passive_rake,drop latch / raised-state latch,True,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,holds rake up; can be released manually or by PTO cam; geometry is first-fit candidate
2,02_rigid_all_dense,RIGID,PS-WEED-V001-PTO-DROP-CAM,stl/PS-WEED-V001-PTO-DROP-CAM.stl,1,1,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-PTO-DROP-CAM.stl,W001-D-PTO-DROP,weed_v001_1_passive_rake,PTO drop cam for short release motion,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,PTO_DROP only; does not drive continuous weeding; stop PTO after release
