part_id,filename,material,mode,orientation,old_bbox_x,old_bbox_y,old_bbox_z,new_bbox_x,new_bbox_y,new_bbox_z,height_reduction_mm,fits_safe_area,selection_policy,pack_safe_mm,support_fit_safe_mm,min_candidate_z,z_window_mm,bottom_contact_area_mm2,bottom_contact_fraction,source_stl
PS-WEED-V001-FRONT-MOUNT,stl/PS-WEED-V001-FRONT-MOUNT.stl,RIGID,auto-flat,AXIS24_00,184.0,58.0,46.0,184.0,58.0,46.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,46.0,11.5,10586.082,0.9919,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-FRONT-MOUNT.stl
PS-WEED-V001-HINGE-CROSSBAR,stl/PS-WEED-V001-HINGE-CROSSBAR.stl,RIGID,auto-flat,AXIS24_01,188.0,28.0,24.0,188.0,28.0,24.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,24.0,10.0,5264.0,1.0,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-HINGE-CROSSBAR.stl
PS-WEED-V001-RAKE-ARM-L,stl/PS-WEED-V001-RAKE-ARM-L.stl,RIGID,auto-flat,AXIS24_01,164.0,18.0,8.0,164.0,18.0,8.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,8.0,10.0,2952.0,1.0,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-RAKE-ARM-L.stl
PS-WEED-V001-RAKE-ARM-R,stl/PS-WEED-V001-RAKE-ARM-R.stl,RIGID,auto-flat,AXIS24_01,164.0,18.0,8.0,164.0,18.0,8.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,8.0,10.0,2952.0,1.0,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-RAKE-ARM-R.stl
PS-WEED-V001-RAKE-COMB-BAR,stl/PS-WEED-V001-RAKE-COMB-BAR.stl,RIGID,auto-flat,AXIS24_01,188.0,24.0,20.0,188.0,24.0,20.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,20.0,10.0,4512.0,1.0,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-RAKE-COMB-BAR.stl
PS-WEED-V001-RAKE-TINE-S,stl/PS-WEED-V001-RAKE-TINE-S.stl,RIGID,auto-flat,AXIS24_01,74.0,8.0,6.0,86.0,12.0,6.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,6.0,10.0,704.0,0.6822,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-RAKE-TINE-S.stl
PS-WEED-V001-RAKE-TINE-S,stl/PS-WEED-V001-RAKE-TINE-S.stl,RIGID,auto-flat,AXIS24_01,74.0,8.0,6.0,86.0,12.0,6.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,6.0,10.0,704.0,0.6822,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-RAKE-TINE-S.stl
PS-WEED-V001-RAKE-TINE-S,stl/PS-WEED-V001-RAKE-TINE-S.stl,RIGID,auto-flat,AXIS24_01,74.0,8.0,6.0,86.0,12.0,6.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,6.0,10.0,704.0,0.6822,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-RAKE-TINE-S.stl
PS-WEED-V001-RAKE-TINE-S,stl/PS-WEED-V001-RAKE-TINE-S.stl,RIGID,auto-flat,AXIS24_01,74.0,8.0,6.0,86.0,12.0,6.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,6.0,10.0,704.0,0.6822,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-RAKE-TINE-S.stl
PS-WEED-V001-RAKE-TINE-S,stl/PS-WEED-V001-RAKE-TINE-S.stl,RIGID,auto-flat,AXIS24_01,74.0,8.0,6.0,86.0,12.0,6.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,6.0,10.0,704.0,0.6822,weed_v001_2_passive_rake_out\stl\PS-WEED-V001-RAKE-TINE-S.stl
