plate_no,plate_name,material,part_id,rotated_90,bbox_x,bbox_y,safe,gap,plate_inner_margin,nominal_plate_size,local_x_min,local_y_min,local_x_max,local_y_max,status
1,01_rigid_all_dense,RIGID,PS-WEED-V001-FRONT-MOUNT,False,184.0,58.0,240.0,4.0,12.0,256.0,14.0,14.0,198.0,72.0,PASS
1,01_rigid_all_dense,RIGID,PS-WEED-V001-HINGE-CROSSBAR,True,28.0,188.0,240.0,4.0,12.0,256.0,202.0,14.0,230.0,202.0,PASS
1,01_rigid_all_dense,RIGID,PS-WEED-V001-RAKE-COMB-BAR,False,188.0,24.0,240.0,4.0,12.0,256.0,14.0,206.0,202.0,230.0,PASS
1,01_rigid_all_dense,RIGID,PS-WEED-V001-DEPTH-GAUGE-S,True,44.0,86.0,240.0,4.0,12.0,256.0,14.0,76.0,58.0,162.0,PASS
1,01_rigid_all_dense,RIGID,PS-WEED-V001-DEPTH-SKID-L,False,131.0,24.0,240.0,4.0,12.0,256.0,62.0,76.0,193.0,100.0,PASS
1,01_rigid_all_dense,RIGID,PS-WEED-V001-DEPTH-SKID-R,False,131.0,24.0,240.0,4.0,12.0,256.0,62.0,104.0,193.0,128.0,PASS
1,01_rigid_all_dense,RIGID,PS-WEED-V001-RAKE-ARM-L,False,164.0,18.0,240.0,4.0,12.0,256.0,14.0,166.0,178.0,184.0,PASS
1,01_rigid_all_dense,RIGID,PS-WEED-V001-FRONT-MINI-FLOAT-L,False,96.0,30.0,240.0,4.0,12.0,256.0,62.0,132.0,158.0,162.0,PASS
1,01_rigid_all_dense,RIGID,PS-WEED-V001-PTO-DROP-LINK,False,94.0,14.0,240.0,4.0,12.0,256.0,14.0,188.0,108.0,202.0,PASS
1,01_rigid_all_dense,RIGID,PS-WEED-V001-MANUAL-LIFT-CORD-ANCHOR,False,42.0,30.0,240.0,4.0,12.0,256.0,206.0,206.0,248.0,236.0,CHECK_OR_SPLIT
1,01_rigid_all_dense,RIGID,REF-WEED-HINGE-SHAFT-6MM-190,False,190.0,5.998,240.0,4.0,12.0,256.0,14.0,240.0,204.0,245.998,CHECK_OR_SPLIT
1,01_rigid_all_dense,RIGID,REF-WEED-COMB-SHAFT-6MM-185,True,5.998,185.0,240.0,4.0,12.0,256.0,234.0,14.0,239.998,199.0,PASS
1,01_rigid_all_dense,RIGID,PS-WEED-V001-RAKE-TINE-S,False,86.0,12.0,240.0,4.0,12.0,256.0,112.0,188.0,198.0,200.0,PASS
1,01_rigid_all_dense,RIGID,REF-WEED-PTO-CAM-SHAFT-5MM-80,True,4.998,80.0,240.0,4.0,12.0,256.0,243.998,14.0,248.997,94.0,CHECK_OR_SPLIT
1,01_rigid_all_dense,RIGID,REF-WEED-TINE-WIRE-3MM-90,True,2.999,90.0,240.0,4.0,12.0,256.0,243.998,98.0,246.997,188.0,CHECK_OR_SPLIT
1,01_rigid_all_dense,RIGID,REF-WEED-R-PIN-SURROGATE,False,25.0,5.998,240.0,4.0,12.0,256.0,208.0,240.0,233.0,245.998,CHECK_OR_SPLIT
